group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected
C_model,OPT-1.3B,sst-2,16,0.01,16,344633547226.09753,587054.9780268434,435625.87350606907,248584.6430063247,5.208440667728808e-09,2.085084733004713e-08,2.3016374190796768e-08,1.0,0.0,0.5,nan,nan,nan,nan,nan,nan,False,False
C_model,OPT-1.3B,sst-2,17,1e-05,16,1.7750423353390934e+20,13323071475.223322,11291354894.638058,11518597602.844234,0.00024132858962709874,0.00036810747012360856,0.00044958368120907,1.0,0.0,0.375,nan,0.9463920490806543,nan,0.7866432269265023,2.6634126652690764,1.4061280212175669,True,False
C_model,OPT-1.3B,sst-2,17,3e-05,16,9.515638239261876e+18,3084742815.740378,2271461266.0584626,1578419296.8297887,3.307129089446627e-05,7.853822118317881e-05,0.00010705663478515392,1.0,0.0,0.3125,nan,0.9634831416268032,nan,0.7608755073512243,2.749215962265175,1.1883748268913814,True,False
C_model,OPT-1.3B,sst-2,17,0.0001,16,3.474812139137028e+17,589475371.761792,529333949.0890502,534564256.6680907,1.1199798985122583e-05,1.8780411533089456e-05,1.9293201127730088e-05,1.0,0.0,0.375,nan,0.9888630752753991,nan,0.8762753180372433,4.093791036220673,1.9021237157269864,True,False
C_model,OPT-1.3B,sst-2,17,0.0003,16,3869872122569831.0,62208296.251945615,51199631.006629385,40915829.16401052,8.572767722884614e-07,2.323599567785864e-06,2.543609536044698e-06,1.0,0.0,0.5625,nan,0.8398870632332307,nan,0.6370794951240087,1.5215259442508222,0.8418557793750173,True,False
C_model,OPT-1.3B,sst-2,17,0.001,16,619616590456506.5,24892098.956426043,21029241.383075714,18561556.935310364,3.889021277958733e-07,8.432812911909859e-07,9.771993444383956e-07,1.0,0.0,0.6875,0.10712416699882563,0.40971199359856725,0.20395900418526997,0.03406624223456299,0.8468926593195759,0.08261830036907675,False,False
C_model,OPT-1.3B,sst-2,17,0.0015,16,873480938999188.8,29554710.944267225,26471456.443821944,28387352.272316262,5.947764156717606e-07,8.720087499948153e-07,9.291968116317651e-07,1.0,0.0,0.625,0.7174199110323726,0.36662535535224244,0.4248844564511459,0.230183750999813,1.5874926523561863,0.9093490881982118,True,False
C_model,OPT-1.3B,sst-2,17,0.002,16,553240679345200.75,23521068.83934488,19495745.422318578,21329402.923583984,4.469018591359569e-07,6.712862748325995e-07,7.691628196707789e-07,1.0,0.0,0.625,0.9280169840359124,0.5538500138022094,0.7018004670251812,0.25291841488693445,1.9905537503289312,0.7191269407982012,True,False
C_model,OPT-1.3B,sst-2,17,0.003,16,246828321453917.56,15710770.873955153,13098121.310273806,12114112.575848896,2.5382474425435995e-07,5.015053613481685e-07,5.429174671784404e-07,1.0,0.0,0.4375,nan,0.8386573614457637,nan,0.600847432305953,6.341114585489358,3.1924532251133404,True,False
C_model,OPT-1.3B,sst-2,17,0.004,16,39823932653288.266,6310620.623463929,5128536.868141964,4818422.719836235,1.0095842135199676e-07,2.0017655184702e-07,2.196814653091874e-07,1.0,0.0,0.25,nan,0.2845229474306522,nan,0.12757344548060576,1.5004052342485952,0.6116099069241384,False,False
C_model,OPT-1.3B,sst-2,17,0.005,16,28493109956494.895,5337893.775310154,4360773.116350173,4542167.782783507,9.51700269539616e-08,1.7463921185002306e-07,1.9516061478073172e-07,1.0,0.0,0.4375,0.9715831028545313,0.9715831028545313,0.8079171170096612,0.8079171170096612,5.137107155152865,2.380199132496218,True,True
C_model,OPT-1.3B,sst-2,17,0.01,16,809685774988.2476,899825.4136154677,660224.5140820739,368861.0047101974,7.728708510801236e-09,3.354439537819594e-08,3.936025576309124e-08,1.0,0.0,0.5,nan,nan,nan,nan,nan,nan,False,False
