model,task,precision,perturbation_mode,h_policy,h_value,seed,accuracy,loss,steps,source_path
roberta-large,sst-5,int8,dense,selected_h,0.005,,0.26171875,1.5731201171875,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,bad-large,0.01,,0.275390625,1.567138671875,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,default,0.001,,0.28515625,1.5673828125,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,bad-small,1e-05,,0.275390625,1.5701904296875,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,selected_h,0.005,,0.255859375,1.56982421875,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,trec,int4,dense,small_1e-5,1e-05,16.0,0.292,1.725860595703125,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_trec.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,16.0,0.66,0.9831085205078124,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_trec.csv
facebook/opt-1.3b,trec,int4,dense,hstar_cont,0.0003443971570045,16.0,0.334,1.57623291015625,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_trec.csv
facebook/opt-1.3b,mnli,int4,dense,hstar_cont,0.0001731491820902,,0.378604177279674,1.1011442004275245,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,mnli,int4,dense,small_1e-5,1e-05,,0.3578196637799287,1.1122442487785016,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,,0.3904228222109017,1.086005095938518,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,hstar_cont,0.0002940821846582,,0.555956678700361,0.6725531684027778,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,small_1e-5,1e-05,,0.5595667870036101,0.6888292100694444,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,,0.5992779783393501,0.6570366753472222,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,hstar_cont,0.0005056172823939,,0.8761467889908257,0.3182228781960227,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,small_1e-5,1e-05,,0.5607798165137615,0.70654296875,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,,0.8967889908256881,0.2726950905539773,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,hstar_cont,0.0006543479591531,,0.44141689373297,1.2541468523550725,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,small_1e-5,1e-05,,0.2524977293369664,1.6666666666666667,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,,0.4623069936421435,1.1908755095108696,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,hstar_cont,0.0003443971570045,,0.334,1.57623291015625,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,small_1e-5,1e-05,,0.292,1.725860595703125,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,,0.66,0.9831085205078124,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,small_1e-5,1e-05,16.0,0.5607798165137615,0.70654296875,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-2.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,16.0,0.8967889908256881,0.2726950905539773,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-2.csv
facebook/opt-1.3b,sst-2,int4,dense,hstar_cont,0.0005056172823939,16.0,0.8761467889908257,0.3182228781960227,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-2.csv
facebook/opt-1.3b,sst-5,int4,dense,small_1e-5,1e-05,16.0,0.2524977293369664,1.6666666666666667,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-5.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,16.0,0.4623069936421435,1.1908755095108696,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-5.csv
facebook/opt-1.3b,sst-5,int4,dense,hstar_cont,0.0006543479591531,16.0,0.44141689373297,1.2541468523550725,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_sst-5.csv
facebook/opt-1.3b,mnli,int4,dense,small_1e-5,1e-05,16.0,0.3578196637799287,1.1122442487785016,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mnli.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,16.0,0.3904228222109017,1.086005095938518,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mnli.csv
facebook/opt-1.3b,mnli,int4,dense,hstar_cont,0.0001731491820902,16.0,0.378604177279674,1.1011442004275245,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mnli.csv
facebook/opt-1.3b,rte,int4,dense,small_1e-5,1e-05,16.0,0.5595667870036101,0.6888292100694444,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_rte.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,16.0,0.5992779783393501,0.6570366753472222,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_rte.csv
facebook/opt-1.3b,rte,int4,dense,hstar_cont,0.0002940821846582,16.0,0.555956678700361,0.6725531684027778,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_rte.csv
facebook/opt-1.3b,mnli,int4,dense,smoke_standard_1e-3,0.001,16.0,0.3578196637799287,1.199536848534202,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mnli.csv
facebook/opt-1.3b,rte,int4,dense,smoke_standard_1e-3,0.001,16.0,0.5270758122743683,0.7020263671875,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_rte.csv
facebook/opt-1.3b,trec,int4,dense,smoke_standard_1e-3,0.001,16.0,0.264,3.27923583984375,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_trec.csv
facebook/opt-1.3b,mnli,int4,dense,smoke_standard_1e-3,0.001,,0.3578196637799287,1.199536848534202,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,smoke_standard_1e-3,0.001,,0.5270758122743683,0.7020263671875,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,smoke_standard_1e-3,0.001,,0.5607798165137615,1.0521484375,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,smoke_standard_1e-3,0.001,,0.2306993642143505,2.0108271059782608,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,smoke_standard_1e-3,0.001,,0.264,3.27923583984375,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,smoke_standard_1e-3,0.001,16.0,0.5607798165137615,1.0521484375,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_sst-2.csv
facebook/opt-1.3b,sst-5,int4,dense,smoke_standard_1e-3,0.001,16.0,0.2306993642143505,2.0108271059782608,5.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/smoke/summary_sst-5.csv
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,16.0,0.37890625,1.9316980447620156,17713.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_mnli.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,16.0,0.37890625,1.3390328327659518,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_mnli.csv
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,16.0,0.30859375,3.632148946635425,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_sst-5.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,16.0,0.2890625,2.154459174256772,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_sst-5.csv
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,16.0,0.6015625,1.2122752413270064,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_sst-2.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,16.0,0.60546875,0.8344280671444722,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_sst-2.csv
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,,0.6015625,1.2122752413270064,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,,0.60546875,0.8344280671444722,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,,0.30859375,3.632148946635425,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,,0.2890625,2.154459174256772,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,,0.546875,1.4719400450121611,14391.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,,0.546875,0.8066829765448347,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,,0.37890625,1.9316980447620156,17713.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,,0.37890625,1.3390328327659518,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,,0.22265625,8.56905991397798,14769.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,,0.265625,4.008444970007986,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/full_summary.csv
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,16.0,0.22265625,8.56905991397798,14769.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_trec.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,16.0,0.265625,4.008444970007986,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_trec.csv
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,16.0,0.546875,1.4719400450121611,14391.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_rte.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,16.0,0.546875,0.8066829765448347,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_hpolicy_full_20260603_223826/summary_rte.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,,0.3988792664289353,1.0865347299979642,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,,0.6028880866425993,0.6637098524305556,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,,0.911697247706422,0.2419672185724432,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,,0.4695731153496821,1.2059909986413044,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,,0.722,0.82818603515625,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,16.0,0.6028880866425993,0.6637098524305556,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_rte.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,16.0,0.3988792664289353,1.0865347299979642,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_mnli.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,16.0,0.722,0.82818603515625,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_trec.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,16.0,0.4695731153496821,1.2059909986413044,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_sst-5.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,16.0,0.911697247706422,0.2419672185724432,20000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_lr3e-7_full_20260610_2238/summary_sst-2.csv
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,,0.3746306673458991,1.092421938619707,1000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_full_20260610_2210/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,,0.5270758122743683,0.7020263671875,2000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_full_20260610_2210/summary_mezo_option.csv
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,,0.8520642201834863,0.360693359375,2000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_full_20260610_2210/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,,0.4132606721162579,1.3814254981884058,2000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_full_20260610_2210/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,,0.312,1.731170654296875,2000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_dense_mezo_option_standard_full_20260610_2210/summary_mezo_option.csv
facebook/opt-1.3b,rte,int4,dense,formula_h_maxseq256,0.0002940821846582,,0.5379061371841155,0.6894802517361112,1000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr1e-6,0.001,,0.3905540417801998,1.406066009963768,500.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_mezo_option.csv
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr3e-6,0.001,,0.2724795640326976,1.601831408514493,1000.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_codes_step0,0.0003443971570045,,0.258,3.27923583984375,0.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_human_verbalizer_step0,0.0003443971570045,,0.018,3.8968505859375,0.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_mezo_option.csv
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_codes_step0,0.0003443971570045,16.0,0.258,3.27923583984375,0.0,/scratch/jy03364/MeZO_/outputs/opt13b_int4_mezo_option_lr_seq_ablation_20260610_2148/summary_trec.csv
