model,task,precision,perturbation_mode,h,nMSE_loss,corr_loss,normalized_curve,source_path
roberta-large,sst-5,int4,dense,0.003,0.7942113862009239,0.6225660652153692,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.004,0.5531507315920412,0.7293692668156866,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.005,0.7080436334674773,0.5912501752502053,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.01,0.8575605885759294,0.3845377139574787,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,1e-05,266.33595542647646,-0.4121933848361984,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,3e-05,24.9102149926038,0.3632759527030356,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0001,53.480188677137306,0.4579312819127764,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0003,9.12030077608508,-0.3669299988601145,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.001,1.6573141860878755,0.6156667893561594,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0015,1.7479782438668303,-0.2984557242601773,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.002,0.7528432285249941,0.525474235395163,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.003,0.695355156337712,0.6427715113619198,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.004,0.5312928749762986,0.768773693575919,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.005,0.6627581136064538,0.7306335220375679,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.01,0.9128632092126668,0.2285708281674947,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d8_v2/int4_mse_probe_summary.csv
