model,task,precision,perturbation_mode,candidate_name,h_value,A_uniform,p_active_norm,V_norm,V_align,p_clip_delta,relative_disp,locality_proxy,nMSE_loss,corr_loss,score_geom,reason
roberta-large,sst-5,int4,sparse_p0p1,h_default_aware_neighbor,0.03,0.0313419173537936,0.891559395778258,0.956698579714072,0.9846023311901766,0.011430858467515799,0.2168151754085904,20755.92204117677,,,0.517177479907397,neighbor of h_default_aware
roberta-large,sst-5,int8,dense,default,0.001,0.0385519479314729,0.8279214080370224,1.0150122656275018,0.9811201396207708,0.0,,,0.0640383636430435,0.9685803178599124,,baseline
roberta-large,sst-5,int8,dense,h_loss_cons,0.0015,0.0183142104706841,0.8838019507269287,1.0048571766591958,0.9908988965400416,0.0,,,0.0184069803733316,0.991070451685224,,loss nMSE conservative selector
roberta-large,sst-5,int8,dense,h_loss_cons_neighbor,0.002,0.0112564029332448,0.9124408953473816,1.001196871535674,0.9943792421233278,0.0,,,0.0264212641548415,0.9846273389973168,,neighbor of h_loss_cons
roberta-large,sst-5,int8,dense,h_score_best,0.001,0.0385519479314729,0.8279214080370224,1.0150122656275018,0.9811201396207708,0.0,,,0.0640383636430435,0.9685803178599124,,Pareto-knee score selector
roberta-large,sst-5,int8,dense,h_pareto_best,0.001,0.0385519479314729,0.8279214080370224,1.0150122656275018,0.9811201396207708,0.0,,,0.0640383636430435,0.9685803178599124,,Pareto frontier ideal-point selector
roberta-large,sst-5,int8,dense,h_cons,0.0003,0.4592764096502669,0.4889016249599455,1.2037733757918554,0.8264802773329434,0.00013095935472250044,0.011139944872902,1446.1346141366917,0.2569452116146749,0.9032791046462032,0.5578254377762929,geometry threshold conservative selector
roberta-large,sst-5,int8,dense,h_cons_neighbor,0.0001,,0.3563917095600808,1.3461686326397002,0.7379828651083794,0.0004957664901915999,,,2.5336192422767785,0.6221396810027171,,neighbor of h_cons
roberta-large,sst-5,int8,sparse_p0p1,default,0.001,0.0443723403380138,0.813199701594168,1.0181580412485924,0.9783685225710188,4.881639029080068e-05,0.0079595820476603,33.9318257378771,,,0.4286054132059675,baseline
roberta-large,sst-5,int8,sparse_p0p1,h_default_aware,0.001,0.0443723403380138,0.813199701594168,1.0181580412485924,0.9783685225710188,4.881639029080068e-05,0.0079595820476603,33.9318257378771,,,0.4286054132059675,default-aware safe selector
roberta-large,sst-5,int8,sparse_p0p1,h_score_best,0.001,0.0443723403380138,0.813199701594168,1.0181580412485924,0.9783685225710188,4.881639029080068e-05,0.0079595820476603,33.9318257378771,,,0.4286054132059675,Pareto-knee score selector
roberta-large,sst-5,int8,sparse_p0p1,h_pareto_best,0.001,0.0443723403380138,0.813199701594168,1.0181580412485924,0.9783685225710188,4.881639029080068e-05,0.0079595820476603,33.9318257378771,,,0.4286054132059675,Pareto frontier ideal-point selector
roberta-large,sst-5,int8,sparse_p0p1,h_cons,0.0003,0.4587484980957745,0.48869118250821103,1.2038578373133673,0.8267281857869803,1.2517023151499898e-05,0.0035213039676031,14.440902040076686,,,0.5636463743396419,geometry threshold conservative selector
roberta-large,sst-5,int8,sparse_p0p1,h_cons_neighbor,0.0001,2.7760966925789785,0.18438513878875198,1.9408127451220183,0.5129045438448616,5.632660418200368e-06,0.0020202101143351,14.08784652604418,,,1.3384559117865709,neighbor of h_cons
roberta-large,sst-5,int8,sparse_p0p1,h_geom,0.001,0.0443723403380138,0.813199701594168,1.0181580412485924,0.9783685225710188,4.881639029080068e-05,0.0079595820476603,33.9318257378771,,,0.4286054132059675,geometry window midpoint
