model,task,precision,mode,quantizer,h,true_directional_nmse,true_directional_mse,directional_correlation,crossing_active_fraction,displacement_alignment,displacement_norm_ratio,interval_geometry_error,source_path,metric_definition,n_batches,n_directions
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.7802650417920037,209.65882249409785,0.501629734167058,0.9823864138607358,0.9982388203319634,0.9935724712549888,0.0035410324034593,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],3,48
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,520.6148408606313,222649.38112815583,-0.3174248255279775,0.0018967024162096,0.0541414665466798,15.10373288823871,227.48730165171165,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,131.6099831233774,75177.71625787271,0.0437620853215876,0.0057052351714821,0.094029884021254,8.732649145790841,75.61690445459944,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,152.00736243338048,26131.96368212284,-0.1904546729816665,0.0192187323519578,0.1730948784891444,4.808340531405499,22.455540795146923,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,7.878052618273031,3911.960271685948,0.1990490637486484,0.0592438397153341,0.3057670376556202,2.814515667831029,7.200326225751041,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.001,5.71634754735968,1518.0672587653723,0.3975037669969221,0.2101450007793263,0.5807719993496581,1.5921971424861032,1.6856847057079023,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,1.854662029725723,798.444132607859,0.364601671925615,0.3195277555470257,0.7135441309683229,1.3315159474410367,0.8727439400897608,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.5421256760967027,241.45922653551128,0.8274394211254475,0.416768057364265,0.8029951122294233,1.2025323771684056,0.5148288770947979,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.7942113862009239,531.4852942458538,0.6225660652153692,0.5600577544133324,0.8943770244621909,1.0937261239081604,0.2398298023550321,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.5531507315920412,595.2903550038137,0.7293692668156866,0.6519027823776747,0.933966286955596,1.049149761506203,0.1409742080074549,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.7080436334674773,375.24278084974856,0.5912501752502053,0.7134667905118612,0.9541183737309704,1.0260769118568365,0.0948361604031309,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.8575605885759294,438.23212199234894,0.3845377139574787,0.8498525541231001,0.9826030492091292,0.984444649871826,0.034494639315009,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,A_true=E[(d_Q-grad^T u)^2]/E[(grad^T u)^2],1,16
