sentence	label
vulgar 	0
a witty , whimsical feature debut 	1
strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve . 	1
it 's actually watchable 	1
... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience . 	1
rough-around-the-edges , low-budget constraints 	0
where the characters ' moves are often more predictable than their consequences 	0
despicable characters 	0
marshall keeps the energy humming , and his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it . 	1
arrived for an incongruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone 	0
it 's propelled by the acting 	1
emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds . 	1
not smart and not engaging 	0
the beauty 	1
really a thriller 	1
is a horrible movie 	0
the positives 	1
waters it down , turning grit and vulnerability into light reading 	0
the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages . 	1
imagine a film that begins as a seven rip-off , only to switch to a mix of the shining , the thing , and any naked teenagers horror flick from the 1980s 	0
wimps out by going for that pg-13 rating , so the more graphic violence is mostly off-screen and the sexuality is muted . 	0
driven by the pathetic idea 	0
the laziness and arrogance 	0
the heart soar 	1
a lot more dimensional and complex than its sunny disposition would lead you to believe . 	1
sublime music 	1
is confusing on one level or another , making ararat far more demanding than it needs to be 	0
, violent , self-indulgent and maddening 	0
the film 's winning tone 	1
i killed my father compelling 	1
a marvelous performance 	1
an integrity 	1
injects freshness and spirit 	1
fessenden has nurtured his metaphors at the expense of his narrative 	0
that a good video game movie is going to show up soon 	1
have finally aged past his prime ... and , perhaps more than he realizes 	0
it does n't really know or care about the characters , and uses them as markers for a series of preordained events . 	0
too simple and the working out of the plot almost arbitrary 	0
also comes with the laziness and arrogance of a thing that already knows it 's won . 	0
just about the best straight-up , old-school horror film of the last 15 years . 	1
with all the boozy self-indulgence that brings out the worst in otherwise talented actors 	0
wait to see it then . 	0
rowdy participants 	1
as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous . 	1
violent , self-indulgent and maddening 	0
byler is too savvy a filmmaker to let this morph into a typical romantic triangle . 	1
too many characters saying too many clever things and 	0
for intelligibility 	1
hard , endearing , caring , warm . 	1
engaging fantasy 	1
it collapses when mr. taylor tries to shift the tone to a thriller 's rush . 	0
of how uncompelling the movie is unless it happens to cover your particular area of interest 	0
is a welcome and heartwarming addition to the romantic comedy genre 	1
works so well for the first 89 minutes 	1
best work 	1
the most oddly honest hollywood document of all 	1
is as blasphemous and nonsensical as a luis buñuel film without the latter 's attendant intelligence , poetry , passion , and genius . 	0
demonstrates the unusual power of thoughtful , subjective filmmaking 	1
satisfying destination 	1
would be a welcome improvement 	1
a rich and full life 	1
... a true delight . 	1
( h ) ad i suffered and bled on the hard ground of ia drang , i 'd want something a bit more complex than we were soldiers to be remembered by . 	0
convey a tiny sense of hope 	1
australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them . 	1
he 's not good with people . 	0
equally assured 	1
the rest is just an overexposed waste of film 	0
of my greatest pictures , drunken master 	1
been a confusing and horrifying vision into an intense and engrossing head-trip 	1
a movie does not proclaim the truth about two love-struck somebodies , but permits them time and space to convince us of that all on their own . 	1
a funny little movie 	1
is about as humorous as watching your favorite pet get buried alive . 	0
rambling incoherence 	0
is in bad need of major acting lessons and maybe a little coffee . 	0
it 's a bad action movie because there 's no rooting interest 	0
the novel charm that made spy kids a surprising winner with both adults and younger audiences 	1
belittle a cinema classic 	0
is somehow making its way instead to theaters 	0
never reach satisfying conclusions 	0
the emotion is impressively true for being so hot-blooded 	1
bring you into the characters 	1
glee 	1
as much humor as pathos 	1
the best in recent memory 	1
what 's infuriating about full frontal 	0
of ` eh 	1
much of what we see is horrible 	0
much needed 	1
great scares and a good surprise ending 	1
than to rush to the theater for this one 	0
an enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty 	1
so perfect for a ballplayer 	1
arduous journey 	0
melodramatic paranormal romance 	0
goes down easy 	0
this movie directionless 	0
original film 	1
raunchy as south park 	0
existential drama without any of the pretension associated with the term 	1
is worth your time , 	1
seen in that light 	1
flavor and spice 	1
e.t. works because its flabbergasting principals , 14-year-old robert macnaughton , 6-year-old drew barrymore and 10-year-old henry thomas , convince us of the existence of the wise , wizened visitor from a faraway planet . 	1
come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s 	0
best korean film 	1
falls victim 	0
reminds at every turn of elizabeth berkley 's flopping dolphin-gasm 	0
wise and deadpan 	1
most entertaining moments 	1
's all about anakin ... and the lustrous polished visuals rich in color and creativity and , of course , special effect . 	1
was more diverting and thought-provoking than i 'd expected it to be . 	1
neither original 	0
bravery 	1
, longley 's film lacks balance ... and fails to put the struggle into meaningful historical context . 	0
keenly observed and refreshingly natural , swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . 	1
an awfully good , achingly human picture . 	1
is simply brilliant . 	1
an all-star salute 	1
as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product 	0
with the prospect of films like kangaroo jack about to burst across america 's winter movie screens it 's a pleasure to have a film like the hours as an alternative . 	1
the right frame of mind 	1
for a quick-buck sequel 	0
the silliness 	1
carries a charge of genuine excitement 	1
take notice 	1
the old disease-of-the-week small-screen melodramas 	0
hard to like a film so cold and dead 	0
is in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo 	0
degrading and strangely liberating 	1
the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm 	1
a half dozen 	1
most good-hearted yet sensual entertainment 	1
the spectacle 	1
of law enforcement , and a visceral , nasty journey 	0
a gentle film with dramatic punch , a haunting ode to humanity 	1
with a massive infusion of old-fashioned hollywood magic 	1
fast-paced and wonderfully edited 	1
its unhurried narrative 	1
carries us effortlessly from darkness to light 	1
generous and subversive 	1
has no point 	0
is hollow , self-indulgent , and - worst of all - boring . 	0
statham employs an accent that i think is supposed to be an attempt at hardass american but sometimes just lapses into unhidden british . 	0
is still a deeply moving effort to put a human face on the travail of thousands of vietnamese . 	1
possess the lack-of-attention span 	0
it 's super - violent , super-serious and super-stupid . 	0
jagged camera moves 	0
one 's appetite for the bollywood films 	1
the optimism of a group of people who are struggling to give themselves a better lot in life than the ones 	1
sense-spinning 	1
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ... `` my big fat greek wedding '' comes from the heart 	1
superb 	1
said that he is an imaginative filmmaker who can see the forest for the trees 	1
four star performance 	1
contemplation 	1
too heavy for the plot 	0
wear thin 	0
its strengths 	1
of a paint-by-numbers picture 	0
bold colors 	1
is so bad , that it 's almost worth seeing because it 's so bad . 	0
, contrived sequels 	0
a pleasant distraction , a friday night diversion , an excuse to eat popcorn 	1
a well-intentioned effort that 's still too burdened by the actor 	1
madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like michael jackson 's nose . 	0
an interesting movie 	1
`` serious issues '' 	0
humane and important 	1
not a bad way 	1
by way of what can be gleaned from this three-hour endurance test built around an hour 's worth of actual material 	0
the sum of all fears is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) . 	0
aged past his prime 	0
is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything 	0
with phony humility barely camouflaging grotesque narcissism 	0
genial romance 	1
understands characters must come first 	1
katzenberg 	1
more to think about after the final frame 	1
new star wars movie 	1
stretched out to feature length 	0
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character 	1
there is a subversive element to this disney cartoon , providing unexpected fizzability . 	1
is left with the inescapable conclusion that hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power 	1
culture-clash comedy 	1
saw the film 	1
an 8-year-old channeling roberto benigni 	0
films that leaps over national boundaries and celebrates universal human nature 	1
fast and funny , 	1
misanthropy 	0
one of the best , most 	1
is simply tired 	0
oddly colorful and 	1
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ? 	0
fanciful , grisly and engagingly quixotic 	1
adds enough quirky and satirical touches in the screenplay to keep the film entertaining 	1
stale retread 	0
burnt out on it 's a wonderful life marathons and bored 	0
a low-rent retread 	0
stay in touch with your own skin 	1
coheres into a sane and breathtakingly creative film 	1
of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface 	1
knows its classical music , knows its freud and 	1
loses its fire midway , nearly flickering out by its perfunctory conclusion 	0
'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening 	0
exquisite acting 	1
my only wish is that celebi could take me back to a time before i saw this movie and 	0
- i also wanted a little alien as a friend ! 	1
play like the worst kind of hollywood heart-string plucking . 	0
you 'll find yourself remembering this refreshing visit to a sunshine state . 	1
the feature-length stretch ... strains the show 's concept . 	0
are too obvious 	0
fairly unsettling scenes 	0
its economical 	1
heartfelt and 	1
emotional depth 	1
juiced with enough energy and excitement for at least three films 	1
after a while 	0
titillating material 	1
of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes 	1
like a three-ring circus , there are side stories aplenty -- none of them memorable . 	0
red dragon rates as an exceptional thriller . 	1
to give them credit for : the message of the movie 	1
are just so weird that i honestly never knew what the hell was coming next . 	1
hitchens ' obsession with kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power 	1
equate to being good , 	1
that in a good way 	1
was worse . '' 	0
barn-burningly 	0
misses a major opportunity to be truly revelatory about his psyche . 	0
notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal , and 	1
one of ( witherspoon 's ) better films 	1
b + 	1
dabbles all around , never gaining much momentum . 	0
to work with , sort of like michael jackson 's nose 	0
extraordinary debut from josh koury 	1
deeply humanizing 	1
beats new life into it 	1
beautiful , evocative 	1
would have saved this film a world of hurt . 	0
goes off the beaten path , not necessarily for the better 	0
bang-up job 	1
a solidly constructed , entertaining thriller 	1
, mr. audiard 's direction is fluid and quick . 	1
has enough laughs to sustain interest to the end 	1
innocent , childlike and inherently funny 	1
it 's a movie that gets under your skin . 	0
never comes together 	0
funnier than being about something 	1
with this silly little puddle of a movie 	0
it finds no way to entertain or inspire its viewers . 	0
family audience 	1
shanghai ghetto may not be as dramatic as roman polanski 's the pianist , but its compassionate spirit soars every bit as high 	1
make ` cherish ' a very good ( but not great ) movie 	1
on the surface a silly comedy 	1
soderbergh 's best films , `` erin brockovich , '' `` out of sight '' and 	1
is quite possibly the sturdiest example yet of why the dv revolution has cheapened the artistry of making a film . 	0
sneaks up on the viewer 	1
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis . 	1
comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible . 	0
, discontent , and yearning 	0
as a nifty plot line in steven soderbergh 's traffic fails to arrive at any satisfying destination 	0
clumsy dialogue , heavy-handed phoney-feeling sentiment , and 	0
enthusiastically taking up the current teen movie concern with bodily functions , walt becker 's film pushes all the demographically appropriate comic buttons . 	1
is well worthwhile . 	1
often heartbreaking 	0
actually means to face your fears 	1
enlightening 	1
frailty will turn bill paxton into an a-list director 	1
, you 're likely wondering why you 've been watching all this strutting and posturing . 	0
though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should . 	1
becomes a chore to sit through -- despite some first-rate performances by its lead 	0
its empty head 	0
more than a little pretentious 	0
to a moving tragedy with some buoyant human moments 	1
the acting is just fine , 	1
sexism to monday morning that undercuts its charm 	0
unsentimental 	0
everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill 	1
this movie got me grinning . 	1
this movie feel more like a non-stop cry for attention , than an attempt at any kind of satisfying entertainment . 	0
come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated . 	1
very good comedic songs 	1
it 's hard to understand why anyone in his right mind would even think to make the attraction a movie . 	0
half-baked setups and 	0
ultimately worthwhile 	1
made a film that is an undeniably worthy and devastating experience 	1
the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby 	0
runs around and 	1
with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent , but as is , personal velocity seems to be idling in neutral 	0
the humor wry and sprightly 	1
, funnier . 	1
charred , somewhere northwest of the bermuda triangle 	0
lazy 	0
conned 	0
lead actress andie macdowell 	1
classic ladies and gentlemen , the fabulous stains 	1
far more entertaining than i had expected 	1
ends with scenes so true and heartbreaking 	1
traditional 	1
winning and wildly fascinating 	1
adam sandler 's heart may be in the right place , but he needs to pull his head out of his butt 	0
the story 's scope and pageantry are mesmerizing 	1
lackadaisical plotting and mindless action 	0
sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' . 	1
've learned the hard way just how complex international terrorism is 	0
wang ) 	0
's surprisingly decent , particularly for a tenth installment in a series . 	1
what 's so striking about jolie 's performance is that she never lets her character become a caricature -- not even with that radioactive hair . 	1
allows the film to drag on for nearly three hours 	0
the young stars are too cute ; the story and ensuing complications are too manipulative 	0
that cal works out his issues with his dad and comes to terms with his picture-perfect life 	1
disturbing disregard 	0
beautiful , angry and sad , with a curious sick poetry , as if the marquis de sade had gone in for pastel landscapes . 	1
does a good job of establishing a time and place , and of telling a fascinating character 's story 	1
more strongly 	1
some of the year 's ( unintentionally ) funniest moments , that it 's impossible to care 	0
watch barbershop again if you 're in need of a cube fix -- this is n't worth sitting through . 	0
nohe 's documentary about the event is sympathetic without being gullible : he is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction 	1
of humankind 's liberating ability 	1
the origins 	1
a film about the irksome , tiresome nature of complacency 	0
beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly 	1
laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , 	1
the capability of effecting change and inspiring hope 	1
( washington 's ) strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene . 	1
this sappy ethnic sleeper proves that not only blockbusters pollute the summer movie pool . 	0
true and heartbreaking 	1
you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over 	0
of nature and family warmth 	1
you might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . 	0
a sea of constant smiles and frequent laughter 	1
a recommendation 	1
clear-eyed chronicle 	1
more bizarre 	0
the story is bogus and 	0
simply by accident 	0
... keep the movie from ever reaching the comic heights it obviously desired . 	0
so original in its base concept that you can not help but get caught up . 	1
filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability 	1
this film 's impressive performances 	1
undercuts the joie de vivre even as he creates it 	1
create something original 	1
the performers are so spot on 	1
like the hanks character , he 's a slow study : the action is stilted and the tabloid energy embalmed . 	0
this piece of crap 	0
more complex 	1
involved in creating the layered richness of the imagery in this chiaroscuro of madness and light 	1
genre a bad name . 	0
a winning family story 	1
of the two bewitched adolescents 	0
i 'll go out on a limb . 	1
one more dumb high school comedy 	0
richly entertaining and suggestive 	1
made a walk to remember a niche hit 	1
hackneyed and meanspirited storyline 	0
lets her complicated characters be unruly , confusing and , through it all , human 	1
it should be interesting , it should be poignant , it turns out to be affected and boring 	0
include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) 	1
you can taste it , 	1
surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue 	0
consider what new best friend does not have , beginning with the minor omission of a screenplay 	0
that rare animal known as ' a perfect family film 	1
nice evening out 	1
nearly as fresh or enjoyable as its predecessor 	1
the hand that has finally , to some extent , warmed up to him 	1
a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams . 	1
shimmering cinematography 	1
you 'll love this movie . 	1
of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original 	0
would have been better than the fiction it has concocted 	0
be so stupid 	0
unfunny and 	0
have failed 	0
i was trying to decide what annoyed me most about god is great ... i 'm not , and then i realized that i just did n't care . 	0
list 	0
meticulous talent 	1
worry about being subjected to farts , urine , feces , semen , or any of the other foul substances 	0
a series of relentlessly nasty situations 	0
it sucked . 	0
tiresome as 9 	0
like trying to eat brussels sprouts 	0
of dramatic fireworks 	1
is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas 	0
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this 	0
's superficial and unrealized 	0
offers much to absorb and even more to think about after the final frame . 	1
this dubious product 	0
street-smart 	1
pushiness 	0
has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers 	1
invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets 	0
encourages you to accept it as life and go with its flow 	1
are mean giggles and pulchritude . 	0
never finds its tone and several scenes run too long . 	0
huppert 's show to steal and she makes a meal of it , channeling kathy baker 's creepy turn as the repressed mother on boston public just as much as 8 women 's augustine . 	1
the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him 	1
a bodice-ripper for intellectuals 	1
are nowhere near as vivid as the 19th-century ones 	0
ticks off kahlo 's lifetime milestones with the dutiful precision of a tax accountant 	0
is dicaprio 's best performance in anything ever , and easily the most watchable film of the year . 	1
, much better . 	1
he can outgag any of those young whippersnappers making moving pictures today 	1
the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student -- where 's pauly shore as the rocket scientist ? 	0
are also 	1
can not disguise the slack complacency of ( godard 's ) vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice 	0
long on twinkly-eyed close-ups and short on shame 	0
rendered tedious 	0
in denial about 	0
terrifically 	1
leers , offering next to little insight into its intriguing subject 	0
tickled 	1
would fit chan like a $ 99 bargain-basement special 	0
clichés , 	0
transcends the normal divisions between fiction and nonfiction film 	1
problematic script 	0
to be more than another `` best man '' clone by weaving a theme throughout this funny film 	1
the film was better than saving private ryan 	1
the pristine camerawork 	1
shows how deeply felt emotions can draw people together across the walls that might otherwise separate them . 	1
crafted an intriguing story of maternal instincts and misguided acts of affection 	1
you 'll like it . 	1
watch on video at home 	0
can take credit for most of the movie 's success 	1
bewilderingly brilliant 	1
is long on narrative and ( too ) short 	0
, the film goes right over the edge and kills every sense of believability 	0
's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet 	0
interview with the assassin is structured less as a documentary and more as a found relic , 	0
provocative material 	1
is far from disappointing , offering an original 	1
a hole in the head 	0
mind-destroying cinematic pollution 	0
