group,model,dataset,seed,L_mode,selector,selected_h2,selected_L_q50,selected_L_q90,selected_L_q95,selection_status,flags,source_output_dir
B_task,roberta-large,rte,17,L_clean32,plateau_q90_primary,1e-05,6.574749637778522e-06,1.6072963554417347e-05,2.009091906411535e-05,selected,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
B_task,roberta-large,rte,17,L_oracle_precision,plateau_q90_primary,0.0003,7.636859742270028e-06,1.2624241151133052e-05,1.3663319206851865e-05,selected,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
B_task,roberta-large,rte,17,L_oracle_precision,old_snr_max_fallback_ablation,0.003,1.138699718780966e-05,2.9523097211871923e-05,3.432581091890143e-05,selected,ablation_only;fallback_max_snr,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
B_task,roberta-large,rte,18,L_clean32,plateau_q90_primary,0.0003,4.76098721379617e-06,1.2250555939407314e-05,1.4383879633974553e-05,selected,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
B_task,roberta-large,rte,18,L_oracle_precision,plateau_q90_primary,0.0003,9.507040327725604e-06,1.4547283426907259e-05,1.636498803895891e-05,selected,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
B_task,roberta-large,rte,18,L_oracle_precision,old_snr_max_fallback_ablation,3e-05,0.000358425283451613,0.0007896474708347953,0.0009091294840762682,selected,ablation_only;fallback_max_snr,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
C_model,OPT-1.3B,sst-2,16,L_clean32,plateau_q90_primary,3e-05,7.990450680848187e-05,0.00013799255274920066,0.00017214305466078388,selected,,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
C_model,OPT-1.3B,sst-2,16,L_oracle_precision,plateau_q90_primary,0.0003,2.1764892997905257e-05,4.394434418548034e-05,4.683175657498838e-05,selected,,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
C_model,OPT-1.3B,sst-2,16,L_oracle_precision,old_snr_max_fallback_ablation,0.0003,2.1764892997905257e-05,4.394434418548034e-05,4.683175657498838e-05,selected,ablation_only;fallback_max_snr,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
C_model,OPT-1.3B,sst-2,17,L_clean32,plateau_q90_primary,3e-05,5.916655572636547e-05,0.00014168766431908088,0.00017630860665116883,selected,,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
C_model,OPT-1.3B,sst-2,17,L_oracle_precision,plateau_q90_primary,0.0003,4.137112363446793e-05,8.069032496273867e-05,8.981006426389197e-05,selected,,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
C_model,OPT-1.3B,sst-2,17,L_oracle_precision,old_snr_max_fallback_ablation,0.0003,4.137112363446793e-05,8.069032496273867e-05,8.981006426389197e-05,selected,ablation_only;fallback_max_snr,analysis/fp16_direct_hstar_mse_opt1p3b_20260520_182256
