sweep,model,task,h_str,h,status,eval_loss,mse,metrics_csv,probe_csv,run_summary
quzo16,roberta-large,sst5,1e-3,0.001,completed,1.0888671875,2428.1518371355733,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,3e-3,0.003,completed,1.08984375,1759.1615982025369,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,1e-2,0.01,completed,1.685546875,253.78974560944215,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,3e-2,0.03,completed,1.6748046875,81.57703185249586,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/run_summary.json
quzo8,roberta-large,mnli,1e-8,1e-08,unknown,1.1833176612854004,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/smoke/mezo/roberta-large/mnli/int8/h_sweep_14h/smoke/mnli/results/h_1e-8/smoke_run/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/smoke/mezo/roberta-large/mnli/int8/h_sweep_14h/smoke/mnli/results/h_1e-8/smoke_run/seed16/run_summary.json
quzo16,roberta-large,mnli,1e-8,1e-08,skipped_nan_guard,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-8/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,mnli,3e-8,3e-08,skipped_nan_guard,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-8/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,mnli,1e-7,1e-07,skipped_nan_guard,,3961532.4023688417,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-7/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,mnli,3e-7,3e-07,skipped_nan_guard,,1329610.42527406,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-7/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,mnli,1e-6,1e-06,skipped_nan_guard,1.1513671875,19694286.130358443,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-6/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,mnli,3e-6,3e-06,completed,1.1005859375,18022.84343046815,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,1e-5,1e-05,completed,0.7666015625,1019.2713675846517,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,3e-5,3e-05,completed,0.76123046875,700.8058691116162,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,1e-4,0.0001,completed,0.7412109375,1055.6734801906714,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,3e-4,0.0003,completed,0.7568359375,1386.2292328716658,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,1e-3,0.001,completed,0.80615234375,1164.1196681609465,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-3/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,3e-3,0.003,completed,0.86474609375,608.9958308862042,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-3/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,1e-2,0.01,completed,1.1162109375,553.9564705461742,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_1e-2/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,mnli,3e-2,0.03,completed,1.1220703125,156.74172919787196,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/mnli/fp16/h_sweep_14h/results/h_3e-2/run_quzo16/seed16/run_summary.json
quzo8,opt-1.3b,sst5,1e-8,1e-08,unknown,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/smoke/mezo/opt-1.3b/sst5/int8/h_sweep_14h/smoke/sst5/results/h_1e-8/seed_42_r3/metrics_SST5-opt-1.3b-eps1e-08-qbits8-smoke-quzo8-sst5-r3.csv,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/smoke/mezo/opt-1.3b/sst5/int8/h_sweep_14h/smoke/sst5/results/h_1e-8/seed_42_r3/run_summary.json
quzo16,opt-1.3b,sst5,1e-8,1e-08,completed,nan,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-8/seed_42/metrics_SST5-opt-1.3b-eps1e-08-qbits16-hsweep14h-quzo16-sst5-h1e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-8/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-8/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-8,3e-08,completed,nan,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-8/seed_42/metrics_SST5-opt-1.3b-eps3e-08-qbits16-hsweep14h-quzo16-sst5-h3e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-8/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-8/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-7,1e-07,completed,nan,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-7/seed_42/metrics_SST5-opt-1.3b-eps1e-07-qbits16-hsweep14h-quzo16-sst5-h1e-7-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-7/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-7/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-7,3e-07,completed,nan,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-7/seed_42/metrics_SST5-opt-1.3b-eps3e-07-qbits16-hsweep14h-quzo16-sst5-h3e-7-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-7/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-7/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-6,1e-06,completed,nan,23393212.27982457,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-6/seed_42/metrics_SST5-opt-1.3b-eps1e-06-qbits16-hsweep14h-quzo16-sst5-h1e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-6/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-6,3e-06,completed,1.8662109375,157013.9307839477,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-6/seed_42/metrics_SST5-opt-1.3b-eps3e-06-qbits16-hsweep14h-quzo16-sst5-h3e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-6/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-5,1e-05,completed,1.6279296875,10329.958316700762,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-5/seed_42/metrics_SST5-opt-1.3b-eps1e-05-qbits16-hsweep14h-quzo16-sst5-h1e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-5/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-5,3e-05,completed,1.248046875,1810.262586474207,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-5/seed_42/metrics_SST5-opt-1.3b-eps3e-05-qbits16-hsweep14h-quzo16-sst5-h3e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-5/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-4,0.0001,completed,1.2138671875,137.6312144047415,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0001-qbits16-hsweep14h-quzo16-sst5-h1e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-4/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-4,0.0003,completed,1.19140625,720.1072724714213,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0003-qbits16-hsweep14h-quzo16-sst5-h3e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-4/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-3,0.001,completed,1.1767578125,2409.14606023368,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-3/seed_42/metrics_SST5-opt-1.3b-eps0.001-qbits16-hsweep14h-quzo16-sst5-h1e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-3/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-3/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-3,0.003,completed,1.2783203125,6639.002118892948,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-3/seed_42/metrics_SST5-opt-1.3b-eps0.003-qbits16-hsweep14h-quzo16-sst5-h3e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-3/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-3/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,1e-2,0.01,completed,1.685546875,7915.949690383211,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-2/seed_42/metrics_SST5-opt-1.3b-eps0.01-qbits16-hsweep14h-quzo16-sst5-h1e-2-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-2/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_1e-2/seed_42/run_summary.json
quzo16,opt-1.3b,sst5,3e-2,0.03,completed,1.806640625,10999.650167686174,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-2/seed_42/metrics_SST5-opt-1.3b-eps0.03-qbits16-hsweep14h-quzo16-sst5-h3e-2-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-2/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/sst5/fp16/h_sweep_14h/results/h_3e-2/seed_42/run_summary.json
quzo16,opt-1.3b,mnli,1e-8,1e-08,completed,nan,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/mnli/fp16/h_sweep_14h/results/h_1e-8/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-08-qbits16-hsweep14h-quzo16-mnli-h1e-8-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/mnli/fp16/h_sweep_14h/results/h_1e-8/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/opt-1.3b/mnli/fp16/h_sweep_14h/results/h_1e-8/seed_42/run_summary.json
