model,task,precision,mode,quantizer,h,active_frac,norm_ratio,cos_vh_u,jump_distribution,d_Q_scale_or_variance,directional_nmse,directional_corr,source_path
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0001,2.114864736404905e-05,0.3646246513493487,0.021432059344458,,,1.114479469390667,0.0693039815027938,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0002,0.0022365223237749,4.600769932927514,0.1816154989348229,,,68.75019255475048,-0.3414403777684858,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0003,0.0033870256150012,3.774126963275231,0.2238957284224881,,,62.848574835329366,-0.1789435156024651,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0003,0.0002927578172248,0.5031349235315038,0.102622205932751,,,1.7798353216733591,0.0460483618677142,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0003,0.000291728025839,0.502309261758424,0.1025195893272058,,,1.2586630196362227,0.0515957019581057,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0005,0.0057395113958822,2.947129004394643,0.2923252495324948,,,42.44944853097779,0.0811661651755458,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0005,0.0013800583542709,0.7029456704514379,0.2233080737855903,,,2.022654385733232,0.0361143678829576,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0005,0.0013786013361269,0.7025694268115273,0.2232962336220646,,,1.0770272554015623,0.2791767831238813,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0007,0.0081497407270577,2.508053873038828,0.3491953275584299,,,38.1221004227159,0.064531484287017,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.00085,0.0099906018550496,2.286617293575319,0.3871926701831585,,,22.03883748009522,0.1586874163910353,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.001,0.0118557501343219,2.117244821479704,0.4223022172401361,,,17.965026477751227,0.1848385742447146,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.001,0.0085650537384993,0.947769933974532,0.5023509412012347,,,2.440363280161919,0.1878413731723071,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.001,0.0085624931024982,0.9475372258446964,0.5023265332732472,,,1.1807763977460943,0.181693548256945,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0012,0.0143726305921372,1.9427469020392076,0.4655618926693719,,,11.57992612979488,0.2141269989394099,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0015,0.018195218325547,1.7498666447770832,0.5245830268881663,,,6.467862756562861,0.1806936894352357,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0018,0.0220314796003257,1.6082636051241148,0.5776973514464225,,,4.902887992144777,0.1636999675281899,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.002,0.0245713253640305,1.53313691938287,0.6102087456091626,,,4.6049912334826,0.1416137159015907,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0025,0.0307306458913445,1.3919564714655956,0.6816208077808741,,,3.2786142703312486,0.1364851674969349,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.003,0.0364531698161836,1.2964549957055431,0.7395190704619976,,,2.016099559056743,0.2585759237999329,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.003,0.0471537108369553,1.0699912601817545,0.9077503411087372,,,1.159859476971541,0.5551560402040464,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.003,0.0471512438902618,1.0700020607985026,0.9077599301659258,,,1.272467758793933,0.1599166165447575,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0035,0.0416263221406965,1.2301281902680272,0.7853714392729333,,,1.1346664552758927,0.5834249581028058,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.004,0.0462287060199539,1.1827329010652794,0.8213224505365984,,,0.9933882989619416,0.6074780910785144,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.005,0.0538740850369014,1.121258185910589,0.8717613300181661,,,0.7160639329242005,0.6278422260150427,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.005,0.0538223936752566,1.121745779195964,0.8713780570635443,,,0.7857876503372655,0.5807738614688347,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.005,0.0657883616336681,1.0363045792479089,0.9646324893952616,,,1.622309757372187,0.3916954603542286,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.005,0.0657854983970234,1.0363015223999497,0.9646338551371952,,,0.8267176663607265,0.4640189779870319,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.007,0.0645337563383892,1.0602837078881515,0.9251668162819,,,0.9394212045903272,0.5165973677543817,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.007,0.0644802266976094,1.0605557941349566,0.9249273712776808,,,0.9341226745844904,0.455107869591828,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.01,0.0739433073027289,1.0227252274637846,0.9582432790840516,,,0.6540788227461358,0.5803132130383686,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.01,0.0738919936865289,1.0228419036673158,0.9581141683381084,,,1.2619580159692605,0.1205422735880919,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.01,0.0823040651780025,1.0092764478100045,0.9907961443774148,,,0.9392760532363176,0.3897264459148272,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.01,0.0823000312644559,1.0092776575141695,0.9907967054970486,,,0.8042547602271946,0.4404509501483579,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_fixeddirs32/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.012,0.0778729757625304,1.0099626258477747,0.968556248024365,,,0.8794499032543447,0.1826879876610372,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.015,0.0820240672116757,0.997106982732514,0.9772201244988916,,,0.6242793367056481,0.4740714435370366,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.02,0.0863379514791056,0.9811624588322324,0.9835933111243932,,,0.545682379714812,0.5816615537272932,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_refine/sst-5/summary.csv
