source_path,copied_to
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k__metrics.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k__metrics.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k__metrics.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/sparse_p0p1_taskgrad_cleanGL_hstar/int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__sparse_p0p1_taskgrad_cleanGL_hstar__int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/sparse_p0p1_taskgrad_cleanGL_hstar/int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__sparse_p0p1_taskgrad_cleanGL_hstar__int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/sparse_p0p1_taskgrad_cleanGL_hstar/int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__sparse_p0p1_taskgrad_cleanGL_hstar__int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/sparse_p0p1_taskgrad_cleanGL_hstar/int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__sparse_p0p1_taskgrad_cleanGL_hstar__int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k__metrics.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/sparse_p0p1_taskgrad_cleanGL_hstar/int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__sparse_p0p1_taskgrad_cleanGL_hstar__int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k__metrics.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_mnli_hstar_h5p098073479em05_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k__metrics.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_rte_hstar_h9p131247237em05_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k__metrics.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst2_hstar_h0p0006214786935_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k__metrics.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_sst5_hstar_h0p0006145433385_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k__metrics.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/dense_lowbitL_hstar/int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__dense_lowbitL_hstar__int4_dense_lowbitL_trec_hstar_h0p001624253265_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/sparse_p0p1_taskgrad_lowbitL_hstar/int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__sparse_p0p1_taskgrad_lowbitL_hstar__int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k__run_summary.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/sparse_p0p1_taskgrad_lowbitL_hstar/int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__sparse_p0p1_taskgrad_lowbitL_hstar__int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k__run_config.json
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch/sparse_p0p1_taskgrad_lowbitL_hstar/int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch__sparse_p0p1_taskgrad_lowbitL_hstar__int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k__run_manifest_row.json
