task,mode,raw_h_policy,h_value,seed,run_type,steps,best_dev_acc,final_dev_acc,source_path,run_name,h_policy
trec,sparse_p0p1,hstar_cleanGL,0.0012135533363166,16,full,20000.0,0.6904761904761905,0.673992673992674,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_trec_hstar_cleanGL_h0p00121355333632_seed16_full_bs64_step20k,reference
sst-2,sparse_p0p1,hstar_lowbitL,0.0010440057466626,16,full,20000.0,0.9037861915367484,0.8974016332590943,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_hstar_lowbitL_h0p00104400574666_seed16_full_bs64_step20k,reference
sst-5,sparse_p0p1,hstar_lowbitL,0.0013665044203238,16,full,20000.0,0.4754098360655737,0.4672131147540984,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_lowbitL_h0p00136650442032_seed16_full_bs64_step20k,reference
rte,sparse_p0p1,hstar_lowbitL,0.0003591546781873,16,full,20000.0,0.6385542168674698,0.6224899598393574,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_lowbitL_h0p000359154678187_seed16_full_bs64_step20k,reference
mnli,sparse_p0p1,hstar_lowbitL,0.000437324731266,16,full,20000.0,0.5047873694932519,0.4872676343264578,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_hstar_lowbitL_h0p000437324731266_seed16_full_bs64_step20k,reference
trec,sparse_p0p1,hstar_lowbitL,0.0006825578664185,16,full,20000.0,0.7893772893772893,0.7893772893772893,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_trec_hstar_lowbitL_h0p000682557866419_seed16_full_bs64_step20k,reference
sst-2,sparse_p0p1,cleanGL_hstar_continuous,0.0014831360079805,16,full,20000.0,0.8087602078693392,0.8087602078693392,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_dense_sst2_cleanGL_hstar_h0p001483136008_seed16_full_bs64_step20k,reference
sst-5,sparse_p0p1,cleanGL_hstar_continuous,0.0015509397815746,16,full,20000.0,0.4262295081967213,0.3348946135831381,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_dense_sst5_cleanGL_hstar_h0p001550939782_seed16_full_bs64_step20k,reference
rte,sparse_p0p1,cleanGL_hstar_continuous,0.0017056253106509,16,full,20000.0,0.6024096385542169,0.6024096385542169,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k,reference
mnli,sparse_p0p1,cleanGL_hstar_continuous,0.0013127067362835,16,full,20000.0,0.4727272727272727,0.4727272727272727,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k,reference
trec,sparse_p0p1,cleanGL_hstar_continuous,0.0006975900432871,16,full,20000.0,0.8278388278388278,0.8113553113553114,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_dense_trec_cleanGL_hstar_h0p0006975900433_seed16_full_bs64_step20k,reference
sst-2,sparse_p0p1,cleanGL_hstar_continuous,0.000458314754972,16,full,20000.0,0.8956198960653303,0.8922048997772829,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_sst2_cleanGL_hstar_h0p000458314755_seed16_full_bs64_step20k,reference
mnli,sparse_p0p1,hstar_lowbitL_continuous,0.000437324731266,16,full,20000.0,0.5768016297428062,0.5768016297428062,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_lowbitL_mnli_hstar_h0p0004373247313_seed16_full_bs64_step20k,reference
rte,sparse_p0p1,hstar_lowbitL_continuous,0.0003591546781873,16,full,20000.0,0.6184738955823293,0.5542168674698795,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_lowbitL_rte_hstar_h0p0003591546782_seed16_full_bs64_step20k,reference
sst-2,sparse_p0p1,hstar_lowbitL_continuous,0.0010440057466626,16,full,20000.0,0.8910170749814402,0.8910170749814402,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_lowbitL_sst2_hstar_h0p001044005747_seed16_full_bs64_step20k,reference
sst-5,sparse_p0p1,hstar_lowbitL_continuous,0.0013665044203238,16,full,20000.0,0.2950819672131147,0.2681498829039813,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_lowbitL_sst5_hstar_h0p00136650442_seed16_full_bs64_step20k,reference
trec,sparse_p0p1,hstar_lowbitL_continuous,0.0006825578664185,16,full,20000.0,0.8388278388278388,0.826007326007326,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_lowbitL_trec_hstar_h0p0006825578664_seed16_full_bs64_step20k,reference
