task,h,probe_mae,probe_rmse,probe_sign_acc,probe_corr,fd_mean,td_mean
sst-5,3e-06,70.03624188899994,89.30684169877298,0.75,0.44043174771571164,-16.37140879034996,-5.367007404565811
sst-5,1e-05,28.491494342684746,34.09997888883479,0.75,0.6723379298506403,6.389617919921875,4.501165553927422
sst-5,3e-05,8.906723631545901,10.853286020930682,0.8125,0.9436677561327137,9.76721508987248,10.491513341665268
sst-5,0.0001,1.880305752158165,2.296343213976505,0.9375,0.9957440870522719,1.3589859008789062,1.1984487920999527
sst-5,0.0003,0.8295026160776615,1.1676663248696422,1.0,0.9987998466040832,1.8835065886378288,2.1100631542503834
sst-5,0.001,2.489144057035446,3.15616753484578,1.0,0.9914627392434392,2.807140126824379,2.1950548738241196
sst-5,0.003,9.71129984781146,11.741867716188338,0.875,0.8309955284528118,4.532416734844446,0.24817627668380737
sst-5,0.01,11.890844725072384,15.407302336394848,0.5625,-0.10857135106310702,4.889369010925293,-3.1415399238467216
MNLI,1e-09,nan,nan,nan,nan,nan,nan
MNLI,3e-09,nan,nan,nan,nan,nan,nan
MNLI,1e-08,nan,nan,nan,nan,nan,nan
MNLI,3e-08,nan,nan,nan,nan,nan,nan
MNLI,1e-07,1810.1890355944633,2311.109393923064,0.375,-0.3011910287310572,-689.0296936035156,-7.313494026660919
MNLI,3e-07,10881.7674202919,13495.093766640599,0.5625,-0.17386799947833456,-6001.790252685547,-85.095938205719
MNLI,1e-06,2397.0363762378693,2931.949218685851,0.4375,-0.4731881794797009,79.87020874023438,337.835960149765
MNLI,3e-06,57.89013883471489,68.89719612600506,0.5,0.4977677997798051,-12.71565666794777,4.42692369222641
MNLI,1e-05,18.614071428775787,23.582095987394883,0.875,0.7901076837121079,-0.9715557098388672,-2.862489879131317
MNLI,3e-05,2.5824723541736603,3.5101786538911997,1.0,0.9875652911043089,-0.9298325628042221,-0.8269203454256058
MNLI,0.0001,1.2657756954431534,1.5599943377238592,1.0,0.9976394291923566,-1.8417835235595703,-1.9798206239938736
MNLI,0.0003,0.5403205454349518,0.6170827281975626,1.0,0.9996474231070209,-1.5918412655591965,-1.7595206052064896
MNLI,0.001,1.7178489714860916,2.2652355611848938,1.0,0.9944570496450249,-1.6189812570810318,-1.9070818424224854
MNLI,0.003,9.430028408765793,11.648438616521567,0.75,0.8360469582505198,-1.188715249300003,-1.3709800839424133
MNLI,0.01,8.402379363775253,11.515865872108627,0.75,0.6313663322748987,-0.4301786422729492,-0.0900966227054596
RTE,1e-09,nan,nan,nan,nan,nan,nan
RTE,3e-09,nan,nan,nan,nan,nan,nan
RTE,1e-08,nan,nan,nan,nan,nan,nan
RTE,3e-08,nan,nan,nan,nan,nan,nan
RTE,1e-07,17313.46212720871,20378.417614269645,0.375,-0.21924692817419333,-1220.703125,-343.49586153030396
RTE,3e-07,8138.076055049896,9383.30975161979,0.3125,0.0277886034639972,1807.0886249542236,-474.3405394554138
RTE,1e-06,1471.0695033073425,1707.8731073214133,0.625,0.2980116322051641,-79.5125961303711,230.0548014640808
RTE,1e-05,10.210507951676846,12.773578602252709,0.875,0.8115206257104924,4.929304122924805,1.2348389402031898
RTE,3e-05,3.479461308568716,4.1022658229854905,1.0,0.9702396491566254,-2.751748088747263,-1.3377931863069534
RTE,0.0001,0.7070425488054752,0.7870110090350702,0.9375,0.9972063871412482,1.576542854309082,1.68288329616189
RTE,0.0003,0.46452911337837577,0.5573488334943806,1.0,0.9984557923877931,1.3397136381827295,1.3896791599690914
RTE,0.001,2.0853033419698477,2.623884416511189,0.875,0.9717640281059198,1.3578532543033361,0.12220430746674538
RTE,0.003,4.616955240257084,5.541485040167607,0.8125,0.8045788644128208,0.8892417401075363,0.3680589450523257
RTE,0.01,8.591089557856321,11.577683835530864,0.4375,-0.15786024875746515,3.298860788345337,-1.9135161004960537
