sweep,model,task,h_str,h,eval_loss,mse,metrics_csv,probe_csv,run_summary
8h_mezo_int8,roberta-large,mnli,1e-5,1e-05,1.0986123085021973,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,3e-5,3e-05,16.93596839904785,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,1e-4,0.0001,8.507131576538086,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,3e-4,0.0003,8.735437393188477,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,1e-3,0.001,1.0986340045928955,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,3e-3,0.003,1.5256059169769287,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,1e-6,1e-06,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-6/seed_42/metrics_SST5-opt-1.3b-eps1e-06-qbits8-hsweep8h-mezo_int8-sst5-h1e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-6/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,3e-6,3e-06,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-6/seed_42/metrics_SST5-opt-1.3b-eps3e-06-qbits8-hsweep8h-mezo_int8-sst5-h3e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-6/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,1e-5,1e-05,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-5/seed_42/metrics_SST5-opt-1.3b-eps1e-05-qbits8-hsweep8h-mezo_int8-sst5-h1e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-5/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,3e-5,3e-05,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-5/seed_42/metrics_SST5-opt-1.3b-eps3e-05-qbits8-hsweep8h-mezo_int8-sst5-h3e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-5/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,1e-4,0.0001,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0001-qbits8-hsweep8h-mezo_int8-sst5-h1e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-4/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,3e-4,0.0003,1.609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0003-qbits8-hsweep8h-mezo_int8-sst5-h3e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-4/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,1e-3,0.001,1.599609375,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-3/seed_42/metrics_SST5-opt-1.3b-eps0.001-qbits8-hsweep8h-mezo_int8-sst5-h1e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-3/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_1e-3/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,sst5,3e-3,0.003,2.00390625,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-3/seed_42/metrics_SST5-opt-1.3b-eps0.003-qbits8-hsweep8h-mezo_int8-sst5-h3e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-3/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/sst5/int8/h_sweep_8h/results/h_3e-3/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,1e-6,1e-06,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-6/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-06-qbits8-hsweep8h-mezo_int8-mnli-h1e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-6/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,3e-6,3e-06,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-6/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps3e-06-qbits8-hsweep8h-mezo_int8-mnli-h3e-6-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-6/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-6/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,1e-5,1e-05,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-5/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-05-qbits8-hsweep8h-mezo_int8-mnli-h1e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-5/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,3e-5,3e-05,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-5/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps3e-05-qbits8-hsweep8h-mezo_int8-mnli-h3e-5-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-5/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-5/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,1e-4,0.0001,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-4/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps0.0001-qbits8-hsweep8h-mezo_int8-mnli-h1e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-4/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,3e-4,0.0003,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-4/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps0.0003-qbits8-hsweep8h-mezo_int8-mnli-h3e-4-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-4/seed_42/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_3e-4/seed_42/run_summary.json
8h_mezo_int8,opt-1.3b,mnli,1e-3,0.001,1.0986328125,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-3/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps0.001-qbits8-hsweep8h-mezo_int8-mnli-h1e-3-seed42.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/opt-1.3b/mnli/int8/h_sweep_8h/results/h_1e-3/seed_42/zo_directional_probe.csv,
