model,task,precision,mode,radius_kind,radius_value,formula_version,source_path,used_in_main_paper,notes
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0012135533363166,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.000458314754972,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0013388576857165,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.0004352528589334,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.0008531355897454,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0012135533363166,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,sparse_p0p1,legacy_hstar,0.0010440057466626,hstar_lowbitL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,sparse_p0p1,legacy_hstar,0.0013665044203238,hstar_lowbitL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,sparse_p0p1,legacy_hstar,0.0003591546781873,hstar_lowbitL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,sparse_p0p1,legacy_hstar,0.000437324731266,hstar_lowbitL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,sparse_p0p1,legacy_hstar,0.0006825578664185,hstar_lowbitL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,prefix,legacy_hstar,0.0886419832658425,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,prefix,legacy_hstar,0.0804720147886286,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,prefix,legacy_hstar,0.072807568266058,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,prefix,legacy_hstar,0.1059865385430891,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,prefix,legacy_hstar,0.0949896412434653,fixed_small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,prefix,legacy_hstar,0.0886419832658425,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,prefix,legacy_hstar,0.0804720147886286,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,prefix,legacy_hstar,0.072807568266058,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,prefix,legacy_hstar,0.1059865385430891,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,prefix,legacy_hstar,0.0949896412434653,mezo_default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-2,int4,prefix,legacy_hstar,0.0886419832658425,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,sst-5,int4,prefix,legacy_hstar,0.0804720147886286,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,rte,int4,prefix,legacy_hstar,0.072807568266058,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,prefix,legacy_hstar,0.1059865385430891,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,trec,int4,prefix,legacy_hstar,0.0949896412434653,hstar_cleanGL,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,False,historical radius retained for provenance; not renamed frozen_h_ref unless recomputed by frozen formula
roberta-large,mnli,int4,prefix,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,mnli,int4,prefix,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,mnli,int4,prefix,training_h,0.1059865385430891,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,prefix,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,prefix,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,prefix,training_h,0.0886419832658425,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,prefix,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,prefix,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,prefix,training_h,0.0804720147886286,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,trec,int4,prefix,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,trec,int4,prefix,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,trec,int4,prefix,training_h,0.0949896412434653,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,mnli,int4,sparse_p0p1,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,mnli,int4,sparse_p0p1,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,mnli,int4,sparse_p0p1,training_h,0.000437324731266,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,rte,int4,sparse_p0p1,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,rte,int4,sparse_p0p1,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,rte,int4,sparse_p0p1,training_h,0.0003591546781873,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,sparse_p0p1,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,sparse_p0p1,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-2,int4,sparse_p0p1,training_h,0.0010440057466626,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,sparse_p0p1,training_h,0.001,MeZO default,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,sparse_p0p1,training_h,1e-05,fixed-small,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
roberta-large,sst-5,int4,sparse_p0p1,training_h,0.0013665044203238,frozen reference,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,True,actual training radius used by verified result row
facebook/opt-1.3b,sst-2,int4,dense,training_h,0.0005056172823939,reference_training_h,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,actual training radius used by verified result row
facebook/opt-1.3b,sst-5,int4,dense,training_h,0.0006543479591531,reference_training_h,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,actual training radius used by verified result row
facebook/opt-1.3b,mnli,int4,dense,training_h,0.0001731491820902,reference_training_h,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,actual training radius used by verified result row
facebook/opt-1.3b,rte,int4,dense,training_h,0.0002940821846582,reference_training_h,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,actual training radius used by verified result row
facebook/opt-1.3b,trec,int4,dense,training_h,0.0003443971570045,reference_training_h,outputs/opt13b_int4_roberta_matched_seed16_20260613_182816/full/summary_mezo_option.csv,True,actual training radius used by verified result row
