model,task,precision,mode,quantizer,checkpoint,batch_source,h,h_policy,true_directional_nmse,corr_dq_dstar,sign_agreement,active_frac,norm_ratio,visible_direction_cos,d_Q_mean,d_Q_std,d_star_mean,d_star_std,n_directions,direction_seed,source_path,notes
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,1e-05,fixed-small,520.6148408606313,-0.3174248255279775,,0.0018967024162096,15.10373288823871,0.0541414665466798,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,3e-05,grid,131.6099831233774,0.0437620853215876,,0.0057052351714821,8.732649145790841,0.094029884021254,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,152.00736243338048,-0.1904546729816665,,0.0192187323519578,4.808340531405499,0.1730948784891444,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,7.878052618273031,0.1990490637486484,,0.0592438397153341,2.814515667831029,0.3057670376556202,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,5.71634754735968,0.3975037669969221,,0.2101450007793263,1.5921971424861032,0.5807719993496581,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0015,grid,1.854662029725723,0.364601671925615,,0.3195277555470257,1.3315159474410367,0.7135441309683229,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.002,grid,0.5421256760967027,0.8274394211254475,,0.416768057364265,1.2025323771684056,0.8029951122294233,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,0.7942113862009239,0.6225660652153692,,0.5600577544133324,1.0937261239081604,0.8943770244621909,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.004,grid,0.5531507315920412,0.7293692668156866,,0.6519027823776747,1.049149761506203,0.933966286955596,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,0.7080436334674773,0.5912501752502053,,0.7134667905118612,1.0260769118568365,0.9541183737309704,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,0.8575605885759294,0.3845377139574787,,0.8498525541231001,0.984444649871826,0.9826030492091292,,,,,existing,existing,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,1e-05,fixed-small,18.152915362541084,0.1893296392459962,,0.0209422971034823,5.915127474055208,0.1681932332250126,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,3e-05,grid,16.543768060501403,0.3477849884349784,,0.0624878117769224,3.402045087128496,0.2915915692361752,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,2.5336192422767785,0.6221396810027171,,0.2071681092781021,1.864928112383728,0.5321325258331466,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,0.2569452116146749,0.9032791046462032,,0.5198217487272035,1.1789908309235035,0.8439962739293776,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,0.0640383636430435,0.9685803178599124,,0.8279214080370224,1.0150122656275018,0.9811201396207708,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.0015,grid,0.0184069803733316,0.991070451685224,,0.8838019507269287,1.0048571766591958,0.9908988965400416,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.002,grid,0.0264212641548415,0.9846273389973168,,0.9124408953473816,1.001196871535674,0.9943792421233278,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,0.0633373361912936,0.9744932132615268,,0.9414289122658028,0.9984012422279916,0.9968572335927398,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.004,grid,0.1724000355830656,0.9142740305235336,,0.9560181421662718,0.9972187180302268,0.9976942060553314,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.005,grid,0.1542996353397276,0.9300371940393972,,0.9647964847696788,0.9964800161352688,0.9980506448651172,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,0.7802650417920037,0.501629734167058,,0.9823864138607358,0.9935724712549888,0.9982388203319634,,,,,existing,existing,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,Existing probe/update mismatch diagnostic.
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-08,grid,15405.761351141056,-0.0523663582551566,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-08,grid,1913.3651269098184,-0.0389790085555508,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-07,grid,148.69815199810117,0.1951358939482436,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-07,grid,17.530334048260798,0.3752107385891354,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-06,grid,2.3620604432104964,0.5548855749473456,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-06,grid,0.3511514340631564,0.8237307290024506,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-05,fixed-small,0.0319780858465769,0.9851269432352472,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-05,grid,0.0037503815586886,0.9981143689012494,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,0.0002808143648137,0.9998607634926614,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,2.7760367326339903e-05,0.9999863273907994,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,0.0001051485729758,0.9999530096990374,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,0.0004101528853214,0.9998423172744314,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,0.020450994118633,0.9896688836781836,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.03,grid,0.0483291729927483,0.9765125213634428,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.1,grid,0.0868986276307009,0.9607780856646102,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.3,grid,0.4438934099449533,0.7593985867489146,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-2,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1.0,grid,4.638718927547118,-0.413521283180141,,,,,,,,,64.0,existing,outputs/rtnclip_int4base_prefix_fp32_probe64_sst2_h1_to_1em8_20260523_151122/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-08,grid,13047.783696321518,0.0377967424010799,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-08,grid,2344.9090487901462,0.4112131301887962,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-07,grid,205.01522080250544,-0.0169538858913914,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-07,grid,18.615528759621974,0.1713128399298839,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-06,grid,2.3058281093967765,0.6082131880114122,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-06,grid,0.3307657896486589,0.8716428383038011,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-05,fixed-small,0.0386631533907633,0.9809835379602022,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,1e-05,fixed-small,0.0404641174147278,0.9799239438643887,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-05,grid,0.0035312190118235,0.998219979707638,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,3e-05,grid,0.003351734843168,0.9983063212219824,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,0.0003151384470356,0.9998439628664036,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0001,grid,0.0003715447915394,0.999825049150608,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,3.450358560215834e-05,0.9999829341838398,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.0003,grid,3.294062936544604e-05,0.9999837344560276,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,3.0976591746006674e-06,0.9999985423699932,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.001,default,3.8991046090986e-06,0.9999982013908324,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,2.4705330312561604e-07,0.9999998802977556,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.003,grid,4.717221922339046e-07,0.9999997753517016,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,1.145773573783493e-07,0.9999999450350622,,,,,,,,,64.0,existing,outputs/prefix_mezo_fp32_probe64_sst5_h1_to_1em8_20260523_150345/summary.csv,"prefix_fp32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
roberta-large,sst-5,mixed,prefix_fp32_or_mixed,G128_RTNClip_or_prefix_path,existing_probe_checkpoint_or_init,existing_probe_batch,0.01,grid,9.780080342857616e-06,0.9999953166714703,,,,,,,,,64.0,existing,outputs/rtnclip_int4_prefix_mezo32_probe64_20260523_144315/summary.csv,"prefix_mezo32_probe64; true-MSE/corr available, visibility geometry mostly unavailable in this summary."
