variant,model,task,h_str,h,eval_loss,eval_acc,last_eval_step,source_csv
quzo8,roberta-large,sst5,1e-3,0.001,1.0416878461837769,0.5257611241217799,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-3/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-3,0.003,1.0456289052963257,0.5128805620608899,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-3/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,1e-2,0.01,1.6412534713745117,0.27634660421545665,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_1e-2/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,sst5,3e-2,0.03,1.6476573944091797,0.275175644028103,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/sst5/h_3e-2/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-8,1e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-8,3e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-7,1e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-7,3e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-6,1e-06,1.90234375,0.1990632318501171,19990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-6,3e-06,1.583984375,0.2822014051522248,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-5,1e-05,1.0908203125,0.5175644028103045,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-5,3e-05,1.0732421875,0.5058548009367682,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-4,0.0001,1.0771484375,0.5152224824355972,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-4,0.0003,1.0732421875,0.5409836065573771,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-3,0.001,1.0888671875,0.5035128805620609,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-3,0.003,1.08984375,0.5187353629976581,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,1e-2,0.01,1.685546875,0.2716627634660422,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_1e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,sst5,3e-2,0.03,1.6748046875,0.2716627634660422,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/sst5/h_3e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo8,roberta-large,mnli,1e-8,1e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/roberta-large/mnli/h_1e-8/run_quzo8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-8,1e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-8,3e-08,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-7,1e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-7,3e-07,,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-6,1e-06,1.1513671875,0.3267634326457856,24990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-6,3e-06,1.1005859375,0.36457855869620576,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-5,1e-05,0.7666015625,0.6858670741023682,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-5,3e-05,0.76123046875,0.6925133689839572,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-4,0.0001,0.7412109375,0.7026992615227909,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-4,0.0003,0.7568359375,0.6896867838044308,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-3,0.001,0.80615234375,0.6769034886681945,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-3,0.003,0.86474609375,0.630532212885154,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-3/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,1e-2,0.01,1.1162109375,0.31400560224089635,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_1e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,roberta-large,mnli,3e-2,0.03,1.1220703125,0.3176979882862236,49990,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/roberta-large/mnli/h_3e-2/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv
quzo16,opt-1.3b,sst5,1e-8,1e-08,nan,0.11592505854800937,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-8/seed_42/metrics_SST5-opt-1.3b-eps1e-08-qbits16-hsweep14h-quzo16-sst5-h1e-8-seed42.csv
quzo16,opt-1.3b,sst5,3e-8,3e-08,nan,0.11592505854800937,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-8/seed_42/metrics_SST5-opt-1.3b-eps3e-08-qbits16-hsweep14h-quzo16-sst5-h3e-8-seed42.csv
quzo16,opt-1.3b,sst5,1e-7,1e-07,nan,0.11592505854800937,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-7/seed_42/metrics_SST5-opt-1.3b-eps1e-07-qbits16-hsweep14h-quzo16-sst5-h1e-7-seed42.csv
quzo16,opt-1.3b,sst5,3e-7,3e-07,nan,0.11592505854800937,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-7/seed_42/metrics_SST5-opt-1.3b-eps3e-07-qbits16-hsweep14h-quzo16-sst5-h3e-7-seed42.csv
quzo16,opt-1.3b,sst5,1e-6,1e-06,nan,0.11592505854800937,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-6/seed_42/metrics_SST5-opt-1.3b-eps1e-06-qbits16-hsweep14h-quzo16-sst5-h1e-6-seed42.csv
quzo16,opt-1.3b,sst5,3e-6,3e-06,1.8662109375,0.26229508196721313,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-6/seed_42/metrics_SST5-opt-1.3b-eps3e-06-qbits16-hsweep14h-quzo16-sst5-h3e-6-seed42.csv
quzo16,opt-1.3b,sst5,1e-5,1e-05,1.6279296875,0.2540983606557377,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-5/seed_42/metrics_SST5-opt-1.3b-eps1e-05-qbits16-hsweep14h-quzo16-sst5-h1e-5-seed42.csv
quzo16,opt-1.3b,sst5,3e-5,3e-05,1.248046875,0.4601873536299766,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-5/seed_42/metrics_SST5-opt-1.3b-eps3e-05-qbits16-hsweep14h-quzo16-sst5-h3e-5-seed42.csv
quzo16,opt-1.3b,sst5,1e-4,0.0001,1.2138671875,0.46604215456674475,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0001-qbits16-hsweep14h-quzo16-sst5-h1e-4-seed42.csv
quzo16,opt-1.3b,sst5,3e-4,0.0003,1.19140625,0.46955503512880564,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-4/seed_42/metrics_SST5-opt-1.3b-eps0.0003-qbits16-hsweep14h-quzo16-sst5-h3e-4-seed42.csv
quzo16,opt-1.3b,sst5,1e-3,0.001,1.1767578125,0.4953161592505855,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-3/seed_42/metrics_SST5-opt-1.3b-eps0.001-qbits16-hsweep14h-quzo16-sst5-h1e-3-seed42.csv
quzo16,opt-1.3b,sst5,3e-3,0.003,1.2783203125,0.45081967213114754,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-3/seed_42/metrics_SST5-opt-1.3b-eps0.003-qbits16-hsweep14h-quzo16-sst5-h3e-3-seed42.csv
quzo16,opt-1.3b,sst5,1e-2,0.01,1.685546875,0.27400468384074944,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_1e-2/seed_42/metrics_SST5-opt-1.3b-eps0.01-qbits16-hsweep14h-quzo16-sst5-h1e-2-seed42.csv
quzo16,opt-1.3b,sst5,3e-2,0.03,1.806640625,0.2306791569086651,2000,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/sst5/h_3e-2/seed_42/metrics_SST5-opt-1.3b-eps0.03-qbits16-hsweep14h-quzo16-sst5-h3e-2-seed42.csv
quzo8,opt-1.3b,mnli,1e-8,1e-08,nan,0.3544574630667346,17500,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo8/opt-1.3b/mnli/h_1e-8/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-08-qbits8-hsweep14h-quzo8-mnli-h1e-8-seed42.csv
quzo16,opt-1.3b,mnli,1e-8,1e-08,nan,0.3544574630667346,24500,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/mnli/h_1e-8/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-08-qbits16-hsweep14h-quzo16-mnli-h1e-8-seed42.csv
quzo16,opt-1.3b,mnli,3e-8,3e-08,nan,0.3544574630667346,24500,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/mnli/h_3e-8/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps3e-08-qbits16-hsweep14h-quzo16-mnli-h3e-8-seed42.csv
quzo16,opt-1.3b,mnli,1e-7,1e-07,nan,0.3544574630667346,24500,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/h_sweep_14h/results/quzo16/opt-1.3b/mnli/h_1e-7/seed_42/metrics_MNLI-opt-1.3b-ndev0-eps1e-07-qbits16-hsweep14h-quzo16-mnli-h1e-7-seed42.csv
