config_id,kappa,h_min,h_max,window_width_log10,default_h_in_window
scaling_d1000000_p0.1_int8_D0.0001,1.05,0.0003,0.0003,0.0,False
scaling_d1000000_p0.1_int8_D0.0001,1.1,0.0003,0.0003,0.0,False
scaling_d1000000_p0.1_int8_D0.0001,1.25,0.0003,0.003,1.0,False
scaling_d1000000_p0.1_int8_D0.0001,1.5,0.0003,0.003,1.0,False
scaling_d1000000_p0.1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D1e-05,1.25,0.01,0.01,0.0,False
scaling_d1000000_p0.1_int8_D1e-05,1.5,0.01,0.01,0.0,False
scaling_d1000000_p1_int4_D0.0001,1.05,0.0003,0.0003,0.0,False
scaling_d1000000_p1_int4_D0.0001,1.1,0.0003,0.0003,0.0,False
scaling_d1000000_p1_int4_D0.0001,1.25,0.0003,0.003,1.0,False
scaling_d1000000_p1_int4_D0.0001,1.5,0.0003,0.003,1.0,False
scaling_d1000000_p1_int4_D0.001,1.05,0.003,0.003,0.0,False
scaling_d1000000_p1_int4_D0.001,1.1,0.003,0.003,0.0,False
scaling_d1000000_p1_int4_D0.001,1.25,0.003,0.003,0.0,False
scaling_d1000000_p1_int4_D0.001,1.5,0.003,0.003,0.0,False
scaling_d1000000_p1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d1000000_p1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d1000000_p1_int4_D1e-05,1.25,0.01,0.01,0.0,False
scaling_d1000000_p1_int4_D1e-05,1.5,0.003,0.01,0.5228787452803376,False
scaling_d1000000_p1_int8_D0.0001,1.05,0.001,0.001,0.0,True
scaling_d1000000_p1_int8_D0.0001,1.1,0.001,0.001,0.0,True
scaling_d1000000_p1_int8_D0.0001,1.25,0.001,0.001,0.0,True
scaling_d1000000_p1_int8_D0.0001,1.5,0.001,0.001,0.0,True
scaling_d1000000_p1_int8_D0.001,1.05,0.003,0.003,0.0,False
scaling_d1000000_p1_int8_D0.001,1.1,0.003,0.01,0.5228787452803376,False
scaling_d1000000_p1_int8_D0.001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d1000000_p1_int8_D0.001,1.5,0.003,0.03,1.0,False
scaling_d1000000_p1_int8_D1e-05,1.05,0.003,0.003,0.0,False
scaling_d1000000_p1_int8_D1e-05,1.1,0.001,0.003,0.47712125471966244,True
scaling_d1000000_p1_int8_D1e-05,1.25,0.001,0.003,0.47712125471966244,True
scaling_d1000000_p1_int8_D1e-05,1.5,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D0.0001,1.05,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D0.0001,1.1,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D0.0001,1.25,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d100000_p0.01_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.01_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.01_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d100000_p0.01_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d100000_p0.01_int4_D1e-05,1.05,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D1e-05,1.1,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D1e-05,1.25,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p0.01_int8_D0.0001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.01_int8_D0.0001,1.1,0.001,0.01,1.0,True
scaling_d100000_p0.01_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d100000_p0.01_int8_D0.0001,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p0.01_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.01_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.01_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d100000_p0.01_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d100000_p0.01_int8_D1e-05,1.05,0.003,0.003,0.0,False
scaling_d100000_p0.01_int8_D1e-05,1.1,0.001,0.003,0.47712125471966244,True
scaling_d100000_p0.01_int8_D1e-05,1.25,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p0.01_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p0.1_int4_D0.0001,1.05,0.001,0.01,1.0,True
scaling_d100000_p0.1_int4_D0.0001,1.1,0.001,0.01,1.0,True
scaling_d100000_p0.1_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d100000_p0.1_int4_D0.0001,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p0.1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d100000_p0.1_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d100000_p0.1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.1_int4_D1e-05,1.25,0.0003,0.01,1.5228787452803376,False
scaling_d100000_p0.1_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,False
scaling_d100000_p0.1_int8_D0.0001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.1_int8_D0.0001,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.1_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d100000_p0.1_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d100000_p0.1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p0.1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d100000_p0.1_int8_D0.001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d100000_p0.1_int8_D0.001,1.5,0.003,0.03,1.0,False
scaling_d100000_p0.1_int8_D1e-05,1.05,0.003,0.01,0.5228787452803376,False
scaling_d100000_p0.1_int8_D1e-05,1.1,0.001,0.01,1.0,True
scaling_d100000_p0.1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d100000_p0.1_int8_D1e-05,1.5,0.001,0.01,1.0,True
scaling_d100000_p1_int4_D0.0001,1.05,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.0001,1.1,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.0001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.0001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p1_int4_D0.001,1.1,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int4_D1e-05,1.05,0.0003,0.01,1.5228787452803376,False
scaling_d100000_p1_int4_D1e-05,1.1,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p1_int4_D1e-05,1.25,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p1_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p1_int8_D0.0001,1.05,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int8_D0.0001,1.1,0.003,0.01,0.5228787452803376,False
scaling_d100000_p1_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d100000_p1_int8_D0.0001,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d100000_p1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d100000_p1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d100000_p1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d100000_p1_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d100000_p1_int8_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d100000_p1_int8_D1e-05,1.1,0.001,0.01,1.0,True
scaling_d100000_p1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d100000_p1_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d10000_p0.01_int4_D0.0001,1.05,0.003,0.003,0.0,False
scaling_d10000_p0.01_int4_D0.0001,1.1,0.003,0.003,0.0,False
scaling_d10000_p0.01_int4_D0.0001,1.25,0.003,0.003,0.0,False
scaling_d10000_p0.01_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p0.01_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.01_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.01_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d10000_p0.01_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int4_D1e-05,1.05,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int4_D1e-05,1.1,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int4_D1e-05,1.25,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d10000_p0.01_int8_D0.0001,1.05,0.001,0.001,0.0,True
scaling_d10000_p0.01_int8_D0.0001,1.1,0.001,0.001,0.0,True
scaling_d10000_p0.01_int8_D0.0001,1.25,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.01_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p0.01_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.01_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.01_int8_D0.001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int8_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.01_int8_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.01_int8_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.01_int8_D1e-05,1.25,0.01,0.01,0.0,False
scaling_d10000_p0.01_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d10000_p0.1_int4_D0.0001,1.05,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.1_int4_D0.0001,1.1,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.1_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d10000_p0.1_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p0.1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D0.001,1.5,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.1_int4_D1e-05,1.25,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.1_int4_D1e-05,1.5,0.001,0.01,1.0,True
scaling_d10000_p0.1_int8_D0.0001,1.05,0.003,0.003,0.0,False
scaling_d10000_p0.1_int8_D0.0001,1.1,0.003,0.003,0.0,False
scaling_d10000_p0.1_int8_D0.0001,1.25,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.1_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p0.1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p0.1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p0.1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d10000_p0.1_int8_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d10000_p0.1_int8_D1e-05,1.05,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.1_int8_D1e-05,1.1,0.001,0.003,0.47712125471966244,True
scaling_d10000_p0.1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d10000_p0.1_int8_D1e-05,1.5,0.001,0.01,1.0,True
scaling_d10000_p1_int4_D0.0001,1.05,0.001,0.003,0.47712125471966244,True
scaling_d10000_p1_int4_D0.0001,1.1,0.001,0.01,1.0,True
scaling_d10000_p1_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d10000_p1_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D0.001,1.5,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D1e-05,1.25,0.01,0.01,0.0,False
scaling_d10000_p1_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d10000_p1_int8_D0.0001,1.05,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D0.0001,1.1,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d10000_p1_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d10000_p1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d10000_p1_int8_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d10000_p1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d10000_p1_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p0.01_int4_D0.0001,1.05,0.003,0.003,0.0,False
scaling_d1000_p0.01_int4_D0.0001,1.1,0.003,0.003,0.0,False
scaling_d1000_p0.01_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d1000_p0.01_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d1000_p0.01_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p0.01_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p0.01_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p0.01_int4_D0.001,1.5,0.003,0.03,1.0,False
scaling_d1000_p0.01_int4_D1e-05,1.05,0.001,0.001,0.0,True
scaling_d1000_p0.01_int4_D1e-05,1.1,0.001,0.001,0.0,True
scaling_d1000_p0.01_int4_D1e-05,1.25,0.001,0.003,0.47712125471966244,True
scaling_d1000_p0.01_int4_D1e-05,1.5,0.001,0.01,1.0,True
scaling_d1000_p0.01_int8_D0.0001,1.05,0.003,0.003,0.0,False
scaling_d1000_p0.01_int8_D0.0001,1.1,0.003,0.003,0.0,False
scaling_d1000_p0.01_int8_D0.0001,1.25,0.003,0.01,0.5228787452803376,False
scaling_d1000_p0.01_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d1000_p0.01_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p0.01_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p0.01_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p0.01_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d1000_p0.01_int8_D1e-05,1.05,0.0003,0.001,0.5228787452803376,True
scaling_d1000_p0.01_int8_D1e-05,1.1,0.0003,0.001,0.5228787452803376,True
scaling_d1000_p0.01_int8_D1e-05,1.25,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p0.01_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p0.1_int4_D0.0001,1.05,0.003,0.01,0.5228787452803376,False
scaling_d1000_p0.1_int4_D0.0001,1.1,0.001,0.01,1.0,True
scaling_d1000_p0.1_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d1000_p0.1_int4_D0.0001,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p0.1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p0.1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p0.1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p0.1_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d1000_p0.1_int4_D1e-05,1.05,0.001,0.01,1.0,True
scaling_d1000_p0.1_int4_D1e-05,1.1,0.001,0.01,1.0,True
scaling_d1000_p0.1_int4_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d1000_p0.1_int4_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p0.1_int8_D0.0001,1.05,0.003,0.01,0.5228787452803376,False
scaling_d1000_p0.1_int8_D0.0001,1.1,0.003,0.01,0.5228787452803376,False
scaling_d1000_p0.1_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d1000_p0.1_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d1000_p0.1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p0.1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p0.1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p0.1_int8_D0.001,1.5,0.01,0.01,0.0,False
scaling_d1000_p0.1_int8_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d1000_p0.1_int8_D1e-05,1.1,0.001,0.01,1.0,True
scaling_d1000_p0.1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d1000_p0.1_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p1_int4_D0.0001,1.05,0.001,0.01,1.0,True
scaling_d1000_p1_int4_D0.0001,1.1,0.001,0.01,1.0,True
scaling_d1000_p1_int4_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d1000_p1_int4_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d1000_p1_int4_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p1_int4_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p1_int4_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p1_int4_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d1000_p1_int4_D1e-05,1.05,0.01,0.01,0.0,False
scaling_d1000_p1_int4_D1e-05,1.1,0.01,0.01,0.0,False
scaling_d1000_p1_int4_D1e-05,1.25,0.0003,0.01,1.5228787452803376,True
scaling_d1000_p1_int4_D1e-05,1.5,0.0003,0.03,2.0,True
scaling_d1000_p1_int8_D0.0001,1.05,0.001,0.001,0.0,True
scaling_d1000_p1_int8_D0.0001,1.1,0.001,0.001,0.0,True
scaling_d1000_p1_int8_D0.0001,1.25,0.001,0.01,1.0,True
scaling_d1000_p1_int8_D0.0001,1.5,0.001,0.01,1.0,True
scaling_d1000_p1_int8_D0.001,1.05,0.01,0.01,0.0,False
scaling_d1000_p1_int8_D0.001,1.1,0.01,0.01,0.0,False
scaling_d1000_p1_int8_D0.001,1.25,0.01,0.01,0.0,False
scaling_d1000_p1_int8_D0.001,1.5,0.003,0.01,0.5228787452803376,False
scaling_d1000_p1_int8_D1e-05,1.05,0.003,0.003,0.0,False
scaling_d1000_p1_int8_D1e-05,1.1,0.003,0.003,0.0,False
scaling_d1000_p1_int8_D1e-05,1.25,0.001,0.01,1.0,True
scaling_d1000_p1_int8_D1e-05,1.5,0.0003,0.01,1.5228787452803376,True
