config_id,family,d,direction,qmode,qbits,Delta,clip_enabled,groupwise,scale_sigma,nonlinear_a,active_p,fit_model,fit_space,p,R2_linear,R2_log,RMSE_log,clean_points,h_fit_min,h_fit_max,status,alpha,beta,gamma,h_star,h_star_interior,left_tail_visible,right_tail_visible,c_vis,c_loc,strict_M2_success
scaling_d1000000_p0.01_int8_D0.001,scaling,1000000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1715067111482724,-1.376595876736658,8.792389917338147,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.920082694609985,0.0182080539406133,1e-09,False,True,True,,,False
scaling_d1000000_p0.01_int8_D1e-05,scaling,1000000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,0.8754510080705851,0.6602777022401438,2.983169494236364,19,1e-09,1.0,ok,5.909165643434435e-14,0.9936492797002112,0.0088083790911646,0.0004938252138957,True,True,True,,,False
scaling_d1000000_p0.1_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,0.5790635309872012,0.5551252868269658,3.481503873526272,19,1e-09,1.0,ok,3.968557725284697e-14,0.9315501113846242,0.0105546566810909,0.0004543145228559,True,True,True,,,False
scaling_d1000000_p0.1_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,0.9104813762008436,0.5127969201861547,3.833172501628502,19,1e-09,1.0,ok,7.506157460508202e-13,1.000413466803783,0.0143358379644122,0.0009306996173108,True,True,True,,,False
scaling_d1000000_p0.1_int4_D1e-05,scaling,1000000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,0.8757129347078138,0.6283195958631738,3.0674149129242965,19,1e-09,1.0,ok,5.2108380967820647e-14,0.8888046387572128,0.0100979068571254,0.0004920682194777,True,True,True,,,False
scaling_d1000000_p0.1_int8_D0.0001,scaling,1000000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,0.5561241919260915,0.0545868569429174,4.565970324905615,19,1e-09,1.0,ok,3.4669870460013517e-15,1.3104909164680931e-06,0.0079051224597344,0.0071718228070388,True,True,True,,,False
scaling_d1000000_p0.1_int8_D0.001,scaling,1000000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,0.5503902746458349,0.2974764646717179,4.699233389184766,19,1e-09,1.0,ok,1.4379046890013606e-13,0.929726267489526,0.0122268720601796,0.00062711003396,True,True,True,,,False
scaling_d1000000_p0.1_int8_D1e-05,scaling,1000000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,0.8156397887997446,0.5475557672385424,3.2567584175444555,19,1e-09,1.0,ok,2.3548059276514548e-14,0.9581301219194844,0.0141844878049038,0.0003959429884154,True,True,True,,,False
scaling_d1000000_p1_int4_D0.0001,scaling,1000000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,0.9279420298823342,0.6494724953912393,3.055659947017032,19,1e-09,1.0,ok,9.408697960445109e-14,0.9605848939881516,0.0097949964779172,0.0005594334669272,True,True,True,,,False
scaling_d1000000_p1_int4_D0.001,scaling,1000000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,0.887519476532562,0.3678844539814442,4.316801212790506,19,1e-09,1.0,ok,2.9285556709095483e-13,0.9622519370034814,0.0142441972522238,0.0007427474553056,True,True,True,,,False
scaling_d1000000_p1_int4_D1e-05,scaling,1000000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,0.8166895293600444,0.5697145003731889,3.2938127789479195,19,1e-09,1.0,ok,3.7491868212990335e-14,0.8894396508675108,0.0066071706334764,0.0004531115669263,True,True,True,,,False
scaling_d1000000_p1_int8_D0.0001,scaling,1000000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,0.7613623787731751,0.422291299203358,3.625498898247245,19,1e-09,1.0,ok,1.553380446039539e-14,0.8903518072021139,0.0111566395990301,0.0003634369233648,True,True,True,,,False
scaling_d1000000_p1_int8_D0.001,scaling,1000000,coordinate,rtn,8,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1389193977616312,-0.1225192773690102,5.568256070800569,19,1e-09,1.0,ok,1.0883786192042186e-14,0.9477745318638832,0.0115227662026643,0.0003273548214494,True,True,True,,,False
scaling_d1000000_p1_int8_D1e-05,scaling,1000000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,0.8962924260034348,0.528051815111958,3.3951217795730924,19,1e-09,1.0,ok,2.747110067881896e-14,1.0065666087471394,0.0109792689551504,0.0004064511768148,True,True,True,,,False
scaling_d100000_p0.01_int4_D0.0001,scaling,100000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1386501175653172,-1.5941751940700972,4.544462122225374,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9688381064936372,0.0097477898870363,1e-09,False,True,True,,,False
scaling_d100000_p0.01_int4_D0.001,scaling,100000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1556009659098234,-1.811570136861489,5.965700181114582,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9509369866585836,0.0127406369121865,1e-09,False,True,True,,,False
scaling_d100000_p0.01_int4_D1e-05,scaling,100000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.2033316690476359,-1.4095071111121666,4.890465732680875,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9630480219964748,0.008284124957359,1e-09,False,True,True,,,False
scaling_d100000_p0.01_int8_D0.0001,scaling,100000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1840899646659444,-1.4407676088342931,4.775043268035083,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9403048019205056,0.0110921920766739,1e-09,False,True,True,,,False
scaling_d100000_p0.01_int8_D0.001,scaling,100000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.2018285471479193,-1.7272944378069417,6.246236328992685,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9501238230660468,0.0126561143357901,1e-09,False,True,True,,,False
scaling_d100000_p0.01_int8_D1e-05,scaling,100000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.2198997946331609,-1.308026755992699,5.53884219402357,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9711186779699528,0.0094597936949314,1e-09,False,True,True,,,False
scaling_d100000_p0.1_int4_D0.0001,scaling,100000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.181039145489146,-1.3795603155527711,5.853658028861559,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9624724173982122,0.0097611279106024,1e-09,False,True,True,,,False
scaling_d100000_p0.1_int4_D0.001,scaling,100000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1229134294856215,-1.6201248494971066,7.767400670579714,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9309690594653994,0.0123520362174161,1e-09,False,True,True,,,False
scaling_d100000_p0.1_int4_D1e-05,scaling,100000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,0.4482945403519401,0.3508534473171532,3.8120446521991553,19,1e-09,1.0,ok,5.019469303542373e-15,0.9732468197816436,0.0101199635103399,0.0002679838994936,True,True,True,,,False
scaling_d100000_p0.1_int8_D0.0001,scaling,100000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.261992989614362,-1.3445532412920755,7.357002835417656,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.94581916869548,0.009671103555479,1e-09,False,True,True,,,False
scaling_d100000_p0.1_int8_D0.001,scaling,100000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1328912371901172,-1.59658924431875,7.585293536386614,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9439830701019578,0.0151041234961079,1e-09,False,True,True,,,False
scaling_d100000_p0.1_int8_D1e-05,scaling,100000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,0.8595957234985288,0.4896225366341533,3.44032677105532,19,1e-09,1.0,ok,1.5339927836162193e-14,0.9705359536763052,0.010492999566618,0.0003545707630641,True,True,True,,,False
scaling_d100000_p1_int4_D0.0001,scaling,100000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,0.8907362310504606,0.4923475243389197,3.505811317966826,19,1e-09,1.0,ok,2.98365507977413e-14,0.9747753453711068,0.0096439391980397,0.0004182741447828,True,True,True,,,False
scaling_d100000_p1_int4_D0.001,scaling,100000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.3186592809309356,-1.877067784339549,7.880582108855012,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9624079334249884,0.0117963741501688,1e-09,False,True,True,,,False
scaling_d100000_p1_int4_D1e-05,scaling,100000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,0.7550013571621392,0.5309042921718929,3.4601783879814665,19,1e-09,1.0,ok,1.898867780544928e-14,0.9628379576332056,0.0081739004638596,0.0003747445975698,True,True,True,,,False
scaling_d100000_p1_int8_D0.0001,scaling,100000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.2467336144673291,-1.359441987903688,7.239546743567955,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9710070675704124,0.0097392799303802,1e-09,False,True,True,,,False
scaling_d100000_p1_int8_D0.001,scaling,100000,coordinate,rtn,8,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.2060459276524802,-1.819061265062628,7.533875158100058,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9500868474617384,0.0141450137390109,1e-09,False,True,True,,,False
scaling_d100000_p1_int8_D1e-05,scaling,100000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,0.7596821069858535,0.5716617062912761,3.296014124662543,19,1e-09,1.0,ok,2.5544114443093425e-14,0.9757699708948674,0.0100389121992771,0.0004022405507555,True,True,True,,,False
scaling_d10000_p0.01_int4_D0.0001,scaling,10000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1267407089253418,-1.377046034053255,5.275749451689912,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9492440289098208,0.0094628403114622,1e-09,False,True,True,,,False
scaling_d10000_p0.01_int4_D0.001,scaling,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1580706625257375,-2.292446153841504,4.566294827178214,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9582189644767573,0.0122227202814547,1e-09,False,True,True,,,False
scaling_d10000_p0.01_int4_D1e-05,scaling,10000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1432169587110181,-1.2941392740147055,5.9419501705717375,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9773901071444584,0.0082708526849645,1e-09,False,True,True,,,False
scaling_d10000_p0.01_int8_D0.0001,scaling,10000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.224762177264749,-1.7318487813873635,4.255366411444524,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9591897464578572,0.0086768241228252,1e-09,False,True,True,,,False
scaling_d10000_p0.01_int8_D0.001,scaling,10000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1738168594054614,-2.4635566796298605,4.609902376534637,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9637726280269584,0.0110230006710842,1e-09,False,True,True,,,False
scaling_d10000_p0.01_int8_D1e-05,scaling,10000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1872459131632868,-1.4177026763481697,4.544254322547999,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9636386098598722,0.008510601303326,1e-09,False,True,True,,,False
scaling_d10000_p0.1_int4_D0.0001,scaling,10000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.0975115341370129,-1.3952940324906409,5.9578788549528205,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9745740127365043,0.0085923203874245,1e-09,False,True,True,,,False
scaling_d10000_p0.1_int4_D0.001,scaling,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.090942993110245,-1.674708259966596,6.15254334516119,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9465233466265076,0.0137320673635236,1e-09,False,True,True,,,False
scaling_d10000_p0.1_int4_D1e-05,scaling,10000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,0.629561842435562,0.8752244267005745,2.049627389285723,19,1e-09,1.0,ok,9.656813295867461e-13,0.9674383930469688,0.008760670564835,0.0009995456399509,True,True,True,,,False
scaling_d10000_p0.1_int8_D0.0001,scaling,10000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1246913626923005,-1.3518171763912687,4.978945992289638,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.95822983146353,0.0103536410317855,1e-09,False,True,True,,,False
scaling_d10000_p0.1_int8_D0.001,scaling,10000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.156428068983113,-1.511310684517872,7.9802073903058,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9569434219800528,0.0137986238755369,1e-09,False,True,True,,,False
scaling_d10000_p0.1_int8_D1e-05,scaling,10000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1990294812074267,-1.309390848267778,5.551459623947222,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9662451764149472,0.0098432916333518,1e-09,False,True,True,,,False
scaling_d10000_p1_int4_D0.0001,scaling,10000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,0.6923344092419028,0.7866035543183577,2.4983112161615058,19,1e-09,1.0,ok,3.791499385126613e-13,0.9706160951097942,0.0085911958517574,0.0007905709926237,True,True,True,,,False
scaling_d10000_p1_int4_D0.001,scaling,10000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.2014228150248034,-1.861208793937605,5.7498695605527725,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9588417820869392,0.0140789577629196,1e-09,False,True,True,,,False
scaling_d10000_p1_int4_D1e-05,scaling,10000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,0.826808195178058,0.582719695861943,3.299943242618823,19,1e-09,1.0,ok,3.03233129026047e-14,0.980135890167852,0.0097124326579443,0.0004193943628795,True,True,True,,,False
scaling_d10000_p1_int8_D0.0001,scaling,10000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.2564815757267653,-1.4413232385117063,5.501020170063201,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9469973893816068,0.009877480876439,1e-09,False,True,True,,,False
scaling_d10000_p1_int8_D0.001,scaling,10000,coordinate,rtn,8,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.2117250664690091,-1.830260885010571,6.386308256092983,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9434543270259028,0.0137654067265357,1e-09,False,True,True,,,False
scaling_d10000_p1_int8_D1e-05,scaling,10000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1641794656233435,-1.2051658808112742,6.872182967142401,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9504554042080642,0.0110651638277648,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int4_D0.0001,scaling,1000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-1.4725835525022526,-2.0791129577838583,3.508230560829461,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,1.0153082168822605,0.0085028695229837,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int4_D0.001,scaling,1000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-1.8812351772856768,-3.0269252173962284,3.19496183029751,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9317990083809,0.0187783437014403,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int4_D1e-05,scaling,1000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.82482982258571,-1.7424628677762977,3.512749404199813,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9305492379183496,0.0093763805753076,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int8_D0.0001,scaling,1000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.01,M2,log,2.0,-0.1631438045724991,-1.6830852592368202,4.969128572741001,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9838141424266492,0.0051638033466854,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int8_D0.001,scaling,1000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.01,M2,log,2.0,-2.392324321177619,-3.364720665044689,3.6024694428416875,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9531257867839488,0.0110461642744891,1e-09,False,True,True,,,False
scaling_d1000_p0.01_int8_D1e-05,scaling,1000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.01,M2,log,2.0,-0.2564397280044908,-1.5711454659590791,4.080538027603442,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9850938168802608,0.006181672953434,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int4_D0.0001,scaling,1000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.2462478775732497,-1.6726262864171475,4.165610689614457,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9627867358038452,0.0102313550172458,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int4_D0.001,scaling,1000,coordinate,rtn,4,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.2968624984655317,-2.6248494528713944,4.0867190955491735,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9459188031978468,0.0133521072764326,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int4_D1e-05,scaling,1000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,-0.2229878772165405,-1.402279859863298,4.1034443620294025,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9547805907394074,0.0122777592726674,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int8_D0.0001,scaling,1000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1497746356710718,-1.488067317749083,4.714454800643727,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9484246501305934,0.0089224393942914,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int8_D0.001,scaling,1000,coordinate,rtn,8,0.001,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1976380835542512,-2.224648097747466,4.541669291371784,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9594861212789972,0.0141133113697102,1e-09,False,True,True,,,False
scaling_d1000_p0.1_int8_D1e-05,scaling,1000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,0.1,M2,log,2.0,-0.1292474247549115,-1.0316411644927088,7.758543790585786,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9687300083245904,0.0082720254838207,1e-09,False,True,True,,,False
scaling_d1000_p1_int4_D0.0001,scaling,1000,coordinate,rtn,4,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.17905682747685,-1.3723685047216874,5.60714830307588,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9597426745738176,0.0102152379437575,1e-09,False,True,True,,,False
scaling_d1000_p1_int4_D0.001,scaling,1000,coordinate,rtn,4,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1588078176338589,-1.859426957959379,6.0337399995239664,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9539580861500438,0.0120244721610771,1e-09,False,True,True,,,False
scaling_d1000_p1_int4_D1e-05,scaling,1000,coordinate,rtn,4,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1495717866073387,-1.1596183406559004,6.328612855683082,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9668871566226304,0.0108668340936528,1e-09,False,True,True,,,False
scaling_d1000_p1_int8_D0.0001,scaling,1000,coordinate,rtn,8,0.0001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1629659698822296,-1.4240472849859365,5.557409257766434,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9628076397201232,0.0083862137465645,1e-09,False,True,True,,,False
scaling_d1000_p1_int8_D0.001,scaling,1000,coordinate,rtn,8,0.001,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1342193362333603,-1.6547754266133723,6.831736437217023,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.954749182158712,0.0131810507924966,1e-09,False,True,True,,,False
scaling_d1000_p1_int8_D1e-05,scaling,1000,coordinate,rtn,8,1e-05,False,False,0.0,8.0,1.0,M2,log,2.0,-0.1997543340365148,-1.277164356519891,5.713270094035924,19,1e-09,1.0,left_tail_missing;boundary_solution,0.0,0.9702314639491404,0.0089365238698268,1e-09,False,True,True,,,False
