attempt,family,config_id,failure_reason,action_taken,result_status,best_model,R2_log,h_star
0,scaling,scaling_d1000000_p0.1_int8_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9991776606471046,0.01
0,scaling,scaling_d1000000_p1_int4_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9975886983309169,0.003
0,scaling,scaling_d1000000_p1_int4_D0.001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9959104619732654,0.003
0,scaling,scaling_d1000000_p1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998721033019576,0.01
0,scaling,scaling_d1000000_p1_int8_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9945936344701977,0.001
0,scaling,scaling_d1000000_p1_int8_D0.001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9980053310295419,0.003
0,scaling,scaling_d1000000_p1_int8_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997836798458671,0.003
0,scaling,scaling_d100000_p0.01_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9975626668002414,0.003
0,scaling,scaling_d100000_p0.01_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999496791955529,0.01
0,scaling,scaling_d100000_p0.01_int4_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,-0.10054171586088367,1e-09
0,scaling,scaling_d100000_p0.01_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9994329791461761,0.01
0,scaling,scaling_d100000_p0.01_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.998481109209724,0.01
0,scaling,scaling_d100000_p0.01_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,-0.043768379043202854,1e-09
0,scaling,scaling_d100000_p0.1_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9993214311930175,0.001
0,scaling,scaling_d100000_p0.1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9993380956719231,0.01
0,scaling,scaling_d100000_p0.1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999698326442586,0.01
0,scaling,scaling_d100000_p0.1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9990460531204243,0.01
0,scaling,scaling_d100000_p0.1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999390148601202,0.01
0,scaling,scaling_d100000_p0.1_int8_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9991952880418493,0.003
0,scaling,scaling_d100000_p1_int4_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9993711236488899,0.003
0,scaling,scaling_d100000_p1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9989398259985165,0.01
0,scaling,scaling_d100000_p1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9999152544836937,0.01
0,scaling,scaling_d100000_p1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9992297143203,0.01
0,scaling,scaling_d100000_p1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999357130040893,0.01
0,scaling,scaling_d100000_p1_int8_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9999358725883161,0.01
0,scaling,scaling_d10000_p0.01_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998591741080662,0.003
0,scaling,scaling_d10000_p0.01_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997007270758776,0.01
0,scaling,scaling_d10000_p0.01_int4_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.5888081969699643,1e-09
0,scaling,scaling_d10000_p0.01_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9982521627231913,0.001
0,scaling,scaling_d10000_p0.01_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997494660162153,0.01
0,scaling,scaling_d10000_p0.01_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9978265514392427,0.01
0,scaling,scaling_d10000_p0.1_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9995639622597998,0.003
0,scaling,scaling_d10000_p0.1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9994369844867591,0.01
0,scaling,scaling_d10000_p0.1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9994576807926127,0.01
0,scaling,scaling_d10000_p0.1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997129429676462,0.003
0,scaling,scaling_d10000_p0.1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998931832312425,0.01
0,scaling,scaling_d10000_p0.1_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,-0.1716404376140197,1e-09
0,scaling,scaling_d10000_p1_int4_D0.0001,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997150682141877,0.003
0,scaling,scaling_d10000_p1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999641183984884,0.01
0,scaling,scaling_d10000_p1_int4_D1e-05,low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998186393547426,0.01
0,scaling,scaling_d10000_p1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9996883164022342,0.01
0,scaling,scaling_d10000_p1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9996519599868507,0.01
0,scaling,scaling_d10000_p1_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9996186434666755,0.01
0,scaling,scaling_d1000_p0.01_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9980932695628206,0.003
0,scaling,scaling_d1000_p0.01_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9958246625672533,0.01
0,scaling,scaling_d1000_p0.01_int4_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.997871248547928,0.001
0,scaling,scaling_d1000_p0.01_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9997006279535625,0.003
0,scaling,scaling_d1000_p0.01_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9995177823541146,0.01
0,scaling,scaling_d1000_p0.01_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9854777694490173,0.0003
0,scaling,scaling_d1000_p0.1_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.99926432087567,0.003
0,scaling,scaling_d1000_p0.1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9989549077966637,0.01
0,scaling,scaling_d1000_p0.1_int4_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9593488596542762,0.001
0,scaling,scaling_d1000_p0.1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998671707747383,0.003
0,scaling,scaling_d1000_p0.1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9994910455866353,0.01
0,scaling,scaling_d1000_p0.1_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9998883912090241,0.01
0,scaling,scaling_d1000_p1_int4_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9996772872208145,0.01
0,scaling,scaling_d1000_p1_int4_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.999458497488792,0.01
0,scaling,scaling_d1000_p1_int4_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9991658883647512,0.01
0,scaling,scaling_d1000_p1_int8_D0.0001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9988987273085399,0.001
0,scaling,scaling_d1000_p1_int8_D0.001,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.9996397842313538,0.01
0,scaling,scaling_d1000_p1_int8_D1e-05,boundary_solution;low_R2_log,compare_M4_Mp_MIA_and_clean_clip_range,diagnosed,MIA_loc,0.8610087289478996,1e-09
