model,task,precision,quantizer,mode,h_policy,h_value,hstar_cont,seed,run_type,steps,best_dev_acc,final_dev_acc,best_eval_step,source_path
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,hstar_cleanGL,0.0013388576857165,0.0013388576857165,16,full,20000,0.4414519906323185,0.4414519906323185,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,hstar_cleanGL,0.0004352528589334,0.0004352528589334,16,full,20000,0.6506024096385542,0.5582329317269076,11000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,hstar_cleanGL,0.0008531355897454,0.0008531355897454,16,full,20000,0.4756557168321874,0.4756557168321874,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,hstar_cleanGL,0.0012135533363166,0.0012135533363166,16,full,20000,0.6904761904761905,0.673992673992674,19000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0010440057466626,0.0010440057466626,16,full,20000,0.9037861915367484,0.8974016332590943,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0013665044203238,0.0013665044203238,16,full,20000,0.4754098360655737,0.4672131147540984,19000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0003591546781873,0.0003591546781873,16,full,20000,0.6385542168674698,0.6224899598393574,18000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.000437324731266,0.000437324731266,16,full,20000,0.5047873694932519,0.4872676343264578,17000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL,0.0006825578664185,0.0006825578664185,16,full,20000,0.7893772893772893,0.7893772893772893,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0886419832658425,16,full,20000,0.5529324424647365,0.4487008166295471,6000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0804720147886286,16,full,20000,0.275175644028103,0.2224824355971897,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.072807568266058,16,medium,9685,0.5622489959839357,0.5261044176706827,6000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.1059865385430891,16,full,20000,0.3359052711993888,0.3332060096765979,10000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,prefix,fixed_small,1e-05,0.0949896412434653,16,full,20000,0.2234432234432234,0.2234432234432234,12000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0886419832658425,16,full,20000,0.6120267260579064,0.5606533036377135,13000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0804720147886286,16,full,20000,0.319672131147541,0.2599531615925058,5000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,prefix,mezo_default,0.001,0.072807568266058,16,full,20000,0.5341365461847389,0.4979919678714859,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,prefix,mezo_default,0.001,0.1059865385430891,16,full,20000,0.394270435446906,0.3332824038706392,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,prefix,mezo_default,0.001,0.0949896412434653,16,full,20000,0.2417582417582417,0.1556776556776556,3000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0886419832658425,0.0886419832658425,16,full,20000,0.8911655530809206,0.8911655530809206,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0804720147886286,0.0804720147886286,16,full,20000,0.4250585480093676,0.4250585480093676,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,prefix,hstar_cleanGL,0.072807568266058,0.072807568266058,16,full,20000,0.5622489959839357,0.5622489959839357,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,prefix,hstar_cleanGL,0.1059865385430891,0.1059865385430891,16,full,20000,0.4210084033613445,0.4210084033613445,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,prefix,hstar_cleanGL,0.0949896412434653,0.0949896412434653,16,full,20000,0.7234432234432234,0.7234432234432234,20000.0,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.0014831360079805,0.0014831360079805,16,full,20000,0.8087602078693392,0.8087602078693392,20000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.0015509397815746,0.0015509397815746,16,full,20000,0.4262295081967213,0.3348946135831381,17000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.0017056253106509,0.0017056253106509,16,full,20000,0.6024096385542169,0.6024096385542169,20000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.0013127067362835,0.0013127067362835,16,full,20000,0.4727272727272727,0.4727272727272727,20000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.0006975900432871,0.0006975900432871,16,full,20000,0.8278388278388278,0.8113553113553114,16000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,cleanGL_hstar_continuous,0.000458314754972,0.000458314754972,16,full,20000,0.8956198960653303,0.8922048997772829,18000.0,outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,dense,hstar_lowbitL_continuous,5.098073478756064e-05,5.098073478756064e-05,16,full,20000,0.3447924624395213,0.3332060096765979,7000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,dense,hstar_lowbitL_continuous,9.131247237078676e-05,9.131247237078676e-05,16,full,20000,0.5662650602409639,0.5100401606425703,13000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,dense,hstar_lowbitL_continuous,0.0006214786934837,0.0006214786934837,16,full,20000,0.8819599109131403,0.8727542687453601,18000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,dense,hstar_lowbitL_continuous,0.0006145433384826,0.0006145433384826,16,full,20000,0.4765807962529274,0.4613583138173302,17000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,dense,hstar_lowbitL_continuous,0.0016242532645506,0.0016242532645506,16,full,20000,0.7142857142857143,0.6666666666666666,18000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,mnli,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL_continuous,0.000437324731266,0.000437324731266,16,full,20000,0.5768016297428062,0.5768016297428062,20000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,rte,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL_continuous,0.0003591546781873,0.0003591546781873,16,full,20000,0.6184738955823293,0.5542168674698795,6000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,sst-2,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL_continuous,0.0010440057466626,0.0010440057466626,16,full,20000,0.8910170749814402,0.8910170749814402,20000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,sst-5,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL_continuous,0.0013665044203238,0.0013665044203238,16,full,20000,0.2950819672131147,0.2681498829039813,19000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,sparse_p0p1,hstar_lowbitL_continuous,0.0006825578664185,0.0006825578664185,16,full,20000,0.8388278388278388,0.826007326007326,18000.0,outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
roberta-large,trec,int4,G128_RTNClip,dense,,0.003,,16,full,20000,0.2564102564102564,0.2234432234432234,17000.0,outputs/sharp_interval_roberta_int4_eval/int4_hsearch_summary.csv
