d,Delta,G,L,n_dirs,alpha,beta,gamma,h_ref,h_q,h_loc,rho_min,W1_low,W1_high,W01_low,W01_high,empirical_min_h,empirical_min_A,rho_emp_W1_low,rho_emp_W1_high,bound_coverage_frac,center_error_log10,endpoint_error_low_log10,endpoint_error_high_log10,W1_exists,W01_exists
1000,0.01,10.0,1.0,256,0.0025,4008000.0,200.1999000998752,0.004997503120320104,0.005,0.0049950074875218355,2.007998998004742,,,,,0.01,37.25099174727601,0.003,0.01,1.0,0.03980755340661916,,,False,False
10000,1e-05,1.0,0.1,128,2.5000000000000004e-11,4000800.0000000005,0.020001999900010003,4.999750031245313e-05,5e-06,0.0004999500074987502,0.020007999899980006,5.001000150175355e-06,0.0004998500224812512,1.5894311185472695e-05,0.0001572732538279802,0.0001,0.0032936793238791152,3e-06,0.001,1.0,0.0396123355767247,0.22193561286946245,0.30116028402288736,True,True
10000,1e-05,1.0,1.0,128,2.5000000000000004e-11,400080000.0,0.2000199990001,1.581059783023321e-05,5e-06,4.999500074987502e-05,0.20007999899980008,5.026222518558473e-06,4.973416971222129e-05,,,3e-05,0.03398675128231294,3e-06,0.0001,1.0,0.0396123355767247,0.22412045684347362,0.30334512799692237,True,False
10000,1e-05,10.0,0.1,128,2.500000000000001e-09,4000800.0000000005,0.20001999900010003,0.00015810597830233212,5e-06,0.004999500074987502,0.002000799989998001,5.000752371160166e-06,0.004998747892240282,1.581455105340043e-05,0.0015806645595271228,0.0003,0.03235217666382957,3e-06,0.01,1.0,0.0396123355767246,0.22191409482873495,0.30113876598192435,True,True
10000,1e-05,10.0,1.0,128,2.500000000000001e-09,400080000.0,2.000199990001,4.999750031245314e-05,5e-06,0.0004999500074987502,0.020007999899980006,5.001000150175355e-06,0.0004998500224812512,1.5894311185472695e-05,0.0001572732538279802,0.0001,0.3293679323879116,3e-06,0.001,1.0,0.039612335576724646,0.22193561286946245,0.30116028402288736,True,True
10000,0.0001,1.0,0.1,128,2.5e-09,4000800.0000000005,0.2000199990001,0.0001581059783023321,5e-05,0.0004999500074987502,0.20007999899980008,5.026222518558473e-05,0.0004973416971222129,,,0.0003,0.03399246698743043,3e-05,0.001,1.0,0.0396123355767247,0.22412045684347362,0.30334512799692237,True,False
10000,0.0001,1.0,1.0,128,2.5e-09,400080000.0,2.000199990001,4.999750031245313e-05,5e-05,4.999500074987502e-05,2.0007999899980007,,,,,0.0001,0.4055765053571093,3e-05,0.0001,1.0,0.0396123355767247,,,False,False
10000,0.0001,10.0,0.1,128,2.5e-07,4000800.0000000005,2.000199990001,0.0004999750031245313,5e-05,0.004999500074987502,0.020007999899980006,5.001000150175355e-05,0.004998500224812512,0.00015894311185472696,0.0015727325382798023,0.001,0.32936793448532753,3e-05,0.01,1.0,0.0396123355767247,0.22193561286946245,0.30116028402288736,True,True
10000,0.0001,10.0,1.0,128,2.5e-07,400080000.0,20.00199990001,0.00015810597830233212,5e-05,0.0004999500074987502,0.20007999899980008,5.026222518558473e-05,0.0004973416971222129,,,0.0003,3.3992466987430423,3e-05,0.001,1.0,0.0396123355767246,0.22412045684347362,0.30334512799692237,True,False
10000,0.001,1.0,0.1,128,2.5e-07,4000800.0000000005,2.000199990001,0.0004999750031245313,0.0005,0.0004999500074987502,2.0007999899980007,,,,,0.001,0.40557660644836824,0.0003,0.001,1.0,0.0396123355767247,,,False,False
10000,0.001,1.0,1.0,128,2.5e-07,400080000.0,20.00199990001,0.00015810597830233212,0.0005,4.999500074987502e-05,20.007999899980007,,,,,1e-08,1.0311129446073486,,,1.0,4.198948291783107,,,False,False
10000,0.001,10.0,0.1,128,2.4999999999999998e-05,4000800.0000000005,20.00199990001,0.001581059783023321,0.0005,0.004999500074987502,0.20007999899980008,0.0005026222518558474,0.004973416971222129,,,0.003,3.3986759772840927,0.0003,0.01,1.0,0.039612335576724646,0.22412045684347368,0.30334512799692237,True,False
10000,0.001,10.0,1.0,128,2.4999999999999998e-05,400080000.0,200.0199990001,0.0004999750031245313,0.0005,0.0004999500074987502,2.0007999899980007,,,,,0.001,40.55766064483682,0.0003,0.001,1.0,0.0396123355767247,,,False,False
10000,0.01,1.0,0.1,128,2.5e-05,4000800.0000000005,20.00199990001,0.001581059783023321,0.005,0.0004999500074987502,20.007999899980007,,,,,1e-08,1.0311129446073486,,,1.0,5.198948291783107,,,False,False
10000,0.01,1.0,1.0,128,2.5e-05,400080000.0,200.0199990001,0.0004999750031245313,0.005,4.999500074987502e-05,200.07999899980007,,,,,1e-08,1.0311129446073486,,,1.0,4.698948291783107,,,False,False
10000,0.01,10.0,0.1,128,0.0025,4000800.0000000005,200.0199990001,0.0049997500312453135,0.005,0.004999500074987502,2.0007999899980007,,,,,0.01,40.557651252356436,0.003,0.01,1.0,0.039612335576724646,,,False,False
10000,0.01,10.0,1.0,128,0.0025,400080000.0,2000.199990001,0.001581059783023321,0.005,0.0004999500074987502,20.007999899980007,,,,,1e-08,103.11129446073485,,,1.0,5.198948291783107,,,False,False
100000,1e-05,1.0,0.1,32,2.5000000000000004e-11,400008000.0000001,0.20000199999000012,1.581130924488859e-05,5e-06,4.9999500007499875e-05,0.20000799998999982,5.025525553303499e-06,4.9745543503040187e-05,,,3e-05,0.025530720030500838,3e-06,0.0001,1.0,0.03959279447450754,0.22406023086832288,0.303245819817338,True,False
100000,1e-05,1.0,1.0,32,2.5000000000000004e-11,40000800000.0,2.000019999900001,4.999975000312495e-06,5e-06,4.999950000749988e-06,2.0000799998999983,,,,,1e-05,0.43344041112164267,3e-06,1e-05,1.0,0.03959279447450749,,,False,False
100000,1e-05,10.0,0.1,32,2.500000000000001e-09,400008000.0000001,2.0000199999000015,4.9999750003124954e-05,5e-06,0.0004999950000749987,0.020000799998999983,5.000325066205548e-06,0.0004999624958926512,1.5892107187817022e-05,0.00015730922091259825,0.0001,0.3774311763809721,3e-06,0.001,1.0,0.03959279447450749,0.22187698359043978,0.30106257253950364,True,True
100000,1e-05,10.0,1.0,32,2.500000000000001e-09,40000800000.0,20.00019999900001,1.5811309244888592e-05,5e-06,4.9999500007499875e-05,0.20000799998999982,5.025525553303499e-06,4.9745543503040187e-05,,,3e-05,2.553072003050083,3e-06,0.0001,1.0,0.039592794474507434,0.22406023086832288,0.303245819817338,True,False
100000,0.0001,1.0,0.1,32,2.5e-09,400008000.0000001,2.000019999900001,4.999975000312495e-05,5e-05,4.9999500007499875e-05,2.0000799998999983,,,,,0.0001,0.43344040807385453,3e-05,0.0001,1.0,0.03959279447450759,,,False,False
100000,0.0001,1.0,1.0,32,2.5e-09,40000800000.0,20.00019999900001,1.581130924488859e-05,5e-05,4.999950000749988e-06,20.00079999899998,,,,,1e-08,1.0833593762570781,,,1.0,3.198967832885324,,,False,False
100000,0.0001,10.0,0.1,32,2.5e-07,400008000.0000001,20.00019999900001,0.00015811309244888588,5e-05,0.0004999950000749987,0.20000799998999982,5.0255255533035e-05,0.0004974554350304018,,,0.0003,2.5530717390920525,3e-05,0.001,1.0,0.03959279447450754,0.22406023086832297,0.303245819817338,True,False
100000,0.0001,10.0,1.0,32,2.5e-07,40000800000.0,200.00199999000012,4.9999750003124954e-05,5e-05,4.9999500007499875e-05,2.0000799998999983,,,,,0.0001,43.344040807385454,3e-05,0.0001,1.0,0.03959279447450749,,,False,False
100000,0.001,1.0,0.1,32,2.5e-07,400008000.0000001,20.00019999900001,0.00015811309244888588,0.0005,4.9999500007499875e-05,20.00079999899998,,,,,1e-08,1.0833593762570781,,,1.0,4.198967832885324,,,False,False
100000,0.001,1.0,1.0,32,2.5e-07,40000800000.0,200.00199999000012,4.9999750003124954e-05,0.0005,4.999950000749988e-06,200.0079999899998,,,,,1e-08,1.0833593762570781,,,1.0,3.698967832885324,,,False,False
100000,0.001,10.0,0.1,32,2.4999999999999998e-05,400008000.0000001,200.00199999000012,0.0004999975000312494,0.0005,0.0004999950000749987,2.0000799998999983,,,,,0.001,43.34405189507641,0.0003,0.001,1.0,0.03959279447450759,,,False,False
100000,0.001,10.0,1.0,32,2.4999999999999998e-05,40000800000.0,2000.019999900001,0.00015811309244888588,0.0005,4.9999500007499875e-05,20.00079999899998,,,,,1e-08,108.33593762570781,,,1.0,4.198967832885324,,,False,False
100000,0.01,1.0,0.1,32,2.5e-05,400008000.0000001,200.00199999000012,0.0004999975000312494,0.005,4.9999500007499875e-05,200.00799998999983,,,,,1e-08,1.0833593762570781,,,1.0,4.698967832885324,,,False,False
100000,0.01,1.0,1.0,32,2.5e-05,40000800000.0,2000.019999900001,0.0001581130924488859,0.005,4.999950000749988e-06,2000.079999899998,,,,,1e-08,1.0833593762570781,,,1.0,4.198967832885324,,,False,False
100000,0.01,10.0,0.1,32,0.0025,400008000.0000001,2000.019999900001,0.0015811309244888588,0.005,0.0004999950000749987,20.00079999899998,,,,,1e-08,108.33593762570781,,,1.0,5.198967832885324,,,False,False
100000,0.01,10.0,1.0,32,0.0025,40000800000.0,20000.19999900001,0.0004999975000312496,0.005,4.9999500007499875e-05,200.00799998999983,,,,,1e-08,108.33593762570781,,,1.0,4.698967832885324,,,False,False
