precision,checkpoint_id,fit_method,A,B,C,h_ref,rho_min_dep,tau,h_low,h_high,default_h,default_in_window,rho_dep_at_default,fit_quality_r2_or_log_error,fit_stability_flag,notes
int8,task_start_seed16_deterministic,linear_nnls,2.9652589993556336e-09,0.0,0.8781973074939167,,,1.0,,,0.001,,,0.084058141216651,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,linear_nnls,2.9652589993556336e-09,0.0,0.8781973074939167,,,2.0,,,0.001,,,0.084058141216651,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,dep_log_soft_l1,6.479899473756806e-06,8525.439776486754,0.0,,,0.1,,,0.001,,,0.7072279368948464,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,dep_log_soft_l1,6.479899473756806e-06,8525.439776486754,0.0,,,0.5,,,0.001,,,0.7072279368948464,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,dep_log_soft_l1,6.479899473756806e-06,8525.439776486754,0.0,,,1.0,,,0.001,,,0.7072279368948464,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,dep_log_soft_l1,6.479899473756806e-06,8525.439776486754,0.0,,,2.0,,,0.001,,,0.7072279368948464,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,log_soft_l1,3.2435142117849924e-06,1.3999813323361172e-61,0.9863356512851759,,,0.1,,,0.001,,,0.7781726503118647,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7782, log_RMSE=1.307"
int4,task_start_seed16_deterministic,log_soft_l1,3.2435142117849924e-06,1.3999813323361172e-61,0.9863356512851759,,,0.5,,,0.001,,,0.7781726503118647,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7782, log_RMSE=1.307"
int4,task_start_seed16_deterministic,log_soft_l1,3.2435142117849924e-06,1.3999813323361172e-61,0.9863356512851759,,,1.0,,,0.001,,,0.7781726503118647,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7782, log_RMSE=1.307"
int4,task_start_seed16_deterministic,log_soft_l1,3.2435142117849924e-06,1.3999813323361172e-61,0.9863356512851759,,,2.0,,,0.001,,,0.7781726503118647,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7782, log_RMSE=1.307"
int4,task_start_seed16_deterministic,linear_nnls,1.370653831345228e-07,0.0,115.30335067612539,,,0.1,,,0.001,,,-0.2934707793481446,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.370653831345228e-07,0.0,115.30335067612539,,,0.5,,,0.001,,,-0.2934707793481446,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.370653831345228e-07,0.0,115.30335067612539,,,1.0,,,0.001,,,-0.2934707793481446,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.370653831345228e-07,0.0,115.30335067612539,,,2.0,,,0.001,,,-0.2934707793481446,missing_tail,A or B nonpositive
