global_step,h,e_d_abs_mean,corr,sign_match,deltaL,delta_pred
43000,0.01,5.713506090266599e-05,0.9996915752091435,0.875,2.980232238769531e-07,-6.158244589765334e-12
43500,0.01,5.794375057297985e-05,0.999818079243263,1.0,7.152557373046875e-07,-4.844739103480776e-12
44000,0.01,5.404014652436915e-05,0.9994591848251586,1.0,0.0,-3.402052357068456e-12
44500,0.01,6.87788151324645e-05,0.9995006303799666,1.0,7.152557373046875e-07,-4.693721057158471e-12
45000,0.01,5.475480710070365e-05,0.9997078617564956,1.0,3.5762786865234375e-07,-5.488845327901265e-12
45500,0.01,4.142358697062555e-05,0.9998974678997808,1.0,-1.3113021850585938e-06,-1.2173002384129237e-11
46000,0.01,3.4196711726374284e-05,0.9998349653717284,1.0,-1.9073486328125e-06,-5.002621596171791e-12
46500,0.01,6.40585403890803e-05,0.9992695779913364,1.0,7.152557373046875e-07,-5.8768916462777985e-12
47000,0.01,7.072934898669629e-05,0.9990520263865893,1.0,2.384185791015625e-07,-4.099152175568464e-12
47500,0.01,7.611615696343044e-05,0.9997164852574835,1.0,-2.384185791015625e-07,-7.7028632527443e-12
48000,0.01,7.339250885521253e-05,0.9997038920592272,1.0,1.1920928955078125e-07,-1.0974825135399135e-11
48500,0.01,6.698345579525762e-05,0.9988986569699083,1.0,-3.5762786865234375e-07,-2.9052498867504224e-12
49000,0.01,5.950503682061411e-05,0.9997476678654221,1.0,-8.344650268554688e-07,-1.420296414406932e-11
49500,0.01,6.0713344609803326e-05,0.9996719003349283,1.0,5.960464477539062e-07,-1.026230825921074e-11
50000,0.01,3.314577309767585e-05,0.9999405053820422,1.0,-9.5367431640625e-07,-7.512343480825229e-12
