model,task,precision,mode,h_policy,selected_h,selected_acc,delta_vs_default,run_type,seed
roberta-large,sst-5,int8,dense,nan,0.000237171,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000474342,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000948683,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00189737,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00379473,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00758947,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001,0.48711943793911,0.0,medium,16
roberta-large,sst-5,int8,dense,nan,0.0015,0.4859484777517564,-0.0011709601873535758,medium,16
roberta-large,sst-5,int8,dense,nan,0.002,0.4742388758782201,-0.012880562060889889,medium,16
roberta-large,sst-5,int8,dense,nan,0.003,0.4473067915690866,-0.03981264637002341,medium,16
roberta-large,sst-5,int8,dense,nan,0.003,0.4473067915690866,-0.03981264637002341,medium,16
roberta-large,sst-5,int8,dense,1e-2,0.01,0.2716627634660422,-0.21545667447306782,full,16
roberta-large,sst-5,int8,dense,1e-3,0.001,0.4765807962529274,-0.010538641686182626,full,16
roberta-large,sst-5,int8,dense,1e-4,0.0001,0.4578454332552693,-0.029274004683840726,full,16
roberta-large,sst-5,int8,dense,1e-5,1e-05,0.3395784543325527,-0.14754098360655732,full,16
roberta-large,sst-5,int8,dense,1p5e-3,0.0015,0.4578454332552693,-0.029274004683840726,full,16
roberta-large,sst-5,int8,dense,2e-3,0.002,0.4613583138173302,-0.025761124121779777,full,16
roberta-large,sst-5,int8,dense,3e-3,0.003,0.3653395784543325,-0.12177985948477749,full,16
roberta-large,sst-5,int8,dense,3e-4,0.0003,0.4648711943793911,-0.022248243559718883,full,16
roberta-large,sst-5,int8,dense,3e-5,3e-05,0.4672131147540984,-0.01990632318501162,full,16
roberta-large,sst-5,int8,dense,4e-3,0.004,0.3489461358313817,-0.13817330210772832,full,16
roberta-large,sst-5,int8,dense,5e-3,0.005,0.2763466042154566,-0.2107728337236534,full,16
roberta-large,sst-5,int4,dense,1e-5,1e-05,0.2599531615925058,-0.21896955503512877,medium,16
roberta-large,sst-5,int4,dense,1e-3,0.001,0.4789227166276346,0.0,full,16
roberta-large,sst-5,int4,dense,3e-5,3e-05,0.2833723653395784,-0.1955503512880562,full,16
roberta-large,sst-5,int4,dense,1p5e-3,0.0015,0.4168618266978923,-0.06206088992974229,full,16
roberta-large,sst-5,int4,dense,1e-4,0.0001,0.3231850117096019,-0.15573770491803268,full,16
roberta-large,sst-5,int4,dense,2e-3,0.002,0.455503512880562,-0.02341920374707257,full,16
roberta-large,sst-5,int4,dense,3e-4,0.0003,0.4578454332552693,-0.021077283372365307,full,16
roberta-large,sst-5,int4,dense,3e-3,0.003,0.3430913348946136,-0.135831381733021,full,16
roberta-large,sst-5,int4,dense,4e-3,0.004,0.3149882903981265,-0.1639344262295081,full,16
roberta-large,sst-5,int4,dense,5e-3,0.005,0.2704918032786885,-0.2084309133489461,full,16
roberta-large,sst-5,int4,dense,1e-2,0.01,0.2576112412177986,-0.22131147540983598,full,16
facebook/opt-1.3b,sst-5,int8,dense,bad-large,0.01,0.34375,-0.03125,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,default,0.001,0.375,0.0,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,bad-small,1e-05,0.34375,-0.03125,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,selected_h,0.005,0.34375,-0.03125,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,bad-large,0.01,0.25,-0.125,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,default,0.001,0.25,-0.125,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,bad-small,1e-05,0.1875,-0.1875,pilot,16
facebook/opt-1.3b,sst-5,int8,dense,selected_h,0.005,0.25,-0.125,pilot,16
roberta-large,sst-5,int8,dense,bad-large,0.01,0.259765625,-0.22735381293911,pilot,16
roberta-large,sst-5,int8,dense,default,0.001,0.283203125,-0.20391631293911,pilot,16
roberta-large,sst-5,int8,dense,bad-small,1e-05,0.3046875,-0.18243193793911,pilot,16
roberta-large,sst-5,int8,dense,selected_h,0.005,0.26171875,-0.22540068793911,pilot,16
roberta-large,sst-5,int8,dense,bad-large,0.01,0.275390625,-0.21172881293911,pilot,16
roberta-large,sst-5,int8,dense,default,0.001,0.28515625,-0.20196318793911,pilot,16
roberta-large,sst-5,int8,dense,bad-small,1e-05,0.275390625,-0.21172881293911,pilot,16
roberta-large,sst-5,int8,dense,selected_h,0.005,0.255859375,-0.23126006293911,pilot,16
facebook/opt-1.3b,trec,int4,dense,small_1e-5,1e-05,0.292,-0.43,full,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.66,-0.061999999999999944,full,16
facebook/opt-1.3b,trec,int4,dense,hstar_cont,0.0003443971570045,0.334,-0.38799999999999996,full,16
facebook/opt-1.3b,mnli,int4,dense,hstar_cont,0.0001731491820902,0.378604177279674,-0.05889582272032601,full,16
facebook/opt-1.3b,mnli,int4,dense,small_1e-5,1e-05,0.3578196637799287,-0.07968033622007131,full,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3904228222109017,-0.04707717778909831,full,16
facebook/opt-1.3b,rte,int4,dense,hstar_cont,0.0002940821846582,0.555956678700361,-0.04693140794223827,full,16
facebook/opt-1.3b,rte,int4,dense,small_1e-5,1e-05,0.5595667870036101,-0.04332129963898923,full,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.5992779783393501,-0.0036101083032491488,full,16
facebook/opt-1.3b,sst-2,int4,dense,hstar_cont,0.0005056172823939,0.8761467889908257,-0.03555045871559637,full,16
facebook/opt-1.3b,sst-2,int4,dense,small_1e-5,1e-05,0.5607798165137615,-0.3509174311926605,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.8967889908256881,-0.014908256880733939,full,16
facebook/opt-1.3b,sst-5,int4,dense,hstar_cont,0.0006543479591531,0.44141689373297,-0.028156221616712107,full,16
facebook/opt-1.3b,sst-5,int4,dense,small_1e-5,1e-05,0.2524977293369664,-0.2170753860127157,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4623069936421435,-0.0072661217075385975,full,16
facebook/opt-1.3b,mnli,int4,dense,smoke_standard_1e-3,0.001,0.3578196637799287,-0.07968033622007131,pilot,16
facebook/opt-1.3b,rte,int4,dense,smoke_standard_1e-3,0.001,0.5270758122743683,-0.07581227436823101,pilot,16
facebook/opt-1.3b,trec,int4,dense,smoke_standard_1e-3,0.001,0.264,-0.45799999999999996,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,smoke_standard_1e-3,0.001,0.5607798165137615,-0.3509174311926605,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,smoke_standard_1e-3,0.001,0.2306993642143505,-0.2388737511353316,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,0.37890625,-0.05859375,medium,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.37890625,-0.05859375,full,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,0.30859375,-0.1609793653496821,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.2890625,-0.1805106153496821,full,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,0.6015625,-0.310134747706422,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.60546875,-0.306228497706422,full,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,0.546875,-0.0560130866425993,medium,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.546875,-0.0560130866425993,full,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,0.22265625,-0.49934375,medium,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.265625,-0.456375,full,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3988792664289353,-0.038620733571064714,full,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.6028880866425993,0.0,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.911697247706422,0.0,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4695731153496821,0.0,full,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.722,0.0,full,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3746306673458991,-0.06286933265410088,pilot,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.5270758122743683,-0.07581227436823101,medium,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.8520642201834863,-0.059633027522935755,medium,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4132606721162579,-0.056312443233424214,medium,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.312,-0.41,medium,16
facebook/opt-1.3b,rte,int4,dense,formula_h_maxseq256,0.0002940821846582,0.5379061371841155,-0.06498194945848379,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr1e-6,0.001,0.3905540417801998,-0.07901907356948229,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr3e-6,0.001,0.2724795640326976,-0.19709355131698453,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_codes_step0,0.0003443971570045,0.258,-0.46399999999999997,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_human_verbalizer_step0,0.0003443971570045,0.018,-0.704,pilot,16
roberta-large,sst-5,int4,dense,0.001,0.001,0.225,-0.25392271662763455,medium,16
roberta-large,sst-5,int4,dense,nan,1e-05,,,pilot,16
roberta-large,sst-5,int4,dense,nan,3e-05,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.0001,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.0003,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.001,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.0015,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.002,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.003,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.004,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.005,,,pilot,16
roberta-large,sst-5,int4,dense,nan,0.01,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,1e-05,0.3395784543325527,-0.14754098360655732,pilot,16
roberta-large,sst-5,int8,dense,nan,3e-05,0.4672131147540984,-0.01990632318501162,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0001,0.4578454332552693,-0.029274004683840726,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0003,0.4648711943793911,-0.022248243559718883,pilot,16
roberta-large,sst-5,int8,dense,nan,0.004,0.3489461358313817,-0.13817330210772832,pilot,16
roberta-large,sst-5,int8,dense,nan,0.01,0.2716627634660422,-0.21545667447306782,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0001,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0007,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0015,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.002,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0025,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.004,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.005,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.01,,,pilot,16
roberta-large,sst-5,int8,dense,nan,4.10792e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,8.21584e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000164317,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000328634,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000657267,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00131453,,,pilot,16
roberta-large,sst-5,int8,dense,nan,7.5e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.00015,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0006,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0012,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0024,,,pilot,16
roberta-large,sst-5,int8,dense,nan,1e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,3e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0003,0.3501170960187353,-0.1370023419203747,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003,0.338407494145199,-0.148711943793911,pilot,16
roberta-large,sst-5,int8,dense,nan,0.01,0.2822014051522248,-0.2049180327868852,pilot,16
roberta-large,sst-5,int8,dense,nan,4.107919181288746e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,8.215838362577491e-05,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0001643167672515,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.000328633534503,0.3243559718969555,-0.16276346604215453,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0006572670690061,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0013145341380123,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0012,0.3266978922716627,-0.16042154566744732,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0001299038105676,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0002598076211353,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0005196152422706,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0010392304845413,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0020784609690826,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0041569219381653,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0002371708245126,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0004743416490252,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0009486832980505,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.001897366596101,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.003794733192202,,,pilot,16
roberta-large,sst-5,int8,dense,nan,0.0075894663844041,,,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,0.6015625,-0.310134747706422,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.60546875,-0.306228497706422,full,16
facebook/opt-1.3b,sst-2,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,0.30859375,-0.1609793653496821,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.2890625,-0.1805106153496821,full,16
facebook/opt-1.3b,sst-5,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,0.546875,-0.0560130866425993,medium,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.546875,-0.0560130866425993,full,16
facebook/opt-1.3b,rte,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,0.37890625,-0.05859375,medium,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.37890625,-0.05859375,full,16
facebook/opt-1.3b,mnli,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,0.22265625,-0.49934375,medium,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.265625,-0.456375,full,16
facebook/opt-1.3b,trec,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,0.37890625,-0.05859375,medium,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.37890625,-0.05859375,full,16
facebook/opt-1.3b,mnli,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,0.546875,-0.0560130866425993,medium,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.546875,-0.0560130866425993,full,16
facebook/opt-1.3b,rte,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,0.6015625,-0.310134747706422,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.60546875,-0.306228497706422,full,16
facebook/opt-1.3b,sst-2,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,0.30859375,-0.1609793653496821,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.2890625,-0.1805106153496821,full,16
facebook/opt-1.3b,sst-5,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,0.22265625,-0.49934375,medium,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.265625,-0.456375,full,16
facebook/opt-1.3b,trec,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,0.40625,-0.03125,pilot,16
facebook/opt-1.3b,mnli,int4,dense,low_1e-6,1e-06,0.34375,-0.09375,pilot,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.4375,0.0,pilot,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,0.46875,-0.1341380866425993,pilot,16
facebook/opt-1.3b,rte,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.5,-0.1028880866425993,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,0.40625,-0.505447247706422,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,low_1e-6,1e-06,0.65625,-0.255447247706422,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.40625,-0.505447247706422,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,0.25,-0.2195731153496821,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.21875,-0.2508231153496821,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,0.1875,-0.5345,pilot,16
facebook/opt-1.3b,trec,int4,dense,low_1e-6,1e-06,0.09375,-0.62825,pilot,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.125,-0.597,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0003505943738516,0.40625,-0.03125,pilot,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.4375,0.0,pilot,16
facebook/opt-1.3b,mnli,int4,dense,low_1e-6,1e-06,0.34375,-0.09375,pilot,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0003042012140732,0.46875,-0.1341380866425993,pilot,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.5,-0.1028880866425993,pilot,16
facebook/opt-1.3b,rte,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0004284685399569,0.40625,-0.505447247706422,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.40625,-0.505447247706422,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,low_1e-6,1e-06,0.65625,-0.255447247706422,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0005530026582391,0.25,-0.2195731153496821,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.21875,-0.2508231153496821,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,low_1e-6,1e-06,,,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003000868604142,0.1875,-0.5345,pilot,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.125,-0.597,pilot,16
facebook/opt-1.3b,trec,int4,dense,low_1e-6,1e-06,0.09375,-0.62825,pilot,16
facebook/opt-1.3b,mnli,int4,dense,formula_h,0.0001731491820902,0.3543555781966378,-0.08314442180336218,pilot,16
facebook/opt-1.3b,rte,int4,dense,formula_h,0.0002940821846582,0.5342960288808665,-0.06859205776173283,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,formula_h,0.0005056172823939,0.6892201834862385,-0.22247706422018354,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,formula_h,0.0006543479591531,0.3233424159854677,-0.1462306993642144,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h,0.0003443971570045,0.134,-0.588,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.2109375,-0.2586356153496821,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.1875,-0.2820731153496821,pilot,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3746306673458991,-0.06286933265410088,pilot,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.5270758122743683,-0.07581227436823101,pilot,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.8520642201834863,-0.059633027522935755,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4132606721162579,-0.056312443233424214,pilot,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.312,-0.41,pilot,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3988792664289353,-0.038620733571064714,full,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.6028880866425993,0.0,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.911697247706422,0.0,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4695731153496821,0.0,full,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.722,0.0,full,16
facebook/opt-1.3b,mnli,int4,dense,standard_1e-3,0.001,0.3988792664289353,-0.038620733571064714,full,16
facebook/opt-1.3b,rte,int4,dense,standard_1e-3,0.001,0.6028880866425993,0.0,full,16
facebook/opt-1.3b,sst-2,int4,dense,standard_1e-3,0.001,0.911697247706422,0.0,full,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3,0.001,0.4695731153496821,0.0,full,16
facebook/opt-1.3b,trec,int4,dense,standard_1e-3,0.001,0.722,0.0,full,16
facebook/opt-1.3b,rte,int4,dense,formula_h_maxseq256,0.0002940821846582,0.5379061371841155,-0.06498194945848379,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr1e-6,0.001,0.3905540417801998,-0.07901907356948229,pilot,16
facebook/opt-1.3b,sst-5,int4,dense,standard_1e-3_lr3e-6,0.001,0.2724795640326976,-0.19709355131698453,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_codes_step0,0.0003443971570045,0.258,-0.46399999999999997,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_human_verbalizer_step0,0.0003443971570045,0.018,-0.704,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_person_verbalizer_step0,0.0003443971570045,0.018,-0.704,pilot,16
facebook/opt-1.3b,trec,int4,dense,formula_h_trec_codes_step0,0.0003443971570045,0.258,-0.46399999999999997,pilot,16
facebook/opt-1.3b,mnli,int4,dense,large_5e-3,0.005,0.3578196637799287,-0.07968033622007131,medium,16
