model,task,precision,perturbation_mode,h,nMSE_loss,corr_loss,normalized_curve,source_path,metric_type,A_uniform,p_active,V_align,V_norm,relative_disp,locality_proxy
roberta-large,sst-5,int4,sparse_p0p1,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-05,18.152915362541084,0.1893296392459962,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-05,16.543768060501403,0.3477849884349784,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0001,2.5336192422767785,0.6221396810027171,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0003,0.2569452116146749,0.9032791046462032,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.001,0.0640383636430435,0.9685803178599124,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0015,0.0184069803733316,0.991070451685224,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.002,0.0264212641548415,0.9846273389973168,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.003,0.0633373361912936,0.9744932132615268,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.004,0.1724000355830656,0.9142740305235336,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.005,0.1542996353397276,0.9300371940393972,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.01,0.7802650417920037,0.501629734167058,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,1e-05,19.202016544974025,0.2592423777215794,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,3e-05,8.500613795059513,0.2032201024135893,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0001,2.46448613041656,0.3914157296246289,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0003,0.3682914010309363,0.8697254845913671,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.001,0.0703117243363364,0.962616237924466,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.0015,0.0439265945047522,0.9795321114087242,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.002,0.0471957966853454,0.976980489411132,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.003,0.1027349221881664,0.95069129940935,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.004,0.1343685516541705,0.9315921042624492,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.005,0.5569638394930074,0.6738123393211353,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int8,dense,0.01,0.9584742072595624,0.3318822384020425,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-05,520.6148408606313,-0.3174248255279775,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-05,131.6099831233774,0.0437620853215876,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0001,152.00736243338048,-0.1904546729816665,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0003,7.878052618273031,0.1990490637486484,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.001,5.71634754735968,0.3975037669969221,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0015,1.854662029725723,0.364601671925615,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.002,0.5421256760967027,0.8274394211254475,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.003,0.7942113862009239,0.6225660652153692,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.004,0.5531507315920412,0.7293692668156866,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.005,0.7080436334674773,0.5912501752502053,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.01,0.8575605885759294,0.3845377139574787,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-05,266.33595542647646,-0.4121933848361984,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,3e-05,24.9102149926038,0.3632759527030356,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0001,53.480188677137306,0.4579312819127764,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0003,9.12030077608508,-0.3669299988601145,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.001,1.6573141860878755,0.6156667893561594,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.0015,1.7479782438668303,-0.2984557242601773,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.002,0.7528432285249941,0.525474235395163,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.003,0.695355156337712,0.6427715113619198,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.004,0.5312928749762986,0.768773693575919,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.005,0.6627581136064538,0.7306335220375679,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,0.01,0.9128632092126668,0.2285708281674947,,interval_h_selection_8h_bundle/loss_mse_all.csv,,,,,,,
roberta-large,sst-5,int4,dense,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,sparse_p0p1,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-08,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-07,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-06,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,1e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,3e-05,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.0003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.001,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.003,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.01,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.03,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,sparse_p0p1,0.1,,,,interval_aware_h_probe/loss_mse_probe.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-05,18.152915362541084,0.1893296392459962,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-05,16.543768060501403,0.3477849884349784,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0001,2.5336192422767785,0.6221396810027171,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0003,0.2569452116146749,0.9032791046462032,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.001,0.0640383636430435,0.9685803178599124,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0015,0.0184069803733316,0.991070451685224,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.002,0.0264212641548415,0.9846273389973168,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.003,0.0633373361912936,0.9744932132615268,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.004,0.1724000355830656,0.9142740305235336,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.005,0.1542996353397276,0.9300371940393972,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.01,0.7802650417920037,0.501629734167058,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,1e-05,19.202016544974025,0.2592423777215794,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,3e-05,8.500613795059513,0.2032201024135893,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0001,2.46448613041656,0.3914157296246289,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0003,0.3682914010309363,0.8697254845913671,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.001,0.0703117243363364,0.962616237924466,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.0015,0.0439265945047522,0.9795321114087242,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.002,0.0471957966853454,0.976980489411132,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.003,0.1027349221881664,0.95069129940935,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.004,0.1343685516541705,0.9315921042624492,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.005,0.5569638394930074,0.6738123393211353,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int8,dense,0.01,0.9584742072595624,0.3318822384020425,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,1e-05,520.6148408606313,-0.3174248255279775,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-05,131.6099831233774,0.0437620853215876,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0001,152.00736243338048,-0.1904546729816665,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0003,7.878052618273031,0.1990490637486484,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.001,5.71634754735968,0.3975037669969221,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0015,1.854662029725723,0.364601671925615,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.002,0.5421256760967027,0.8274394211254475,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.003,0.7942113862009239,0.6225660652153692,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.004,0.5531507315920412,0.7293692668156866,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.005,0.7080436334674773,0.5912501752502053,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.01,0.8575605885759294,0.3845377139574787,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,1e-05,266.33595542647646,-0.4121933848361984,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,3e-05,24.9102149926038,0.3632759527030356,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0001,53.480188677137306,0.4579312819127764,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0003,9.12030077608508,-0.3669299988601145,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.001,1.6573141860878755,0.6156667893561594,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.0015,1.7479782438668303,-0.2984557242601773,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.002,0.7528432285249941,0.525474235395163,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
roberta-large,sst-5,int4,dense,0.003,0.695355156337712,0.6427715113619198,,interval_h_selection_8h_bundle/loss_mse_all.csv,loss_or_fd,,,,,,
