d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,synthetic_source,k_dirs,tau,h_min,h_max,rho_window_width_log10,rows_in_window
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.0003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,4,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,1,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,2,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,4,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,8,1.0,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.01,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.05,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.1,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,0.5,1e-08,0.1,7.0,15
1000,1,0.001,0.003,8,nl,128,0.5,hwindow_12h_highdim_extra_midp,16,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,1,0.01,3e-08,0.1,6.522878745280337,12
1000,10,0.01,1e-05,4,lin,128,0.0,main,1,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,1,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,1,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,1,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,2,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,2,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,2,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,2,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,2,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,4,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,4,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,4,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,4,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,4,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,8,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,8,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,8,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,8,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,8,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,16,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,16,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,16,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,16,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,0.0,main,16,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,1,0.01,0.0001,0.001,1.0,3
1000,10,0.01,1e-05,4,lin,128,1.0,main,1,0.05,1e-08,0.1,7.0,13
1000,10,0.01,1e-05,4,lin,128,1.0,main,1,0.1,1e-08,0.1,7.0,14
1000,10,0.01,1e-05,4,lin,128,1.0,main,1,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,1,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,2,0.01,1e-05,0.01,3.0,7
1000,10,0.01,1e-05,4,lin,128,1.0,main,2,0.05,1e-08,0.1,7.0,14
1000,10,0.01,1e-05,4,lin,128,1.0,main,2,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,2,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,2,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,4,0.01,1e-08,0.1,7.0,13
1000,10,0.01,1e-05,4,lin,128,1.0,main,4,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,4,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,4,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,4,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,8,0.01,1e-08,0.1,7.0,14
1000,10,0.01,1e-05,4,lin,128,1.0,main,8,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,8,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,8,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,8,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,16,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,16,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,16,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,16,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,lin,128,1.0,main,16,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,1,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,1,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,1,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,1,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,1,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,2,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,2,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,2,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,2,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,2,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,4,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,4,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,4,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,4,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,4,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,8,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,8,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,8,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,8,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,8,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,16,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,16,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,16,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,16,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,0.0,main,16,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,1,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,1,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,1,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,1,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,1,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,2,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,2,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,2,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,2,0.5,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,2,1.0,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,4,0.01,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,4,0.05,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,4,0.1,1e-08,0.1,7.0,15
1000,10,0.01,1e-05,4,nl,128,1.0,main,4,0.5,1e-08,0.1,7.0,15
