d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,metric,alpha,beta,gamma,h_star,fit_R2,synthetic_source
1000,100,0.1,0.0001,8,nl,128,0.0,64,A_true,1.113065526316796e-16,0.0,0.0,,-0.2955623364454554,main
1000,100,0.1,0.0001,8,nl,128,0.0,64,A_interval_grad,8.357643464835926e-18,0.0,0.0,,-0.1351166063664719,main
1000,100,0.1,0.0001,8,lin,128,1.0,64,A_true,1.2940826625951214e-16,0.0,0.0,,-0.267006548379453,main
1000,100,0.1,0.0001,8,lin,128,1.0,64,A_interval_grad,1.0887114491191565e-17,0.0,0.0,,-0.2783105778041941,main
1000,100,0.1,0.0001,8,nl,128,1.0,64,A_true,1.2303608503011636e-15,0.0,0.0,,-0.1910064287851833,main
1000,100,0.1,0.0001,8,nl,128,1.0,64,A_interval_grad,1.1957279413200035e-16,0.0,0.0,,-0.1703915589249158,main
1000,100,0.1,0.0001,4,lin,128,0.0,64,A_true,1.1089609501267977e-16,0.0,0.0,,-0.6378772519762066,main
1000,100,0.1,0.0001,4,lin,128,0.0,64,A_interval_grad,1.0152659618944238e-17,0.0,0.0,,-0.7853763377676912,main
1000,100,0.1,0.0001,4,nl,128,0.0,64,A_true,1.2338181399895175e-16,0.0,0.0,,-0.175903461317932,main
1000,100,0.1,0.0001,4,nl,128,0.0,64,A_interval_grad,1.1740509125311604e-17,0.0,0.0,,-0.2154425129476906,main
1000,100,0.1,0.0001,4,lin,128,1.0,64,A_true,3.8993694181589606e-15,0.0,0.0,,-0.1290126071156767,main
1000,100,0.1,0.0001,4,lin,128,1.0,64,A_interval_grad,5.108966951849396e-16,0.0,0.0,,-0.1337812712684187,main
1000,100,0.1,0.0001,4,nl,128,1.0,64,A_true,1.1085450645524336e-16,0.0,0.0,,-4.807747909179311,main
1000,100,0.1,0.0001,4,nl,128,1.0,64,A_interval_grad,1.0928366810937058e-17,0.0,0.0,,-1.736197505979279,main
1000,100,0.1,0.001,8,lin,128,0.0,64,A_true,8.660683655329086e-10,0.0,0.0,,0.8060615395684874,main
1000,100,0.1,0.001,8,lin,128,0.0,64,A_interval_grad,1.1924953060788095e-10,0.0,0.0,,0.7727583350718948,main
1000,100,0.1,0.001,8,nl,128,0.0,64,A_true,1.1086375828573218e-16,0.0,0.0,,-0.3495228140093791,main
1000,100,0.1,0.001,8,nl,128,0.0,64,A_interval_grad,1.0666368000730352e-17,0.0,0.0,,-0.4171170393816608,main
1000,100,0.1,0.001,8,lin,128,1.0,64,A_true,1.1086449206459915e-16,0.0,0.0,,-0.3492212306548909,main
1000,100,0.1,0.001,8,lin,128,1.0,64,A_interval_grad,1.1661445915032512e-17,0.0,0.0,,-0.3124124268828312,main
1000,100,0.1,0.001,8,nl,128,1.0,64,A_true,1.1086049518402916e-16,0.0,0.0,,-0.2426088447446297,main
1000,100,0.1,0.001,8,nl,128,1.0,64,A_interval_grad,1.2864486999185039e-17,0.0,0.0,,-0.201546460372846,main
1000,100,0.1,0.001,4,lin,128,0.0,64,A_true,1.1088429660385717e-16,0.0,0.0,,-0.6001839658678638,main
1000,100,0.1,0.001,4,lin,128,0.0,64,A_interval_grad,1.080535461415236e-17,0.0,0.0,,-0.4658187630543757,main
1000,100,0.1,0.001,4,nl,128,0.0,64,A_true,1.1086055154627843e-16,0.0,0.0,,-0.7717382158744321,main
1000,100,0.1,0.001,4,nl,128,0.0,64,A_interval_grad,1.036838919748768e-17,0.0,0.0,,-0.6232311937067485,main
1000,100,0.1,0.001,4,lin,128,1.0,64,A_true,4.8789137039987495e-16,0.0,0.0,,-0.102931358661986,main
1000,100,0.1,0.001,4,lin,128,1.0,64,A_interval_grad,4.4900067359708256e-17,0.0,0.0,,-0.1083334438313108,main
1000,100,0.1,0.001,4,nl,128,1.0,64,A_true,1.117687653492379e-16,0.0,0.0,,-0.3257653070198105,main
1000,100,0.1,0.001,4,nl,128,1.0,64,A_interval_grad,8.466495348497516e-18,0.0,0.0,,-0.2808869846695068,main
1000,100,0.1,0.01,8,lin,128,0.0,64,A_true,1.1087218736250622e-16,0.0,0.0,,-0.1533557946715027,main
1000,100,0.1,0.01,8,lin,128,0.0,64,A_interval_grad,1.056748609165457e-17,0.0,0.0,,-0.1516007090252853,main
1000,100,0.1,0.01,8,nl,128,0.0,64,A_true,1.1085402021746882e-16,0.0,0.0,,-0.2378797601277404,main
1000,100,0.1,0.01,8,nl,128,0.0,64,A_interval_grad,1.2623629230854513e-17,0.0,0.0,,-0.3236499751999762,main
1000,100,0.1,0.01,8,lin,128,1.0,64,A_true,1.1085368063710663e-16,0.0,0.0,,-0.4160272420638446,main
1000,100,0.1,0.01,8,lin,128,1.0,64,A_interval_grad,1.2036894816043062e-17,0.0,0.0,,-0.4674882299922742,main
1000,100,0.1,0.01,8,nl,128,1.0,64,A_true,1.1200678334254995e-16,0.0,0.0,,-0.1554023006762148,main
1000,100,0.1,0.01,8,nl,128,1.0,64,A_interval_grad,9.498450076047853e-18,0.0,0.0,,-0.1782003920439061,main
1000,100,0.1,0.01,4,lin,128,0.0,64,A_true,1.1085376668893499e-16,0.0,0.0,,-0.5020298515571779,main
1000,100,0.1,0.01,4,lin,128,0.0,64,A_interval_grad,1.0936141806739875e-17,0.0,0.0,,-0.5853570294161543,main
1000,100,0.1,0.01,4,nl,128,0.0,64,A_true,1.1085373762857603e-16,0.0,0.0,,-0.7210317143343135,main
1000,100,0.1,0.01,4,nl,128,0.0,64,A_interval_grad,7.935641414153617e-18,0.0,0.0,,-0.6456464141440796,main
1000,100,0.1,0.01,4,lin,128,1.0,64,A_true,1.108536590244202e-16,0.0,0.0,,-3.5686069059804613,main
1000,100,0.1,0.01,4,lin,128,1.0,64,A_interval_grad,8.250140306203305e-18,0.0,0.0,,-3.3855330919909,main
1000,100,0.1,0.01,4,nl,128,1.0,64,A_true,1.1085731829145779e-16,0.0,0.0,,-0.3218642922263819,main
1000,100,0.1,0.01,4,nl,128,1.0,64,A_interval_grad,1.245502039377507e-17,0.0,0.0,,-0.2309791931263654,main
1000,10,0.01,1e-05,8,lin,128,0.0,64,A_true,1.1086604288197036e-16,0.0,0.0,,-0.9998889350986,main
1000,10,0.01,1e-05,8,lin,128,0.0,64,A_interval_grad,1.0345162128212813e-18,0.0,0.0,,-1.001313898079763,main
1000,10,0.01,1e-05,8,nl,128,0.0,64,A_true,1.4142052447575316e-16,0.0,0.0,,-0.1953232019108184,main
1000,10,0.01,1e-05,8,nl,128,0.0,64,A_interval_grad,7.943869700295537e-19,0.0,0.0,,-1.0571965912081884,main
1000,10,0.01,1e-05,8,lin,128,1.0,64,A_true,1.1769602133063447e-16,0.0,0.0,,-0.4276399601815042,main
1000,10,0.01,1e-05,8,lin,128,1.0,64,A_interval_grad,9.687130086238271e-19,0.0,0.0,,-0.4297725358380253,main
1000,10,0.01,1e-05,8,nl,128,1.0,64,A_true,1.1085363689493288e-16,0.0,0.0,,-5.3092870194218245,main
1000,10,0.01,1e-05,8,nl,128,1.0,64,A_interval_grad,1.0545638341687953e-18,0.0,0.0,,-1.2643490124488133,main
1000,10,0.01,1e-05,4,lin,128,0.0,64,A_true,1.1085949888137042e-16,0.0,0.0,,-2.9347557998155978,main
1000,10,0.01,1e-05,4,lin,128,0.0,64,A_interval_grad,9.521601183877516e-19,0.0,0.0,,-2.6109729152918786,main
1000,10,0.01,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
1000,10,0.01,1e-05,4,nl,128,0.0,64,A_interval_grad,9.88610548995233e-19,0.0,0.0,,-0.163919966335698,main
1000,10,0.01,1e-05,4,lin,128,1.0,64,A_true,1.1140145790550643e-16,0.0,0.0,,-0.7397782879077175,main
1000,10,0.01,1e-05,4,lin,128,1.0,64,A_interval_grad,2.335217550336357e-18,0.0,0.0,,-1.0253632057619897,main
1000,10,0.01,1e-05,4,nl,128,1.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
1000,10,0.01,1e-05,4,nl,128,1.0,64,A_interval_grad,1.529655820946185e-17,0.0,0.0,,0.999444974784922,main
1000,10,0.01,0.0001,8,lin,128,0.0,64,A_true,1.1086113461079682e-16,0.0,0.0,,-0.3256386723124305,main
1000,10,0.01,0.0001,8,lin,128,0.0,64,A_interval_grad,7.594519378721099e-19,0.0,0.0,,-0.3825324440564539,main
1000,10,0.01,0.0001,8,nl,128,0.0,64,A_true,1.1086750316962412e-16,0.0,0.0,,-1.2099057906853172,main
1000,10,0.01,0.0001,8,nl,128,0.0,64,A_interval_grad,1.4174152281877446e-18,0.0,0.0,,-1.174195591774394,main
1000,10,0.01,0.0001,8,lin,128,1.0,64,A_true,1.5223286112133732e-16,0.0,0.0,,-0.2177865763993667,main
1000,10,0.01,0.0001,8,lin,128,1.0,64,A_interval_grad,1.1951047878589481e-18,0.0,0.0,,-0.2438037458387383,main
1000,10,0.01,0.0001,8,nl,128,1.0,64,A_true,1.1085365541961278e-16,0.0,0.0,,-3.821340921063694,main
1000,10,0.01,0.0001,8,nl,128,1.0,64,A_interval_grad,5.3403100467615125e-18,0.0,0.0,,-0.1993729494932257,main
1000,10,0.01,0.0001,4,lin,128,0.0,64,A_true,4.711979197894411e-12,0.0,0.0,,0.0827009369080472,main
1000,10,0.01,0.0001,4,lin,128,0.0,64,A_interval_grad,9.273203450054437e-14,0.0,0.0,,0.0696718935901653,main
1000,10,0.01,0.0001,4,nl,128,0.0,64,A_true,1.1085366376768668e-16,0.0,0.0,,-8.626481665288438,main
1000,10,0.01,0.0001,4,nl,128,0.0,64,A_interval_grad,2.4072115966262865e-18,0.0,0.0,,-2.9289466039430097,main
1000,10,0.01,0.0001,4,lin,128,1.0,64,A_true,1.1915629401414162e-16,0.0,0.0,,-0.3949448022733153,main
1000,10,0.01,0.0001,4,lin,128,1.0,64,A_interval_grad,2.0140496543441578e-18,0.0,0.0,,-0.3689393984316389,main
1000,10,0.01,0.0001,4,nl,128,1.0,64,A_true,1.1085365191113211e-16,0.0,0.0,,-9.371341424094249,main
1000,10,0.01,0.0001,4,nl,128,1.0,64,A_interval_grad,2.301835313494712e-18,0.0,0.0,,-3.745536311824548,main
1000,10,0.01,0.001,8,lin,128,0.0,64,A_true,1.1092911944925139e-16,0.0,0.0,,-0.2155789744493519,main
1000,10,0.01,0.001,8,lin,128,0.0,64,A_interval_grad,9.22086579987804e-19,0.0,0.0,,-0.2143058405894664,main
1000,10,0.01,0.001,8,nl,128,0.0,64,A_true,1.1085620380888881e-16,0.0,0.0,,-0.2430358539686599,main
1000,10,0.01,0.001,8,nl,128,0.0,64,A_interval_grad,2.1699138595706386e-18,0.0,0.0,,-0.168998889222234,main
1000,10,0.01,0.001,8,lin,128,1.0,64,A_true,1.1085365732583175e-16,0.0,0.0,,-1.676995850424154,main
1000,10,0.01,0.001,8,lin,128,1.0,64,A_interval_grad,1.1698376187001711e-18,0.0,0.0,,-1.6937135417557787,main
1000,10,0.01,0.001,8,nl,128,1.0,64,A_true,1.1085564278700563e-16,0.0,0.0,,-0.2859556932626659,main
1000,10,0.01,0.001,8,nl,128,1.0,64,A_interval_grad,7.064152611988775e-20,0.0,0.0,,-0.2692259639917105,main
1000,10,0.01,0.001,4,lin,128,0.0,64,A_true,1.1085374960016285e-16,0.0,0.0,,-1.0980103416368745,main
1000,10,0.01,0.001,4,lin,128,0.0,64,A_interval_grad,3.0598787659267217e-18,0.0,0.0,,-1.068036962094186,main
1000,10,0.01,0.001,4,nl,128,0.0,64,A_true,1.1171918789645984e-16,0.0,0.0,,-0.2170851394304964,main
1000,10,0.01,0.001,4,nl,128,0.0,64,A_interval_grad,1.0787166467253037e-18,0.0,0.0,,-0.2625738246723363,main
1000,10,0.01,0.001,4,lin,128,1.0,64,A_true,1.108537505756524e-16,0.0,0.0,,-0.4109069821017499,main
1000,10,0.01,0.001,4,lin,128,1.0,64,A_interval_grad,9.225281182699505e-19,0.0,0.0,,-0.5384073245025531,main
1000,10,0.01,0.001,4,nl,128,1.0,64,A_true,1.1085365794010303e-16,0.0,0.0,,-9.90704870281268,main
1000,10,0.01,0.001,4,nl,128,1.0,64,A_interval_grad,2.273793524926008e-19,0.0,0.0,,-3.9636118383851455,main
1000,10,0.01,0.01,8,lin,128,0.0,64,A_true,1.1085368052458048e-16,0.0,0.0,,-0.226427043483796,main
1000,10,0.01,0.01,8,lin,128,0.0,64,A_interval_grad,7.798177259950473e-19,0.0,0.0,,-0.2779691724416087,main
1000,10,0.01,0.01,8,nl,128,0.0,64,A_true,1.1085365853740847e-16,0.0,0.0,,-4.237432011386017,main
1000,10,0.01,0.01,8,nl,128,0.0,64,A_interval_grad,9.327531169691505e-19,0.0,0.0,,-1.3953240402195517,main
1000,10,0.01,0.01,8,lin,128,1.0,64,A_true,1.108537654448735e-16,0.0,0.0,,-0.1852996398507358,main
1000,10,0.01,0.01,8,lin,128,1.0,64,A_interval_grad,1.4512145606587805e-18,0.0,0.0,,-0.1675411734402108,main
1000,10,0.01,0.01,8,nl,128,1.0,64,A_true,1.1124941239422247e-16,0.0,0.0,,-0.1741988190270709,main
1000,10,0.01,0.01,8,nl,128,1.0,64,A_interval_grad,3.684635799872141e-19,0.0,0.0,,-0.3176355779503395,main
1000,10,0.01,0.01,4,lin,128,0.0,64,A_true,1.1085365855813912e-16,0.0,0.0,,-2.782571382317907,main
1000,10,0.01,0.01,4,lin,128,0.0,64,A_interval_grad,1.0443072089927245e-18,0.0,0.0,,-3.162101401492192,main
1000,10,0.01,0.01,4,nl,128,0.0,64,A_true,1.1086592371915788e-16,0.0,0.0,,-0.292871731765371,main
1000,10,0.01,0.01,4,nl,128,0.0,64,A_interval_grad,3.2479134104482164e-18,0.0,0.0,,-0.2589259944180955,main
1000,10,0.01,0.01,4,lin,128,1.0,64,A_true,1.1085365853637363e-16,0.0,0.0,,-5.624607038295677,main
1000,10,0.01,0.01,4,lin,128,1.0,64,A_interval_grad,2.083417882447913e-18,0.0,0.0,,-5.463230360873727,main
1000,10,0.01,0.01,4,nl,128,1.0,64,A_true,1.1085365853594247e-16,0.0,0.0,,-6.489790461731093,main
1000,10,0.01,0.01,4,nl,128,1.0,64,A_interval_grad,3.258544235255472e-18,0.0,0.0,,-1.771164236153297,main
10000,10000,1.0,1e-05,8,lin,128,0.0,64,A_true,2.8143807781955864e-14,0.0,0.0,,0.8478090785165081,main
10000,10000,1.0,1e-05,8,lin,128,0.0,64,A_interval_grad,3.7869930414067744e-14,0.0,0.0,,0.9182517398963638,main
10000,10000,1.0,1e-05,8,nl,128,0.0,64,A_true,6.18078405444402e-14,0.0,0.0,,0.376876314248953,main
10000,10000,1.0,1e-05,8,nl,128,0.0,64,A_interval_grad,2.17877869866561e-14,0.0,0.0,,0.8509135168244489,main
10000,10000,1.0,1e-05,8,lin,128,1.0,64,A_true,2.2622199040285184e-14,0.0,0.0,,0.8641573026965569,main
10000,10000,1.0,1e-05,8,lin,128,1.0,64,A_interval_grad,2.1658654541097465e-14,0.0,0.0,,0.7700137692397596,main
10000,10000,1.0,1e-05,8,nl,128,1.0,64,A_true,3.7568304338756187e-13,0.0,0.0,,0.9810569808543036,main
10000,10000,1.0,1e-05,8,nl,128,1.0,64,A_interval_grad,1.7309169651993908e-12,0.0,0.0,,0.9967262966306568,main
10000,10000,1.0,1e-05,4,lin,128,0.0,64,A_true,3.609354766710264e-14,0.0,0.0,,0.9349452797805584,main
10000,10000,1.0,1e-05,4,lin,128,0.0,64,A_interval_grad,4.358261751129063e-14,0.0,0.0,,0.9597710762235124,main
10000,10000,1.0,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main
10000,10000,1.0,1e-05,4,nl,128,0.0,64,A_interval_grad,3.6847068754572637e-14,0.0,0.0,,0.8767214710753084,main
10000,10000,1.0,1e-05,4,lin,128,1.0,64,A_true,1.1091761062863343e-13,0.0,0.0,,0.9096087578402802,main
10000,10000,1.0,1e-05,4,lin,128,1.0,64,A_interval_grad,7.937307799555916e-14,0.0,0.0,,0.7925872573671308,main
10000,10000,1.0,1e-05,4,nl,128,1.0,64,A_true,2.272505929427337e-16,0.0,0.0,,-0.1848189729620655,main
10000,10000,1.0,1e-05,4,nl,128,1.0,64,A_interval_grad,1.6049180188790912e-14,0.0,0.0,,-0.1111826094130812,main
10000,10000,1.0,0.0001,8,lin,128,0.0,64,A_true,4.613345691635946e-13,0.0,0.0,,0.9546396261071448,main
10000,10000,1.0,0.0001,8,lin,128,0.0,64,A_interval_grad,6.947775253951442e-13,0.0,0.0,,0.9860674110889482,main
10000,10000,1.0,0.0001,8,nl,128,0.0,64,A_true,4.1442069321110063e-13,0.0,0.0,,0.9979192664947052,main
10000,10000,1.0,0.0001,8,nl,128,0.0,64,A_interval_grad,1.82560756104323e-12,0.0,0.0,,0.9965739829449084,main
10000,10000,1.0,0.0001,8,lin,128,1.0,64,A_true,7.0826343938619866e-15,0.0,0.0,,-0.2683674494907142,main
