d,effective_dim,active_p,Delta,qbits,function_family,group_size,scale_sigma,n_dirs,metric,alpha,beta,gamma,h_star,fit_R2,synthetic_source,window_width_kappa_1p1,rho_min
1000,1000,1.0,0.0001,4,nl,128,0.0,64,A_true,3.23633897332635e-16,0.0,0.0,,-0.1979155538818884,main,0.0,0.2964391770961511
1000,1000,1.0,0.0001,4,nl,128,0.0,64,A_interval_grad,4.1754153392137485e-16,0.0,0.0,,-0.1913758432307941,main,,0.2964391770961511
1000,1000,1.0,0.0001,4,lin,128,1.0,64,A_true,3.2079390724951267e-16,0.0,0.0,,-0.4894326137285518,main,0.4771212547196624,0.0921033515472519
1000,1000,1.0,0.0001,4,lin,128,1.0,64,A_interval_grad,3.4694612466893263e-16,0.0,0.0,,-0.5168623899790303,main,,0.0921033515472519
1000,1000,1.0,0.0001,4,nl,128,1.0,64,A_true,1.1095660624056832e-16,0.0,0.0,,-0.2636880207737122,main,0.5228787452803376,0.2436974240229635
1000,1000,1.0,0.0001,4,nl,128,1.0,64,A_interval_grad,3.763339320377764e-16,0.0,0.0,,-0.3700298443372627,main,,0.2436974240229635
1000,1000,1.0,0.001,8,lin,128,0.0,64,A_true,1.1109189774086714e-16,0.0,0.0,,-0.3391386119090529,main,0.0,0.000306934567891
1000,1000,1.0,0.001,8,lin,128,0.0,64,A_interval_grad,1.1038499285219316e-16,0.0,0.0,,-0.368359399089611,main,,0.000306934567891
1000,1000,1.0,0.001,8,nl,128,0.0,64,A_true,1.615290074596486e-16,0.0,0.0,,-0.1988237302071833,main,0.0,0.1865467204464247
1000,1000,1.0,0.001,8,nl,128,0.0,64,A_interval_grad,2.831172819447595e-16,0.0,0.0,,-0.1976349170816469,main,,0.1865467204464247
1000,1000,1.0,0.001,8,lin,128,1.0,64,A_true,1.3993612638987115e-16,0.0,0.0,,-0.3529936251490277,main,0.0,0.0006063465614143
1000,1000,1.0,0.001,8,lin,128,1.0,64,A_interval_grad,1.5217897124204451e-16,0.0,0.0,,-0.2514672447696748,main,,0.0006063465614143
1000,1000,1.0,0.001,8,nl,128,1.0,64,A_true,1.1422016451768034e-16,0.0,0.0,,-0.5390888267861327,main,0.0,0.2045918122680695
1000,1000,1.0,0.001,8,nl,128,1.0,64,A_interval_grad,1.1059174080418312e-16,0.0,0.0,,-0.2966365692542301,main,,0.2045918122680695
1000,1000,1.0,0.001,4,lin,128,0.0,64,A_true,2.2285231530472e-15,0.0,0.0,,-0.2494596628682988,main,0.0,0.0116914049359347
1000,1000,1.0,0.001,4,lin,128,0.0,64,A_interval_grad,2.0994436424656275e-15,0.0,0.0,,-0.2416697443224125,main,,0.0116914049359347
1000,1000,1.0,0.001,4,nl,128,0.0,64,A_true,1.1162585821127028e-16,0.0,0.0,,-0.5190153440196388,main,0.0,0.2322735467870726
1000,1000,1.0,0.001,4,nl,128,0.0,64,A_interval_grad,1.128457460042502e-16,0.0,0.0,,-0.3797086549887325,main,,0.2322735467870726
1000,1000,1.0,0.001,4,lin,128,1.0,64,A_true,4.511385685283458e-16,0.0,0.0,,-0.4439984693729997,main,0.0,0.1219348368307748
1000,1000,1.0,0.001,4,lin,128,1.0,64,A_interval_grad,3.940133700963373e-16,0.0,0.0,,-0.4910026071989848,main,,0.1219348368307748
1000,1000,1.0,0.001,4,nl,128,1.0,64,A_true,1.116621530497792e-16,0.0,0.0,,-0.1821860545765483,main,0.0,0.2147945141408125
1000,1000,1.0,0.001,4,nl,128,1.0,64,A_interval_grad,1.1181537358494679e-16,0.0,0.0,,-0.2100395857247847,main,,0.2147945141408125
1000,1000,1.0,0.01,8,lin,128,0.0,64,A_true,1.1088445779422755e-16,0.0,0.0,,-0.2760735022233183,main,0.0,0.0004505773632583
1000,1000,1.0,0.01,8,lin,128,0.0,64,A_interval_grad,1.0998073725732055e-16,0.0,0.0,,-0.2923130242181952,main,,0.0004505773632583
1000,1000,1.0,0.01,8,nl,128,0.0,64,A_true,1.1085539154346868e-16,0.0,0.0,,-0.384302952406198,main,1.0,0.1902987907312208
1000,1000,1.0,0.01,8,nl,128,0.0,64,A_interval_grad,1.0988317701485484e-16,0.0,0.0,,-0.3185452550126044,main,,0.1902987907312208
1000,1000,1.0,0.01,8,lin,128,1.0,64,A_true,1.108773431038074e-16,0.0,0.0,,-0.4615558203319252,main,0.0,0.0011804800510244
1000,1000,1.0,0.01,8,lin,128,1.0,64,A_interval_grad,1.115282213189984e-16,0.0,0.0,,-0.4170857475505982,main,,0.0011804800510244
1000,1000,1.0,0.01,8,nl,128,1.0,64,A_true,1.5220487994469086e-16,0.0,0.0,,-0.158646419994183,main,0.0,0.2654697167186408
1000,1000,1.0,0.01,8,nl,128,1.0,64,A_interval_grad,1.4360390034426412e-16,0.0,0.0,,-0.2064322916929302,main,,0.2654697167186408
1000,1000,1.0,0.01,4,lin,128,0.0,64,A_true,1.1125951791131146e-16,0.0,0.0,,-0.2287534871175087,main,0.0,0.0101347695797472
1000,1000,1.0,0.01,4,lin,128,0.0,64,A_interval_grad,1.1333016514894961e-16,0.0,0.0,,-0.2111431661824336,main,,0.0101347695797472
1000,1000,1.0,0.01,4,nl,128,0.0,64,A_true,1.2338888409498968e-16,0.0,0.0,,-0.2164340768402926,main,0.0,0.2211195893865828
1000,1000,1.0,0.01,4,nl,128,0.0,64,A_interval_grad,1.3173088862081068e-16,0.0,0.0,,-0.2071127111240731,main,,0.2211195893865828
1000,1000,1.0,0.01,4,lin,128,1.0,64,A_true,1.2053235275826047e-16,0.0,0.0,,-0.1439761263751713,main,0.0,0.0511074175632397
1000,1000,1.0,0.01,4,lin,128,1.0,64,A_interval_grad,1.2266652509214607e-16,0.0,0.0,,-0.1228842316986424,main,,0.0511074175632397
1000,1000,1.0,0.01,4,nl,128,1.0,64,A_true,1.1092888214484214e-16,0.0,0.0,,-0.2626828031580144,main,0.4771212547196624,0.2735268038362312
1000,1000,1.0,0.01,4,nl,128,1.0,64,A_interval_grad,1.1452195649489842e-16,0.0,0.0,,-0.3685242125860135,main,,0.2735268038362312
1000,100,0.1,1e-05,8,lin,128,0.0,64,A_true,2.8075378423207143e-14,0.0,0.0,,0.7885897597382254,main,0.4771212547196624,4.321922193683887e-05
1000,100,0.1,1e-05,8,lin,128,0.0,64,A_interval_grad,3.698227447719817e-15,0.0,0.0,,0.8738771639724576,main,,4.321922193683887e-05
1000,100,0.1,1e-05,8,nl,128,0.0,64,A_true,1.1096870711216936e-16,0.0,0.0,,-0.3889427326483592,main,0.0,0.027056793327151
1000,100,0.1,1e-05,8,nl,128,0.0,64,A_interval_grad,1.0597242850345679e-15,0.0,0.0,,0.3945543065277289,main,,0.027056793327151
1000,100,0.1,1e-05,8,lin,128,1.0,64,A_true,1.1953947606648607e-16,0.0,0.0,,-0.363133345715589,main,0.0,7.752292173272937e-05
1000,100,0.1,1e-05,8,lin,128,1.0,64,A_interval_grad,1.424928562506827e-17,0.0,0.0,,-0.3559005991797852,main,,7.752292173272937e-05
1000,100,0.1,1e-05,8,nl,128,1.0,64,A_true,1.1088909912044975e-16,0.0,0.0,,-1.1873179122947342,main,0.0,0.0195558564925923
1000,100,0.1,1e-05,8,nl,128,1.0,64,A_interval_grad,6.8987373684e-14,0.0,0.0,,0.999306716772417,main,,0.0195558564925923
1000,100,0.1,1e-05,4,lin,128,0.0,64,A_true,5.697003051975537e-16,0.0,0.0,,-0.1966580076562929,main,0.0,0.0010175675141407
1000,100,0.1,1e-05,4,lin,128,0.0,64,A_interval_grad,4.7523820920168975e-17,0.0,0.0,,-0.2400194081917779,main,,0.0010175675141407
1000,100,0.1,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main,7.0,0.092250000123612
1000,100,0.1,1e-05,4,nl,128,0.0,64,A_interval_grad,1.3632319723265548e-15,0.0,0.0,,0.2555811817268425,main,,0.092250000123612
1000,100,0.1,1e-05,4,lin,128,1.0,64,A_true,3.114992869860935e-16,0.0,0.0,,-0.3162559908505322,main,0.0,0.005369121250182
1000,100,0.1,1e-05,4,lin,128,1.0,64,A_interval_grad,3.4712672714709086e-17,0.0,0.0,,-0.2884106133456785,main,,0.005369121250182
1000,100,0.1,1e-05,4,nl,128,1.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main,7.0,0.0890810449451453
1000,100,0.1,1e-05,4,nl,128,1.0,64,A_interval_grad,6.891867425002349e-17,0.0,0.0,,-0.2259283012099138,main,,0.0890810449451453
1000,100,0.1,0.0001,8,lin,128,0.0,64,A_true,1.1092010984630632e-16,0.0,0.0,,-0.5730384348491298,main,0.0,1.746208885143158e-05
1000,100,0.1,0.0001,8,lin,128,0.0,64,A_interval_grad,1.0052377515223268e-17,0.0,0.0,,-0.554838588803533,main,,1.746208885143158e-05
1000,100,0.1,0.0001,8,nl,128,0.0,64,A_true,1.113065526316796e-16,0.0,0.0,,-0.2955623364454554,main,0.0,0.0138993418381983
1000,100,0.1,0.0001,8,nl,128,0.0,64,A_interval_grad,8.357643464835926e-18,0.0,0.0,,-0.1351166063664719,main,,0.0138993418381983
1000,100,0.1,0.0001,8,lin,128,1.0,64,A_true,1.2940826625951214e-16,0.0,0.0,,-0.267006548379453,main,0.0,0.0001425920817517
1000,100,0.1,0.0001,8,lin,128,1.0,64,A_interval_grad,1.0887114491191565e-17,0.0,0.0,,-0.2783105778041941,main,,0.0001425920817517
1000,100,0.1,0.0001,8,nl,128,1.0,64,A_true,1.2303608503011636e-15,0.0,0.0,,-0.1910064287851833,main,0.0,0.0182893159932631
1000,100,0.1,0.0001,8,nl,128,1.0,64,A_interval_grad,1.1957279413200035e-16,0.0,0.0,,-0.1703915589249158,main,,0.0182893159932631
1000,100,0.1,0.0001,4,lin,128,0.0,64,A_true,1.1089609501267976e-16,0.0,0.0,,-0.6378772519762066,main,0.0,0.0010130391082864
1000,100,0.1,0.0001,4,lin,128,0.0,64,A_interval_grad,1.0152659618944238e-17,0.0,0.0,,-0.7853763377676912,main,,0.0010130391082864
1000,100,0.1,0.0001,4,nl,128,0.0,64,A_true,1.2338181399895175e-16,0.0,0.0,,-0.175903461317932,main,0.4771212547196624,0.0325557166159017
1000,100,0.1,0.0001,4,nl,128,0.0,64,A_interval_grad,1.1740509125311604e-17,0.0,0.0,,-0.2154425129476906,main,,0.0325557166159017
1000,100,0.1,0.0001,4,lin,128,1.0,64,A_true,3.8993694181589606e-15,0.0,0.0,,-0.1290126071156767,main,0.0,0.0072116916107372
1000,100,0.1,0.0001,4,lin,128,1.0,64,A_interval_grad,5.108966951849396e-16,0.0,0.0,,-0.1337812712684187,main,,0.0072116916107372
1000,100,0.1,0.0001,4,nl,128,1.0,64,A_true,1.1085450645524336e-16,0.0,0.0,,-4.807747909179311,main,0.0,0.0190377611895466
1000,100,0.1,0.0001,4,nl,128,1.0,64,A_interval_grad,1.0928366810937058e-17,0.0,0.0,,-1.736197505979279,main,,0.0190377611895466
1000,100,0.1,0.001,8,lin,128,0.0,64,A_true,8.660683655329086e-10,0.0,0.0,,0.8060615395684874,main,0.0,3.9358472920153e-05
1000,100,0.1,0.001,8,lin,128,0.0,64,A_interval_grad,1.1924953060788095e-10,0.0,0.0,,0.7727583350718948,main,,3.9358472920153e-05
1000,100,0.1,0.001,8,nl,128,0.0,64,A_true,1.1086375828573218e-16,0.0,0.0,,-0.3495228140093791,main,0.0,0.017136534706995
1000,100,0.1,0.001,8,nl,128,0.0,64,A_interval_grad,1.0666368000730352e-17,0.0,0.0,,-0.4171170393816608,main,,0.017136534706995
1000,100,0.1,0.001,8,lin,128,1.0,64,A_true,1.1086449206459915e-16,0.0,0.0,,-0.3492212306548909,main,0.0,0.0002601952803336
1000,100,0.1,0.001,8,lin,128,1.0,64,A_interval_grad,1.1661445915032512e-17,0.0,0.0,,-0.3124124268828312,main,,0.0002601952803336
1000,100,0.1,0.001,8,nl,128,1.0,64,A_true,1.1086049518402916e-16,0.0,0.0,,-0.2426088447446297,main,1.4771212547196624,0.0288937776244828
1000,100,0.1,0.001,8,nl,128,1.0,64,A_interval_grad,1.286448699918504e-17,0.0,0.0,,-0.201546460372846,main,,0.0288937776244828
1000,100,0.1,0.001,4,lin,128,0.0,64,A_true,1.1088429660385716e-16,0.0,0.0,,-0.6001839658678638,main,0.0,0.0010586087537332
1000,100,0.1,0.001,4,lin,128,0.0,64,A_interval_grad,1.080535461415236e-17,0.0,0.0,,-0.4658187630543757,main,,0.0010586087537332
1000,100,0.1,0.001,4,nl,128,0.0,64,A_true,1.1086055154627843e-16,0.0,0.0,,-0.7717382158744321,main,0.0,0.0226239073120635
1000,100,0.1,0.001,4,nl,128,0.0,64,A_interval_grad,1.036838919748768e-17,0.0,0.0,,-0.6232311937067485,main,,0.0226239073120635
1000,100,0.1,0.001,4,lin,128,1.0,64,A_true,4.8789137039987495e-16,0.0,0.0,,-0.102931358661986,main,0.0,0.0048073544728035
1000,100,0.1,0.001,4,lin,128,1.0,64,A_interval_grad,4.4900067359708256e-17,0.0,0.0,,-0.1083334438313108,main,,0.0048073544728035
1000,100,0.1,0.001,4,nl,128,1.0,64,A_true,1.117687653492379e-16,0.0,0.0,,-0.3257653070198105,main,0.0,0.0163745293797303
1000,100,0.1,0.001,4,nl,128,1.0,64,A_interval_grad,8.466495348497516e-18,0.0,0.0,,-0.2808869846695068,main,,0.0163745293797303
1000,100,0.1,0.01,8,lin,128,0.0,64,A_true,1.1087218736250622e-16,0.0,0.0,,-0.1533557946715027,main,0.0,3.776490532072102e-05
1000,100,0.1,0.01,8,lin,128,0.0,64,A_interval_grad,1.056748609165457e-17,0.0,0.0,,-0.1516007090252853,main,,3.776490532072102e-05
1000,100,0.1,0.01,8,nl,128,0.0,64,A_true,1.1085402021746882e-16,0.0,0.0,,-0.2378797601277404,main,0.5228787452803376,0.0218135165099096
1000,100,0.1,0.01,8,nl,128,0.0,64,A_interval_grad,1.2623629230854513e-17,0.0,0.0,,-0.3236499751999762,main,,0.0218135165099096
1000,100,0.1,0.01,8,lin,128,1.0,64,A_true,1.1085368063710663e-16,0.0,0.0,,-0.4160272420638446,main,0.0,0.0014612614371341
1000,100,0.1,0.01,8,lin,128,1.0,64,A_interval_grad,1.2036894816043062e-17,0.0,0.0,,-0.4674882299922742,main,,0.0014612614371341
1000,100,0.1,0.01,8,nl,128,1.0,64,A_true,1.1200678334254995e-16,0.0,0.0,,-0.1554023006762148,main,0.0,0.0144455834849975
1000,100,0.1,0.01,8,nl,128,1.0,64,A_interval_grad,9.498450076047853e-18,0.0,0.0,,-0.1782003920439061,main,,0.0144455834849975
1000,100,0.1,0.01,4,lin,128,0.0,64,A_true,1.1085376668893499e-16,0.0,0.0,,-0.5020298515571779,main,0.0,0.0011169802754998
1000,100,0.1,0.01,4,lin,128,0.0,64,A_interval_grad,1.0936141806739877e-17,0.0,0.0,,-0.5853570294161543,main,,0.0011169802754998
1000,100,0.1,0.01,4,nl,128,0.0,64,A_true,1.1085373762857603e-16,0.0,0.0,,-0.7210317143343135,main,0.0,0.0160525453585468
1000,100,0.1,0.01,4,nl,128,0.0,64,A_interval_grad,7.935641414153617e-18,0.0,0.0,,-0.6456464141440796,main,,0.0160525453585468
1000,100,0.1,0.01,4,lin,128,1.0,64,A_true,1.108536590244202e-16,0.0,0.0,,-3.5686069059804613,main,0.0,0.0020311937847463
1000,100,0.1,0.01,4,lin,128,1.0,64,A_interval_grad,8.250140306203305e-18,0.0,0.0,,-3.3855330919909,main,,0.0020311937847463
1000,100,0.1,0.01,4,nl,128,1.0,64,A_true,1.1085731829145779e-16,0.0,0.0,,-0.3218642922263819,main,1.0,0.0311031684402163
1000,100,0.1,0.01,4,nl,128,1.0,64,A_interval_grad,1.245502039377507e-17,0.0,0.0,,-0.2309791931263654,main,,0.0311031684402163
1000,10,0.01,1e-05,8,lin,128,0.0,64,A_true,1.1086604288197036e-16,0.0,0.0,,-0.9998889350986,main,0.0,3.461803105580336e-06
1000,10,0.01,1e-05,8,lin,128,0.0,64,A_interval_grad,1.0345162128212813e-18,0.0,0.0,,-1.001313898079763,main,,3.461803105580336e-06
1000,10,0.01,1e-05,8,nl,128,0.0,64,A_true,1.4142052447575316e-16,0.0,0.0,,-0.1953232019108184,main,0.0,0.0017802337868795
1000,10,0.01,1e-05,8,nl,128,0.0,64,A_interval_grad,7.943869700295537e-19,0.0,0.0,,-1.0571965912081884,main,,0.0017802337868795
1000,10,0.01,1e-05,8,lin,128,1.0,64,A_true,1.1769602133063447e-16,0.0,0.0,,-0.4276399601815042,main,0.0,1.2374600972694297e-05
1000,10,0.01,1e-05,8,lin,128,1.0,64,A_interval_grad,9.687130086238273e-19,0.0,0.0,,-0.4297725358380253,main,,1.2374600972694297e-05
1000,10,0.01,1e-05,8,nl,128,1.0,64,A_true,1.1085363689493288e-16,0.0,0.0,,-5.3092870194218245,main,0.0,0.0017722112827026
1000,10,0.01,1e-05,8,nl,128,1.0,64,A_interval_grad,1.0545638341687953e-18,0.0,0.0,,-1.2643490124488133,main,,0.0017722112827026
1000,10,0.01,1e-05,4,lin,128,0.0,64,A_true,1.1085949888137042e-16,0.0,0.0,,-2.9347557998155978,main,0.0,5.109964806997103e-05
1000,10,0.01,1e-05,4,lin,128,0.0,64,A_interval_grad,9.521601183877516e-19,0.0,0.0,,-2.6109729152918786,main,,5.109964806997103e-05
1000,10,0.01,1e-05,4,nl,128,0.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main,7.0,0.005389348694043
1000,10,0.01,1e-05,4,nl,128,0.0,64,A_interval_grad,9.88610548995233e-19,0.0,0.0,,-0.163919966335698,main,,0.005389348694043
1000,10,0.01,1e-05,4,lin,128,1.0,64,A_true,1.1140145790550643e-16,0.0,0.0,,-0.7397782879077175,main,0.0,0.0021534471121204
1000,10,0.01,1e-05,4,lin,128,1.0,64,A_interval_grad,2.335217550336357e-18,0.0,0.0,,-1.0253632057619897,main,,0.0021534471121204
1000,10,0.01,1e-05,4,nl,128,1.0,64,A_true,1.108536585365853e-16,0.0,0.0,,,main,7.0,0.0005792710632386
1000,10,0.01,1e-05,4,nl,128,1.0,64,A_interval_grad,1.529655820946185e-17,0.0,0.0,,0.999444974784922,main,,0.0005792710632386
1000,10,0.01,0.0001,8,lin,128,0.0,64,A_true,1.1086113461079682e-16,0.0,0.0,,-0.3256386723124305,main,0.0,2.895578942193484e-06
1000,10,0.01,0.0001,8,lin,128,0.0,64,A_interval_grad,7.594519378721099e-19,0.0,0.0,,-0.3825324440564539,main,,2.895578942193484e-06
1000,10,0.01,0.0001,8,nl,128,0.0,64,A_true,1.1086750316962412e-16,0.0,0.0,,-1.2099057906853172,main,0.0,0.0038595203541272
1000,10,0.01,0.0001,8,nl,128,0.0,64,A_interval_grad,1.4174152281877448e-18,0.0,0.0,,-1.174195591774394,main,,0.0038595203541272
1000,10,0.01,0.0001,8,lin,128,1.0,64,A_true,1.5223286112133732e-16,0.0,0.0,,-0.2177865763993667,main,0.0,0.0001010375920212
1000,10,0.01,0.0001,8,lin,128,1.0,64,A_interval_grad,1.1951047878589481e-18,0.0,0.0,,-0.2438037458387383,main,,0.0001010375920212
1000,10,0.01,0.0001,8,nl,128,1.0,64,A_true,1.1085365541961278e-16,0.0,0.0,,-3.821340921063694,main,1.5228787452803376,0.0095681379348258
1000,10,0.01,0.0001,8,nl,128,1.0,64,A_interval_grad,5.340310046761513e-18,0.0,0.0,,-0.1993729494932257,main,,0.0095681379348258
1000,10,0.01,0.0001,4,lin,128,0.0,64,A_true,4.711979197894411e-12,0.0,0.0,,0.0827009369080472,main,0.0,0.0002003828284146
1000,10,0.01,0.0001,4,lin,128,0.0,64,A_interval_grad,9.273203450054437e-14,0.0,0.0,,0.0696718935901653,main,,0.0002003828284146
1000,10,0.01,0.0001,4,nl,128,0.0,64,A_true,1.1085366376768668e-16,0.0,0.0,,-8.626481665288438,main,0.0,0.0039910167809427
1000,10,0.01,0.0001,4,nl,128,0.0,64,A_interval_grad,2.4072115966262865e-18,0.0,0.0,,-2.9289466039430097,main,,0.0039910167809427
1000,10,0.01,0.0001,4,lin,128,1.0,64,A_true,1.1915629401414162e-16,0.0,0.0,,-0.3949448022733153,main,0.4771212547196624,0.0014911690410432
1000,10,0.01,0.0001,4,lin,128,1.0,64,A_interval_grad,2.0140496543441578e-18,0.0,0.0,,-0.3689393984316389,main,,0.0014911690410432
1000,10,0.01,0.0001,4,nl,128,1.0,64,A_true,1.1085365191113211e-16,0.0,0.0,,-9.371341424094249,main,0.0,0.0051124294296324
1000,10,0.01,0.0001,4,nl,128,1.0,64,A_interval_grad,2.301835313494712e-18,0.0,0.0,,-3.745536311824548,main,,0.0051124294296324
1000,10,0.01,0.001,8,lin,128,0.0,64,A_true,1.1092911944925139e-16,0.0,0.0,,-0.2155789744493519,main,0.0,1.068281778530873e-06
1000,10,0.01,0.001,8,lin,128,0.0,64,A_interval_grad,9.22086579987804e-19,0.0,0.0,,-0.2143058405894664,main,,1.068281778530873e-06
1000,10,0.01,0.001,8,nl,128,0.0,64,A_true,1.108562038088888e-16,0.0,0.0,,-0.2430358539686599,main,1.5228787452803376,0.0060043743556619
1000,10,0.01,0.001,8,nl,128,0.0,64,A_interval_grad,2.1699138595706386e-18,0.0,0.0,,-0.168998889222234,main,,0.0060043743556619
1000,10,0.01,0.001,8,lin,128,1.0,64,A_true,1.1085365732583175e-16,0.0,0.0,,-1.676995850424154,main,0.5228787452803376,5.009761832872715e-05
1000,10,0.01,0.001,8,lin,128,1.0,64,A_interval_grad,1.1698376187001713e-18,0.0,0.0,,-1.6937135417557787,main,,5.009761832872715e-05
1000,10,0.01,0.001,8,nl,128,1.0,64,A_true,1.1085564278700563e-16,0.0,0.0,,-0.2859556932626659,main,0.0,8.139111782328151e-06
1000,10,0.01,0.001,8,nl,128,1.0,64,A_interval_grad,7.064152611988775e-20,0.0,0.0,,-0.2692259639917105,main,,8.139111782328151e-06
1000,10,0.01,0.001,4,lin,128,0.0,64,A_true,1.1085374960016284e-16,0.0,0.0,,-1.0980103416368745,main,0.0,0.0001381223582597
1000,10,0.01,0.001,4,lin,128,0.0,64,A_interval_grad,3.0598787659267217e-18,0.0,0.0,,-1.068036962094186,main,,0.0001381223582597
1000,10,0.01,0.001,4,nl,128,0.0,64,A_true,1.1171918789645984e-16,0.0,0.0,,-0.2170851394304964,main,0.0,0.0021798839688523
1000,10,0.01,0.001,4,nl,128,0.0,64,A_interval_grad,1.0787166467253037e-18,0.0,0.0,,-0.2625738246723363,main,,0.0021798839688523
1000,10,0.01,0.001,4,lin,128,1.0,64,A_true,1.108537505756524e-16,0.0,0.0,,-0.4109069821017499,main,0.0,0.0003138108856846
1000,10,0.01,0.001,4,lin,128,1.0,64,A_interval_grad,9.225281182699505e-19,0.0,0.0,,-0.5384073245025531,main,,0.0003138108856846
1000,10,0.01,0.001,4,nl,128,1.0,64,A_true,1.1085365794010303e-16,0.0,0.0,,-9.90704870281268,main,0.0,0.0003672642577718
1000,10,0.01,0.001,4,nl,128,1.0,64,A_interval_grad,2.2737935249260083e-19,0.0,0.0,,-3.9636118383851455,main,,0.0003672642577718
1000,10,0.01,0.01,8,lin,128,0.0,64,A_true,1.1085368052458048e-16,0.0,0.0,,-0.226427043483796,main,0.0,4.117143606579751e-06
1000,10,0.01,0.01,8,lin,128,0.0,64,A_interval_grad,7.798177259950474e-19,0.0,0.0,,-0.2779691724416087,main,,4.117143606579751e-06
1000,10,0.01,0.01,8,nl,128,0.0,64,A_true,1.1085365853740847e-16,0.0,0.0,,-4.237432011386017,main,0.0,0.0014259260546222
