precision,checkpoint_id,fit_method,A,B,C,h_ref,rho_min_dep,tau,h_low,h_high,default_h,default_in_window,rho_dep_at_default,fit_quality_r2_or_log_error,fit_stability_flag,notes
fp16,task_start_seed16_deterministic,linear_nnls,7.906814963920949e-13,0.0,0.32827676385911886,,,1.0,,,0.001,,,-0.3537755575359891,missing_tail,A or B nonpositive
fp16,task_start_seed16_deterministic,linear_nnls,7.906814963920949e-13,0.0,0.32827676385911886,,,2.0,,,0.001,,,-0.3537755575359891,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,dep_log_soft_l1,2.5104549549856848e-08,5476.623452330094,0.0,0.0014632208732743232,0.023451069470276097,0.1,0.0005045744518316677,0.004243209929106632,0.001,True,0.03058117300218694,0.9271231338221232,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,2.5104549549856848e-08,5476.623452330094,0.0,0.0014632208732743232,0.023451069470276097,0.5,0.00022413554412538744,0.009552323940142068,0.001,True,0.03058117300218694,0.9271231338221232,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,2.5104549549856848e-08,5476.623452330094,0.0,0.0014632208732743232,0.023451069470276097,1.0,0.00015845504749844376,0.013511815229532471,0.001,True,0.03058117300218694,0.9271231338221232,stable,
int8,task_start_seed16_deterministic,dep_log_soft_l1,2.5104549549856848e-08,5476.623452330094,0.0,0.0014632208732743232,0.023451069470276097,2.0,0.00011203886045434256,0.01910957783133774,0.001,True,0.03058117300218694,0.9271231338221232,stable,
int8,task_start_seed16_deterministic,log_soft_l1,1.6930362902459517e-08,1.0000000000000024e-30,0.04760253037141146,,,0.1,,,0.001,,,0.7729496597460507,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7729, log_RMSE=1.281"
int8,task_start_seed16_deterministic,log_soft_l1,1.6930362902459517e-08,1.0000000000000024e-30,0.04760253037141146,,,0.5,,,0.001,,,0.7729496597460507,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7729, log_RMSE=1.281"
int8,task_start_seed16_deterministic,log_soft_l1,1.6930362902459517e-08,1.0000000000000024e-30,0.04760253037141146,,,1.0,,,0.001,,,0.7729496597460507,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7729, log_RMSE=1.281"
int8,task_start_seed16_deterministic,log_soft_l1,1.6930362902459517e-08,1.0000000000000024e-30,0.04760253037141146,,,2.0,,,0.001,,,0.7729496597460507,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7729, log_RMSE=1.281"
int8,task_start_seed16_deterministic,linear_nnls,4.584118917656151e-09,0.0,1.7114019438772228,,,0.1,,,0.001,,,-0.05082109936718715,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,linear_nnls,4.584118917656151e-09,0.0,1.7114019438772228,,,0.5,,,0.001,,,-0.05082109936718715,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,linear_nnls,4.584118917656151e-09,0.0,1.7114019438772228,,,1.0,,,0.001,,,-0.05082109936718715,missing_tail,A or B nonpositive
int8,task_start_seed16_deterministic,linear_nnls,4.584118917656151e-09,0.0,1.7114019438772228,,,2.0,,,0.001,,,-0.05082109936718715,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,dep_log_soft_l1,4.105714115696909e-06,11127.585023684622,0.0,,,0.1,,,0.001,,,0.5257188925950105,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5257, log_RMSE=1.531"
int4,task_start_seed16_deterministic,dep_log_soft_l1,4.105714115696909e-06,11127.585023684622,0.0,,,0.5,,,0.001,,,0.5257188925950105,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5257, log_RMSE=1.531"
int4,task_start_seed16_deterministic,dep_log_soft_l1,4.105714115696909e-06,11127.585023684622,0.0,,,1.0,,,0.001,,,0.5257188925950105,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5257, log_RMSE=1.531"
int4,task_start_seed16_deterministic,dep_log_soft_l1,4.105714115696909e-06,11127.585023684622,0.0,,,2.0,,,0.001,,,0.5257188925950105,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.5257, log_RMSE=1.531"
int4,task_start_seed16_deterministic,log_soft_l1,2.7196960632727766e-06,1.0000000000000024e-30,0.6538553088264758,,,0.1,,,0.001,,,0.6038969220960287,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6039, log_RMSE=1.399"
int4,task_start_seed16_deterministic,log_soft_l1,2.7196960632727766e-06,1.0000000000000024e-30,0.6538553088264758,,,0.5,,,0.001,,,0.6038969220960287,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6039, log_RMSE=1.399"
int4,task_start_seed16_deterministic,log_soft_l1,2.7196960632727766e-06,1.0000000000000024e-30,0.6538553088264758,,,1.0,,,0.001,,,0.6038969220960287,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6039, log_RMSE=1.399"
int4,task_start_seed16_deterministic,log_soft_l1,2.7196960632727766e-06,1.0000000000000024e-30,0.6538553088264758,,,2.0,,,0.001,,,0.6038969220960287,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6039, log_RMSE=1.399"
int4,task_start_seed16_deterministic,linear_nnls,5.924334804614917e-08,0.0,40.26845231917273,,,0.1,,,0.001,,,-0.08457747830667595,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,5.924334804614917e-08,0.0,40.26845231917273,,,0.5,,,0.001,,,-0.08457747830667595,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,5.924334804614917e-08,0.0,40.26845231917273,,,1.0,,,0.001,,,-0.08457747830667595,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,5.924334804614917e-08,0.0,40.26845231917273,,,2.0,,,0.001,,,-0.08457747830667595,missing_tail,A or B nonpositive
