precision,h,n_directions,G2,d,V_dir_sample,V_dir_formula,V_h_dep,rho_sample,rho_formula,scalar_nmse,directional_corr,sign_agreement,d_h_std,d_h_zero_fraction,default_marker,tiny_marker,probe_active_frac,probe_norm_ratio,probe_alignment,saturation_frac
fp32,0.0001,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,1887637.1860444648,1.5321318076300624e-05,1.8801684649441112e-05,1.532131581503383e-05,0.9999925919644236,1.0,17.418652271062655,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.0003,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,32294090.02768467,0.0002621202998949,0.0003216631359194285,0.0002621236982981,0.9998741075036636,1.0,17.392674190569892,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.001,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,215119057.01780155,0.0017460492520547,0.002142679060380925,0.0017460399428449,0.9993288658555648,0.96875,17.119998094479975,0.0,True,False,1.0,1.0,1.0,0.0
fp32,0.0015,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,550450511.3704575,0.0044678222236349,0.005482725709381715,0.0044678207848308,0.9983404918406368,0.96875,16.850743249006204,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.002,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,1199399347.0747366,0.0097351223174125,0.01194653742740665,0.0097351180260591,0.9964716262072338,0.9375,16.503116617564032,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.003,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,4221705268.389407,0.0342661660405881,0.04205001455045082,0.0342660197327675,0.9873225190643542,0.890625,15.583736284710378,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.005,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,24546053261.75038,0.199232083538873,0.24448933101540676,0.199229343020162,0.905236878778614,0.796875,13.397855379667872,0.0,False,False,1.0,1.0,1.0,0.0
fp32,0.01,64,246.7469362513004,406883417,123203315579.24551,100397236802.9572,114327060347.62737,0.9279544126723696,1.138747080978028,0.9279531039820236,0.2960474833838057,0.515625,7.239823100343738,0.0,False,False,1.0,1.0,1.0,0.0
fp16,1e-06,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,162271683146.59808,1.0000000022110382,0.9130468787170962,1.0,,0.0,0.0,1.0,False,False,1.0,1.0,1.0,0.0
fp16,3e-06,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,162271683146.59808,1.0000000022110382,0.9130468787170962,1.0,,0.0,0.0,1.0,False,False,1.0,1.0,1.0,0.0
fp16,5e-06,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,198729826321.0013,1.2246734791113605,1.1181842950778862,1.224687312277163,0.1020188988315507,0.015625,12.207031249999998,0.984375,False,False,1.0,1.0,1.0,0.0
fp16,7e-06,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,166528356655.82568,1.0262317725119217,0.9369977146605852,1.0262329292578445,0.2640103358896294,0.03125,12.232707422087769,0.96875,False,False,1.0,1.0,1.0,0.0
fp16,1e-05,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,144798441393.20248,0.8923210686275117,0.814730964722452,0.8923216691380234,0.3804284630543296,0.0625,12.207031249999998,0.9375,False,True,1.0,1.0,1.0,0.0
fp16,2e-05,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,75520108585.78053,0.4653930204478908,0.4249256437571416,0.4653925657036151,0.8137872120694063,0.328125,22.603029779603308,0.671875,False,False,1.0,1.0,1.0,0.0
fp16,3e-05,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,35775680320.14067,0.2204677963863967,0.2012974329031595,0.2204660785815045,0.906245413269236,0.609375,22.06170220655116,0.390625,False,False,1.0,1.0,1.0,0.0
fp16,5e-05,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,10365601515.88823,0.0638780675581122,0.05832367007345829,0.0638770845749141,0.9732032385081398,0.734375,21.45579805886116,0.265625,False,False,1.0,1.0,1.0,0.0
fp16,7e-05,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,6770765369.852536,0.0417248730864902,0.038096765052253456,0.0417241344161208,0.9788954265970822,0.84375,18.59989291485681,0.15625,False,False,1.0,1.0,1.0,0.0
fp16,0.0001,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,2256739734.4214206,0.0139071691107831,0.012697897320315827,0.013907117361243,0.993585249395694,0.9375,19.833481864785178,0.0625,False,False,1.0,1.0,1.0,0.0
fp16,0.0003,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,277075329.1436693,0.0017074780046866,0.001559007459210193,0.0017074755477876,0.9991405041816924,1.0,19.6304192039826,0.0,False,False,1.0,1.0,1.0,0.0
fp16,0.001,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,258915223.09689748,0.0015955662667001,0.0014568267963757722,0.0015955583284968,0.999298942269188,1.0,19.43948167714295,0.0,True,False,1.0,1.0,1.0,0.0
fp16,0.0015,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,565451558.114629,0.0034845978571259,0.0031816011899985295,0.0034845500631203,0.9985105112702092,1.0,19.23566170016036,0.0,False,False,1.0,1.0,1.0,0.0
fp16,0.002,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,1277029264.8579688,0.0078696987848942,0.007185403896104226,0.0078695802831584,0.9964856308982212,0.96875,19.03620449560664,0.0,False,False,1.0,1.0,1.0,0.0
fp16,0.003,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,5107796066.8815,0.0314768170214922,0.02873980946987783,0.0314762923640011,0.9851414277465528,0.953125,18.430377698469908,0.0,False,False,1.0,1.0,1.0,0.0
fp16,0.005,64,436.7970268475451,406883417,162271682787.80917,177725467255.96692,31695623634.26333,0.1953244280809572,0.17834035900220252,0.1953212255879623,0.8983125221697299,0.90625,16.676005233564585,0.0,False,False,1.0,1.0,1.0,0.0
int8,1e-05,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,10277170879218.994,46.62683535546576,36.12853104295447,46.625110193456486,0.0810132456966964,0.421875,158.01178254351888,0.1875,False,True,0.0209506737713137,5.915544147693264,0.168215512525958,0.0080166672452417
int8,3e-05,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,3280619965439.0884,14.88395286894428,11.532743948158375,14.883456216178136,0.3590440544952048,0.546875,94.3813849858246,0.15625,False,False,0.0624922086266752,3.402041709768892,0.291586952687991,0.0080158214440395
int8,0.0001,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,1133047076609.859,5.14055863349569,3.9831318328278056,5.140465732980491,0.369151566660226,0.65625,56.35416790230488,0.03125,False,False,0.2071687238981238,1.8649040685378893,0.5321205703770278,0.0079935851739878
int8,0.0003,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,127002045430.9204,0.5761997666195197,0.44646502376911085,0.5761847270495633,0.7848141336563954,0.6875,28.526037311935685,0.03125,False,False,0.5198233221099284,1.1789885896943253,0.8439950524292488,0.0072722784553301
int8,0.001,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,10369752358.41091,0.0470468713204194,0.03645399345710497,0.0470458996933484,0.9776521949290718,0.921875,24.107700814636356,0.03125,True,False,0.8279218909851889,1.0150101226779884,0.9811201834505427,0.005582422501955
int8,0.0015,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,4874640939.890946,0.0221159191758598,0.01713639080150144,0.0221155410655185,0.989282630911994,0.953125,22.488064236111107,0.015625,False,False,0.8838028861551936,1.0048588022778169,0.9908992178526984,0.0053019721528244
int8,0.002,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,5011140489.765229,0.0227352084834798,0.01761624350444269,0.0227349623673296,0.9885501868256074,0.96875,23.15516182695017,0.0,False,False,0.9124453090424602,1.0011985133553782,0.9943793738047422,0.0052276897129519
int8,0.003,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,6560142348.445107,0.0297629260799654,0.0230616294374596,0.0297621121942054,0.9854221862280405,0.90625,22.301839292696407,0.0,False,False,0.941432966833184,0.9984005565050608,0.9968574182895492,0.0053174381547569
int8,0.005,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,31199394383.49604,0.1415495608865524,0.1096788505078526,0.1415461609323388,0.9292796786659484,0.84375,20.31829009714054,0.0,False,False,0.9647989394412562,0.9964803770994618,0.9980507352887542,0.0058767873081208
int8,0.01,64,699.1225053393725,406883417,220413219144.50427,284461354573.20715,237113841179.16885,1.0757696026557988,0.8335537933963777,1.0757642257286442,0.2157902950780247,0.546875,13.34867235756984,0.0,False,False,0.9823852949502522,0.9935722957599002,0.9982388375285786,0.0085116319425048
int4,1e-05,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,168882259886925.94,607.5755675127732,744.3067382782995,607.5787408144025,-0.0500942418618165,0.5,643.3959878461558,0.0,False,True,0.0010958666928204,21.16224975261342,0.0385852505465059,0.0260776577568058
int4,3e-05,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,90518049657471.05,325.65028101595726,398.9358878841076,325.6511406978008,-0.0030841284916266,0.453125,469.8712251017466,0.0,False,False,0.0032852709411809,12.198334701907738,0.0670842545759606,0.0260775835366967
int4,0.0001,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,33860342102597.31,121.81691897619407,149.231072607897,121.81618069831156,0.1629985868376822,0.515625,291.69634867491584,0.0,False,False,0.0110310242527129,6.699377896832022,0.123204850417963,0.0260780291177124
int4,0.0003,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,10622188102475.09,38.21468263694375,46.814663572274064,38.21471153197064,0.3090009015483815,0.5625,168.7346222494222,0.015625,False,False,0.03373668077296,3.8994085291712657,0.2163512708966194,0.0260812637919615
int4,0.0005,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,5810705398425.914,20.90475715129549,25.609245074611387,20.904446677049048,0.3798106680075654,0.625,126.6712865668158,0.015625,False,False,0.0571670124423197,3.042263675376188,0.2824913938597426,0.0260878589467121
int4,0.0007,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,3981752750096.1274,14.324865669460902,17.548589200778032,14.324610829142884,0.3778070905742602,0.609375,106.12164861085154,0.0,False,False,0.0811904947215901,2.58762770807421,0.3374588629687799,0.0260986153587216
int4,0.001,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,2377247569474.1616,8.552452709412375,10.477129958469408,8.552295028863144,0.4873563635712886,0.71875,85.85566109698544,0.0,True,False,0.118094517216994,2.1831545695844112,0.4080699181152187,0.0261237927663344
int4,0.0012,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,1557779067056.6438,5.604309779844021,6.865525468071399,5.604290363765879,0.5084928160727518,0.71875,71.33614593112287,0.0,False,False,0.1430815584740666,2.00298371830601,0.4498036715837123,0.0261470288906636
int4,0.0015,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,902851956152.3092,3.2481255876522224,3.979096413571444,3.2481037386275062,0.5021690836629092,0.640625,54.78788750645544,0.0,False,False,0.1806805325265791,1.8045360285647156,0.5064707772318322,0.0261923830939908
int4,0.002,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,423482383239.3078,1.523532131205232,1.8663937325223543,1.5235088480416688,0.5973642104637658,0.71875,40.34786493413598,0.0,False,False,0.2421181592338973,1.5826831164034614,0.5883006030543386,0.0262961142257282
int4,0.003,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,213352051097.0191,0.7675613389593249,0.9402963304927971,0.7675430603881013,0.6415377851396596,0.71875,28.08635039544103,0.0,False,False,0.3539298252531643,1.3355574916333333,0.714023202196162,0.0266041368510239
int4,0.005,64,557.650492370688,406883417,277960913698.8141,226898738385.1685,108056352035.86208,0.388746570868403,0.47623161241396006,0.3887416438899539,0.7832570751414216,0.78125,19.761231810929576,0.015625,False,False,0.5206916298229218,1.140493655771916,0.853538681895478,0.0276006187527372
